row	col	yield	year
1	1	144	1930
2	1	171	1930
3	1	156	1930
4	1	134	1930
5	1	180	1930
6	1	172	1930
7	1	175	1930
8	1	186	1930
9	1	174	1930
10	1	144	1930
11	1	172	1930
12	1	142	1930
13	1	176	1930
14	1	171	1930
15	1	178	1930
16	1	203	1930
17	1	186	1930
18	1	187	1930
19	1	150	1930
20	1	182	1930
21	1	177	1930
22	1	168	1930
23	1	187	1930
24	1	189	1930
25	1	164	1930
26	1	151	1930
27	1	120	1930
28	1	138	1930
29	1	126	1930
30	1	100	1930
31	1	119	1930
32	1	104	1930
33	1	120	1930
34	1	98	1930
35	1	125	1930
36	1	127	1930
37	1	114	1930
38	1	125	1930
39	1	95	1930
40	1	132	1930
1	2	183	1930
2	2	135	1930
3	2	145	1930
4	2	122	1930
5	2	122	1930
6	2	95	1930
7	2	117	1930
8	2	114	1930
9	2	112	1930
10	2	97	1930
11	2	110	1930
12	2	107	1930
13	2	131	1930
14	2	115	1930
15	2	116	1930
16	2	111	1930
17	2	108	1930
18	2	108	1930
19	2	114	1930
20	2	96	1930
21	2	94	1930
22	2	103	1930
23	2	92	1930
24	2	96	1930
25	2	113	1930
26	2	97	1930
27	2	106	1930
28	2	102	1930
29	2	103	1930
30	2	74	1930
31	2	103	1930
32	2	90	1930
33	2	80	1930
34	2	81	1930
35	2	90	1930
36	2	91	1930
37	2	90	1930
38	2	86	1930
39	2	116	1930
40	2	111	1930
1	3	142	1930
2	3	124	1930
3	3	121	1930
4	3	134	1930
5	3	137	1930
6	3	122	1930
7	3	94	1930
8	3	89	1930
9	3	91	1930
10	3	87	1930
11	3	104	1930
12	3	121	1930
13	3	115	1930
14	3	117	1930
15	3	95	1930
16	3	106	1930
17	3	103	1930
18	3	101	1930
19	3	115	1930
20	3	98	1930
21	3	86	1930
22	3	90	1930
23	3	110	1930
24	3	99	1930
25	3	102	1930
26	3	104	1930
27	3	112	1930
28	3	98	1930
29	3	112	1930
30	3	90	1930
31	3	115	1930
32	3	99	1930
33	3	109	1930
34	3	117	1930
35	3	120	1930
36	3	135	1930
37	3	132	1930
38	3	123	1930
39	3	145	1930
40	3	132	1930
1	4	144	1930
2	4	132	1930
3	4	107	1930
4	4	80	1930
5	4	99	1930
6	4	87	1930
7	4	98	1930
8	4	70	1930
9	4	81	1930
10	4	86	1930
11	4	89	1930
12	4	107	1930
13	4	106	1930
14	4	99	1930
15	4	86	1930
16	4	106	1930
17	4	110	1930
18	4	100	1930
19	4	90	1930
20	4	100	1930
21	4	106	1930
22	4	113	1930
23	4	115	1930
24	4	108	1930
25	4	107	1930
26	4	101	1930
27	4	110	1930
28	4	99	1930
29	4	93	1930
30	4	95	1930
31	4	90	1930
32	4	82	1930
33	4	73	1930
34	4	74	1930
35	4	58	1930
36	4	66	1930
37	4	69	1930
38	4	58	1930
39	4	110	1930
40	4	118	1930
1	1	113	1931
2	1	73	1931
3	1	75	1931
4	1	66	1931
5	1	74	1931
6	1	65	1931
7	1	83	1931
8	1	65	1931
9	1	70	1931
10	1	70	1931
11	1	89	1931
12	1	80	1931
13	1	105	1931
14	1	88	1931
15	1	77	1931
16	1	90	1931
17	1	87	1931
18	1	95	1931
19	1	90	1931
20	1	70	1931
21	1	73	1931
22	1	65	1931
23	1	70	1931
24	1	65	1931
25	1	75	1931
26	1	70	1931
27	1	88	1931
28	1	49	1931
29	1	71	1931
30	1	77	1931
31	1	64	1931
32	1	59	1931
33	1	65	1931
34	1	62	1931
35	1	72	1931
36	1	60	1931
37	1	98	1931
38	1	85	1931
39	1	84	1931
40	1	90	1931
1	2	115	1931
2	2	106	1931
3	2	112	1931
4	2	98	1931
5	2	84	1931
6	2	75	1931
7	2	69	1931
8	2	84	1931
9	2	88	1931
10	2	93	1931
11	2	106	1931
12	2	110	1931
13	2	100	1931
14	2	78	1931
15	2	92	1931
16	2	75	1931
17	2	72	1931
