"row"	"col"	"yield"	"year"	"crop"
1	1	6.7	1929	"wheat"
2	1	8.6	1929	"wheat"
3	1	8.3	1929	"wheat"
4	1	8.1	1929	"wheat"
5	1	8.2	1929	"wheat"
6	1	9.7	1929	"wheat"
7	1	9	1929	"wheat"
8	1	9.4	1929	"wheat"
9	1	6.8	1929	"wheat"
10	1	8.8	1929	"wheat"
11	1	7.3	1929	"wheat"
12	1	10	1929	"wheat"
13	1	12.5	1929	"wheat"
14	1	12.5	1929	"wheat"
15	1	16.4	1929	"wheat"
16	1	14.1	1929	"wheat"
17	1	14.5	1929	"wheat"
18	1	15.1	1929	"wheat"
19	1	11.1	1929	"wheat"
20	1	11.7	1929	"wheat"
21	1	10.3	1929	"wheat"
22	1	11	1929	"wheat"
23	1	9.7	1929	"wheat"
24	1	10.3	1929	"wheat"
25	1	10.9	1929	"wheat"
26	1	9.4	1929	"wheat"
27	1	9.2	1929	"wheat"
28	1	9.8	1929	"wheat"
29	1	9.6	1929	"wheat"
30	1	10	1929	"wheat"
31	1	9.4	1929	"wheat"
32	1	9.8	1929	"wheat"
33	1	10.2	1929	"wheat"
34	1	10.3	1929	"wheat"
35	1	13.6	1929	"wheat"
36	1	12.1	1929	"wheat"
37	1	9.8	1929	"wheat"
38	1	12.9	1929	"wheat"
39	1	16.9	1929	"wheat"
1	2	9.4	1929	"wheat"
2	2	12	1929	"wheat"
3	2	10.5	1929	"wheat"
4	2	11.3	1929	"wheat"
5	2	10.1	1929	"wheat"
6	2	9	1929	"wheat"
7	2	9.7	1929	"wheat"
8	2	11.6	1929	"wheat"
9	2	13.6	1929	"wheat"
10	2	12.7	1929	"wheat"
11	2	12.3	1929	"wheat"
12	2	14.3	1929	"wheat"
13	2	16.6	1929	"wheat"
14	2	21.6	1929	"wheat"
15	2	25.2	1929	"wheat"
16	2	22.9	1929	"wheat"
17	2	18	1929	"wheat"
18	2	14.5	1929	"wheat"
19	2	14.1	1929	"wheat"
20	2	13	1929	"wheat"
21	2	12.6	1929	"wheat"
22	2	12.3	1929	"wheat"
23	2	13.8	1929	"wheat"
24	2	12	1929	"wheat"
25	2	13.8	1929	"wheat"
26	2	14.6	1929	"wheat"
27	2	14.7	1929	"wheat"
28	2	15.3	1929	"wheat"
29	2	16.7	1929	"wheat"
30	2	19.1	1929	"wheat"
31	2	15.9	1929	"wheat"
32	2	19.4	1929	"wheat"
33	2	17.3	1929	"wheat"
34	2	16.4	1929	"wheat"
35	2	15	1929	"wheat"
36	2	15.4	1929	"wheat"
37	2	15.7	1929	"wheat"
38	2	14.7	1929	"wheat"
39	2	19.1	1929	"wheat"
1	3	11.8	1929	"wheat"
2	3	14.1	1929	"wheat"
3	3	13.8	1929	"wheat"
4	3	14.2	1929	"wheat"
5	3	16.3	1929	"wheat"
6	3	24.8	1929	"wheat"
7	3	22	1929	"wheat"
8	3	20.4	1929	"wheat"
9	3	24.6	1929	"wheat"
10	3	27.5	1929	"wheat"
11	3	30.1	1929	"wheat"
12	3	31.5	1929	"wheat"
13	3	30.4	1929	"wheat"
14	3	29.9	1929	"wheat"
15	3	24	1929	"wheat"
16	3	21.5	1929	"wheat"
17	3	22.3	1929	"wheat"
18	3	21.8	1929	"wheat"
19	3	22.8	1929	"wheat"
20	3	23.7	1929	"wheat"
21	3	22.8	1929	"wheat"
22	3	23.3	1929	"wheat"
23	3	20.7	1929	"wheat"
24	3	21.9	1929	"wheat"
25	3	22.2	1929	"wheat"
26	3	23.8	1929	"wheat"
27	3	22.4	1929	"wheat"
28	3	25.4	1929	"wheat"
29	3	23	1929	"wheat"
30	3	26.1	1929	"wheat"
31	3	24.4	1929	"wheat"
32	3	23.4	1929	"wheat"
33	3	18.5	1929	"wheat"
34	3	17.5	1929	"wheat"
35	3	15.1	1929	"wheat"
36	3	16.9	1929	"wheat"
37	3	16.3	1929	"wheat"
38	3	17.3	1929	"wheat"
39	3	18.2	1929	"wheat"
1	4	10.3	1929	"wheat"
2	4	17.1	1929	"wheat"
3	4	17.6	1929	"wheat"
4	4	18.4	1929	"wheat"
5	4	18	1929	"wheat"
6	4	18.4	1929	"wheat"
7	4	23.9	1929	"wheat"
8	4	25.4	1929	"wheat"
9	4	23.2	1929	"wheat"
10	4	24.8	1929	"wheat"
11	4	22.8	1929	"wheat"
12	4	24.1	1929	"wheat"
13	4	25.7	1929	"wheat"
14	4	25.1	1929	"wheat"
15	4	25.3	1929	"wheat"
16	4	23.7	1929	"wheat"
17	4	20.7	1929	"wheat"
18	4	18.7	1929	"wheat"
19	4	19.3	1929	"wheat"
20	4	18.2	1929	"wheat"
21	4	19.4	1929	"wheat"
22	4	21.6	1929	"wheat"
23	4	20.8	1929	"wheat"
24	4	24.4	1929	"wheat"
25	4	26.1	1929	"wheat"
26	4	23.7	1929	"wheat"
27	4	20.8	1929	"wheat"
28	4	18.2	1929	"wheat"
29	4	13.3	1929	"wheat"
30	4	15.1	1929	"wheat"
31	4	15.1	1929	"wheat"
32	4	15.7	1929	"wheat"
33	4	14.5	1929	"wheat"
34	4	15.7	1929	"wheat"
35	4	15.6	1929	"wheat"
36	4	13.8	1929	"wheat"
37	4	17.8	1929	"wheat"
38	4	14.7	1929	"wheat"
39	4	15.8	1929	"wheat"
1	5	8.9	1929	"wheat"
2	5	10	1929	"wheat"
3	5	10.9	1929	"wheat"
4	5	11.4	1929	"wheat"
5	5	14.2	1929	"wheat"
6	5	14.6	1929	"wheat"
7	5	17.7	1929	"wheat"
8	5	17.5	1929	"wheat"
9	5	21.8	1929	"wheat"
10	5	23.9	1929	"wheat"
11	5	23	1929	"wheat"
12	5	22.6	1929	"wheat"
13	5	23.4	1929	"wheat"
14	5	27.6	1929	"wheat"
15	5	31.3	1929	"wheat"
16	5	30.7	1929	"wheat"
17	5	32.5	1929	"wheat"
18	5	24.6	1929	"wheat"
19	5	30.1	1929	"wheat"
20	5	29.2	1929	"wheat"
21	5	27.1	1929	"wheat"
22	5	24.2	1929	"wheat"
23	5	26.1	1929	"wheat"
24	5	31	1929	"wheat"
25	5	25.1	1929	"wheat"
26	5	31	1929	"wheat"
27	5	25.7	1929	"wheat"
28	5	25.5	1929	"wheat"
29	5	25.3	1929	"wheat"
30	5	21.5	1929	"wheat"
31	5	27.8	1929	"wheat"
32	5	23.4	1929	"wheat"
33	5	26.1	1929	"wheat"
34	5	24.5	1929	"wheat"
35	5	25.6	1929	"wheat"
36	5	23.5	1929	"wheat"
37	5	24.7	1929	"wheat"
38	5	26.4	1929	"wheat"
39	5	30.1	1929	"wheat"
1	1	41.5	1930	"chari"
2	1	42.6	1930	"chari"
3	1	45.7	1930	"chari"
4	1	42.4	1930	"chari"
5	1	38.2	1930	"chari"
6	1	42.4	1930	"chari"
7	1	44	1930	"chari"
8	1	44	1930	"chari"
9	1	48.9	1930	"chari"
10	1	55	1930	"chari"
11	1	53.4	1930	"chari"
12	1	56.4	1930	"chari"
13	1	63.8	1930	"chari"
14	1	48.1	1930	"chari"
15	1	51.4	1930	"chari"
16	1	48.1	1930	"chari"
17	1	45.7	1930	"chari"
18	1	59.7	1930	"chari"
19	1	56.7	1930	"chari"
20	1	53.9	1930	"chari"
21	1	49.8	1930	"chari"
22	1	50.6	1930	"chari"
23	1	52.8	1930	"chari"
24	1	53.4	1930	"chari"
25	1	46.8	1930	"chari"
26	1	53.9	1930	"chari"
27	1	56.1	1930	"chari"
