"yield"	"row"	"col"
3.6	1	1
4.9	2	1
5.9	3	1
5.4	4	1
5.3	5	1
5.1	6	1
4.2	7	1
4.6	8	1
4.8	9	1
5.8	10	1
4.5	11	1
3.6	12	1
4.4	13	1
6.6	14	1
3.7	15	1
3.6	16	1
3.7	17	1
3.4	18	1
3.9	19	1
3.4	20	1
3.6	21	1
4.9	22	1
5.5	23	1
3.6	24	1
3.5	25	1
3.6	26	1
3.5	27	1
4.1	28	1
4.8	29	1
5.1	30	1
5.4	31	1
5.2	32	1
5	33	1
4.4	34	1
4.7	35	1
4.6	36	1
4.6	37	1
5	38	1
4.7	39	1
5.2	40	1
4.7	41	1
4.5	42	1
4	43	1
4.3	44	1
4.8	45	1
5.2	46	1
4.6	47	1
5.5	48	1
7.1	49	1
6.6	50	1
5.4	51	1
6.4	52	1
6.6	53	1
7.3	54	1
6.3	55	1
6.4	56	1
6.3	57	1
5.6	58	1
4.6	59	1
3.9	60	1
4.9	61	1
6.4	62	1
7.7	63	1
6.4	64	1
4.1	65	1
3.7	66	1
4	67	1
3.9	68	1
4.1	69	1
4.5	70	1
4.2	71	1
4.1	72	1
4.4	73	1
4.4	74	1
4.9	75	1
5.5	76	1
5.4	77	1
5.3	78	1
4.5	79	1
4.4	80	1
3.6	1	2
5	2	2
5.7	3	2
5.5	4	2
5.5	5	2
3.8	6	2
4.6	7	2
4.6	8	2
5.1	9	2
3.7	10	2
3.5	11	2
4.1	12	2
6.1	13	2
4	14	2
2.7	15	2
2.8	16	2
2.6	17	2
3.1	18	2
2.5	19	2
2.8	20	2
4.8	21	2
5.6	22	2
3.7	23	2
3.4	24	2
3.1	25	2
3	26	2
3.6	27	2
3.7	28	2
3.7	29	2
4.1	30	2
5	31	2
4.4	32	2
4.2	33	2
3.1	34	2
3.8	35	2
3.9	36	2
5.1	37	2
4.9	38	2
4.2	39	2
3.4	40	2
3.6	41	2
3.7	42	2
3.5	43	2
4	44	2
3.9	45	2
4.3	46	2
4.8	47	2
4.4	48	2
4.9	49	2
4.8	50	2
5.4	51	2
5.3	52	2
6.5	53	2
6.1	54	2
6.9	55	2
5.4	56	2
5	57	2
7.2	58	2
6.1	59	2
5.6	60	2
4.6	61	2
3.6	62	2
4.1	63	2
3.7	64	2
2.7	65	2
2.8	66	2
3.2	67	2
3.9	68	2
2.9	69	2
2.7	70	2
3.7	71	2
4	72	2
3.8	73	2
4	74	2
5.3	75	2
5.5	76	2
5.4	77	2
4.7	78	2
5.1	79	2
4.3	80	2
4	1	3
5.8	2	3
6.1	3	3
6.3	4	3
5.9	5	3
4.8	6	3
5	7	3
5.2	8	3
5.1	9	3
4.8	10	3
4.7	11	3
7	12	3
5.4	13	3
3.3	14	3
3.9	15	3
3.2	16	3
3	17	3
3.8	18	3
3.2	19	3
3.6	20	3
5	21	3
4.7	22	3
5.5	23	3
4	24	3
3.3	25	3
3.8	26	3
3.9	27	3
4.3	28	3
3.6	29	3
3.8	30	3
4.5	31	3
4.4	32	3
4.1	33	3
4.5	34	3
3.9	35	3
4.3	36	3
4.6	37	3
6	38	3
5.5	39	3
4.4	40	3
4.5	41	3
3.7	42	3
4.2	43	3
3.9	44	3
4.2	45	3
4.3	46	3
4.1	47	3
4.6	48	3
5.3	49	3
5.2	50	3
5.2	51	3
5.5	52	3
5.5	53	3
5.7	54	3
5.6	55	3
5.4	56	3
4.6	57	3
5	58	3
5.5	59	3
5.6	60	3
4.1	61	3
4.3	62	3
3.5	63	3
3	64	3
3.5	65	3
4.2	66	3
3.5	67	3
3.3	68	3
2.7	69	3
3.2	70	3
3.9	71	3
4.4	72	3
4.4	73	3
4.8	74	3
5	75	3
6.2	76	3
5.5	77	3
4.6	78	3
4.9	79	3
4.6	80	3
5.7	1	4
6.7	2	4
6.8	3	4
6.4	4	4
5.5	5	4
4.6	6	4
4.6	7	4
5.1	8	4
4.7	9	4
5	10	4
5.1	11	4
5.4	12	4
3.6	13	4
3.9	14	4
4.1	15	4
3.8	16	4
4	17	4
5.2	18	4
4.4	19	4
5.3	20	4
5.4	21	4
4.6	22	4
4.1	23	4
4.8	24	4
4.1	25	4
3.6	26	4
3.5	27	4
3.5	28	4
3.7	29	4
4.3	30	4
5.4	31	4
4.3	32	4
5	33	4
4.6	34	4
4.3	35	4
4.4	36	4
4.4	37	4
4.3	38	4
5.5	39	4
5.7	40	4
4.6	41	4
4.8	42	4
4.1	43	4
3.7	44	4
4.3	45	4
4.7	46	4
4.8	47	4
4.6	48	4
5.2	49	4
6.1	50	4
5.8	51	4
6.1	52	4
6.4	53	4
7	54	4
6	55	4
5.8	56	4
6.6	57	4
6.6	58	4
5.5	59	4
4.9	60	4
5.5	61	4
4.3	62	4
4.6	63	4
4.9	64	4
4.3	65	4
5.1	66	4
4.6	67	4
3.4	68	4
4	69	4
5.2	70	4
5.6	71	4
5.6	72	4
5.9	73	4
6	74	4
5.6	75	4
5.5	76	4
6.2	77	4
6.2	78	4
6.3	79	4
6	80	4
7.3	1	5
7.2	2	5
6.6	3	5
6.1	4	5
5.3	5	5
3.9	6	5
3.7	7	5
4.1	8	5
4.1	9	5
3.8	10	5
4.5	11	5
4	12	5
2.9	13	5
2.9	14	5
3.4	15	5
3.2	16	5
3.3	17	5
3.8	18	5
4	19	5
4.4	20	5
3.6	21	5
4.1	22	5
3.2	23	5
3.7	24	5
4.5	25	5
5	26	5
4.4	27	5
3.3	28	5
4.1	29	5
4.6	30	5
4.9	31	5
4.6	32	5
5.3	33	5
4.3	34	5
3.7	35	5
4.5	36	5
4.8	37	5
4.5	38	5
4.6	39	5
5.5	40	5
4.1	41	5
3.3	42	5
4	43	5
3.2	44	5
4.5	45	5
4.5	46	5
4	47	5
4.6	48	5
4.5	49	5
4.5	50	5
5.5	51	5
5.1	52	5
5	53	5
6.1	54	5
5.5	55	5
5.5	56	5
4.9	57	5
4.5	58	5
4.2	59	5
4.4	60	5
4.6	61	5
4.4	62	5
5.8	63	5
4.6	64	5
3.5	65	5
4.6	66	5
5.6	67	5
5.8	68	5
5.9	69	5
5.4	70	5
6.4	71	5
5.6	72	5
5.7	73	5
5.1	74	5
5.6	75	5
6.1	76	5
6	77	5
5.9	78	5
6.1	79	5
6.2	80	5
5.6	1	6
6.5	2	6
7.4	3	6
5.8	4	6
5.5	5	6
4.6	6	6
4.2	7	6
4.2	8	6
4.3	9	6
4.5	10	6
4	11	6
4	12	6
3.6	13	6
3.1	14	6
3.1	15	6
3	16	6
3.6	17	6
4.3	18	6
4.5	19	6
3.6	20	6
3.1	21	6
2.9	22	6
3.5	23	6
4.5	24	6
4	25	6
4.3	26	6
5.5	27	6
5.1	28	6
5	29	6
4.5	30	6
4.4	31	6
4.3	32	6
4.1	33	6
4.6	34	6
4.4	35	6
4.8	36	6
5.2	37	6
5	38	6
5.6	39	6
4.6	40	6
5.6	41	6
4.8	42	6
3.7	43	6
4.5	44	6
4.6	45	6
4	46	6
4.2	47	6
4.5	48	6
4.5	49	6
4.4	50	6
4.4	51	6
3.8	52	6
4.3	53	6
5.2	54	6
4.8	55	6
5.1	56	6
4.7	57	6
4.5	58	6
4.3	59	6
4.9	60	6
4.8	61	6
4.3	62	6
5.2	63	6
5	64	6
6.4	65	6
4	66	6
3.8	67	6
3.3	68	6
4.1	69	6
5.1	70	6
5.5	71	6
4.7	72	6
4.3	73	6
4.5	74	6
5.6	75	6
5	76	6
5	77	6
5	78	6
4.5	79	6
5	80	6
4.9	1	7
5.8	2	7
5.8	3	7
5.2	4	7
4.6	5	7
4.4	6	7
3.5	7	7
3.1	8	7
4.2	9	7
4.2	10	7
3.8	11	7
3.3	12	7
3.1	13	7
3.3	14	7
3.5	15	7
4	16	7
3.9	17	7
5	18	7
4	19	7
3.1	20	7
2.7	21	7
2.5	22	7
3.1	23	7
4.1	24	7
4.2	25	7
4.3	26	7
4.6	27	7
4.4	28	7
4.8	29	7
3.4	30	7
3.8	31	7
3.8	32	7
3.8	33	7
4	34	7
4	35	7
5	36	7
4.8	37	7
5.3	38	7
5.4	39	7
4.3	40	7
4.2	41	7
4.2	42	7
3.8	43	7
4.1	44	7
3.8	45	7
4.2	46	7
4.5	47	7
3.8	48	7
4.4	49	7
3.5	50	7
4.5	51	7
4.8	52	7
4.8	53	7
5.7	54	7
5.3	55	7
4.4	56	7
4	57	7
4.6	58	7
4.4	59	7
3.6	60	7
3.5	61	7
4.6	62	7
6.2	63	7
6.1	64	7
5.9	65	7
5.8	66	7
5	67	7
3.3	68	7
4	69	7
5.1	70	7
5.4	71	7
4.8	72	7
4.5	73	7
3.5	74	7
3.5	75	7
3	76	7
4.9	77	7
3.9	78	7
3	79	7
3.3	80	7
6	1	8
6.6	2	8
6.5	3	8
5.7	4	8
5.4	5	8
4.9	6	8
4.5	7	8
4.3	8	8
4.3	9	8
4.2	10	8
4.2	11	8
3.8	12	8
3.6	13	8
3.5	14	8
4	15	8
3.9	16	8
4	17	8
4.7	18	8
4.2	19	8
4.3	20	8
2.9	21	8
3.5	22	8
4.2	23	8
4	24	8
4.6	25	8
5	26	8
4.9	27	8
4	28	8
4.1	29	8
3.4	30	8
3.6	31	8
3.7	32	8
3.6	33	8
4.6	34	8
4.7	35	8
5	36	8
5	37	8
5.4	38	8
5	39	8
4.6	40	8
4.1	41	8
4.4	42	8
4.3	43	8
4.7	44	8
4.5	45	8
3.9	46	8
4.1	47	8
4	48	8
4.1	49	8
3.9	50	8
4.5	51	8
5.1	52	8
6.2	53	8
5.4	54	8
5	55	8
5	56	8
5	57	8
5.1	58	8
4	59	8
5.1	60	8
4.7	61	8
5.8	62	8
6.2	63	8
7	64	8
5.6	65	8
5.4	66	8
4.9	67	8
4.6	68	8
4.8	69	8
4.5	70	8
4.4	71	8
5.9	72	8
5.2	73	8
4.6	74	8
3.1	75	8
3.5	76	8
3.7	77	8
3.3	78	8
3.7	79	8
4.4	80	8
4.8	1	9
5.3	2	9
5.3	3	9
4.9	4	9
4.6	5	9
4	6	9
4.2	7	9
5.3	8	9
3.4	9	9
3.5	10	9
3.8	11	9
3.1	12	9
2.9	13	9
3.3	14	9
3.3	15	9
4.2	16	9
4.3	17	9
4.3	18	9
3.3	19	9
3.2	20	9
3	21	9
3.7	22	9
3	23	9
4.1	24	9
3.9	25	9
4.2	26	9
4.5	27	9
4.2	28	9
3.1	29	9
3	30	9
3.2	31	9
3.4	32	9
3.7	33	9
3.9	34	9
4.2	35	9
4.3	36	9
3.8	37	9
4.2	38	9
4.6	39	9
