"gen"	"origin"	"loc"	"height"
"G183"	"Ravenshoe"	"L1"	17.4
"G184"	"Ravenshoe"	"L1"	17.58
"G185"	"Ravenshoe"	"L1"	16.52
"G186"	"Ravenshoe"	"L1"	16.78
"G187"	"Ravenshoe"	"L1"	15.36
"G188"	"Ravenshoe"	"L1"	15.76
"G189"	"Ravenshoe"	"L1"	14.57
"G190"	"Ravenshoe"	"L1"	18.46
"G191"	"Ravenshoe"	"L1"	16.87
"G192"	"Ravenshoe"	"L1"	16.92
"G193"	"Ravenshoe"	"L1"	16.5
"G194"	"Ravenshoe"	"L1"	17.71
"G195"	"Ravenshoe"	"L1"	17.62
"G196"	"Ravenshoe"	"L1"	16.29
"G197"	"Ravenshoe"	"L1"	15.94
"G198"	"Ravenshoe"	"L1"	16.46
"G199"	"Ravenshoe"	"L1"	17.74
"G200"	"Ravenshoe"	"L1"	16.9
"G201"	"Ravenshoe"	"L1"	16.28
"G202"	"Ravenshoe"	"L1"	15.78
"G269"	"Atherton"	"L1"	15.54
"G270"	"Atherton"	"L1"	16.41
"G271"	"Atherton"	"L1"	16.51
"G272"	"Atherton"	"L1"	19.43
"G273"	"Atherton"	"L1"	15.03
"G274"	"Atherton"	"L1"	16.68
"G275"	"Atherton"	"L1"	16.9
"G276"	"Atherton"	"L1"	19.03
"G277"	"Atherton"	"L1"	14.83
"G278"	"Atherton"	"L1"	16.22
"G292"	"Atherton"	"L1"	18.07
"G293"	"Atherton"	"L1"	16.5
"G294"	"Atherton"	"L1"	16.39
"G295"	"Atherton"	"L1"	17.4
"G296"	"Atherton"	"L1"	14.49
"G297"	"Atherton"	"L1"	18.99
"G298"	"Atherton"	"L1"	14.4
"G299"	"Atherton"	"L1"	18.9
"G300"	"Atherton"	"L1"	16.87
"G301"	"Atherton"	"L1"	16.69
"G302"	"Atherton"	"L1"	14.87
"G303"	"Atherton"	"L1"	17.3
"G304"	"Atherton"	"L1"	14.63
"G305"	"Atherton"	"L1"	17.27
"G306"	"Atherton"	"L1"	17.9
"G662"	"Bellthorpe"	"L1"	17.37
"G663"	"Bellthorpe"	"L1"	15.23
"G664"	"Bellthorpe"	"L1"	14.49
"G665"	"Bellthorpe"	"L1"	16.51
"G666"	"Bellthorpe"	"L1"	15.9
"G667"	"Bellthorpe"	"L1"	18.69
"G668"	"Bellthorpe"	"L1"	17.84
"G669"	"Bellthorpe"	"L1"	18.21
"G670"	"Bellthorpe"	"L1"	17.56
"G671"	"Bellthorpe"	"L1"	17.87
"G672"	"Bellthorpe"	"L1"	18.93
"G673"	"Bellthorpe"	"L1"	18.83
"G674"	"Bellthorpe"	"L1"	18.09
"G675"	"Bellthorpe"	"L1"	17.31
"G676"	"Bellthorpe"	"L1"	18.3
"G677"	"Bellthorpe"	"L1"	17.06
"G678"	"Bellthorpe"	"L1"	18.13
"G679"	"Bellthorpe"	"L1"	17.18
"G680"	"Bellthorpe"	"L1"	19.65
"G681"	"Bellthorpe"	"L1"	17.79
"G682"	"Bellthorpe"	"L1"	14.37
"G683"	"Bellthorpe"	"L1"	16.77
"G684"	"Bellthorpe"	"L1"	17.16
"G685"	"Bellthorpe"	"L1"	15.57
"G686"	"Bellthorpe"	"L1"	15.12
"G183"	"Ravenshoe"	"L2"	25
"G184"	"Ravenshoe"	"L2"	24
"G185"	"Ravenshoe"	"L2"	23.7
"G186"	"Ravenshoe"	"L2"	22.68
"G187"	"Ravenshoe"	"L2"	21.56
"G188"	"Ravenshoe"	"L2"	22.34
"G189"	"Ravenshoe"	"L2"	20.35
"G190"	"Ravenshoe"	"L2"	24.52
"G191"	"Ravenshoe"	"L2"	20.77
"G192"	"Ravenshoe"	"L2"	22.48
"G193"	"Ravenshoe"	"L2"	22.98
"G194"	"Ravenshoe"	"L2"	23.61
"G195"	"Ravenshoe"	"L2"	22.65
"G196"	"Ravenshoe"	"L2"	23.59
"G197"	"Ravenshoe"	"L2"	23.36
"G198"	"Ravenshoe"	"L2"	22.59
"G199"	"Ravenshoe"	"L2"	23.38
"G200"	"Ravenshoe"	"L2"	21.71
"G201"	"Ravenshoe"	"L2"	20.12
"G202"	"Ravenshoe"	"L2"	22.15
"G269"	"Atherton"	"L2"	23.42
"G270"	"Atherton"	"L2"	21.8
"G271"	"Atherton"	"L2"	22.96
"G272"	"Atherton"	"L2"	23.54
"G273"	"Atherton"	"L2"	19.75
"G274"	"Atherton"	"L2"	23.06
"G275"	"Atherton"	"L2"	22.53
"G276"	"Atherton"	"L2"	25.2
"G277"	"Atherton"	"L2"	23.35
"G278"	"Atherton"	"L2"	21.48
"G292"	"Atherton"	"L2"	23.3
"G293"	"Atherton"	"L2"	22.58
"G294"	"Atherton"	"L2"	22.98
"G295"	"Atherton"	"L2"	22.98
"G296"	"Atherton"	"L2"	21.31
"G297"	"Atherton"	"L2"	24.25
"G298"	"Atherton"	"L2"	21.75
"G299"	"Atherton"	"L2"	24.49
"G300"	"Atherton"	"L2"	24.81
"G301"	"Atherton"	"L2"	21.5
"G302"	"Atherton"	"L2"	20.97
"G303"	"Atherton"	"L2"	22.59
"G304"	"Atherton"	"L2"	21.99
"G305"	"Atherton"	"L2"	24.52
"G306"	"Atherton"	"L2"	23.18
"G662"	"Bellthorpe"	"L2"	23.84
"G663"	"Bellthorpe"	"L2"	17.79
"G664"	"Bellthorpe"	"L2"	23.37
"G665"	"Bellthorpe"	"L2"	23.17
"G666"	"Bellthorpe"	"L2"	23.28
"G667"	"Bellthorpe"	"L2"	24.15
"G668"	"Bellthorpe"	"L2"	22.76
"G669"	"Bellthorpe"	"L2"	23.51
"G670"	"Bellthorpe"	"L2"	23.79
"G671"	"Bellthorpe"	"L2"	23.65
"G672"	"Bellthorpe"	"L2"	23.26
"G673"	"Bellthorpe"	"L2"	23.78
"G674"	"Bellthorpe"	"L2"	23.47
"G675"	"Bellthorpe"	"L2"	22.97
"G676"	"Bellthorpe"	"L2"	23.38
"G677"	"Bellthorpe"	"L2"	23.62
"G678"	"Bellthorpe"	"L2"	23.41
"G679"	"Bellthorpe"	"L2"	22.98
"G680"	"Bellthorpe"	"L2"	24.21
"G681"	"Bellthorpe"	"L2"	24.44
"G682"	"Bellthorpe"	"L2"	19.77
"G683"	"Bellthorpe"	"L2"	20.45
"G684"	"Bellthorpe"	"L2"	22.98
"G685"	"Bellthorpe"	"L2"	20.36
