"loc"	"row"	"col"	"yield"
"L1"	1	1	30.3
"L1"	2	1	27.3
"L1"	3	1	26.5
"L1"	4	1	24.3
"L1"	5	1	36.6
"L1"	6	1	35.4
"L1"	7	1	36.2
"L1"	8	1	36.6
"L1"	1	2	29.8
"L1"	2	2	36.5
"L1"	3	2	31.2
"L1"	4	2	25.3
"L1"	5	2	37.2
"L1"	6	2	35
"L1"	7	2	34.3
"L1"	8	2	40.5
"L1"	1	3	23.6
"L1"	2	3	34.2
"L1"	3	3	36.1
"L1"	4	3	29.9
"L1"	5	3	33.3
"L1"	6	3	35.6
"L1"	7	3	30.3
"L1"	8	3	39.1
"L1"	1	4	23.5
"L1"	2	4	31.9
"L1"	3	4	34.3
"L1"	4	4	35.7
"L1"	5	4	36.9
"L1"	6	4	39.1
"L1"	7	4	38.1
"L1"	8	4	36.2
"L2"	1	1	28.5
"L2"	2	1	32.7
"L2"	3	1	31.7
"L2"	4	1	26.7
"L2"	5	1	25.8
"L2"	6	1	25.1
"L2"	7	1	28.1
"L2"	8	1	30.6
"L2"	9	1	41.4
"L2"	1	2	27.1
"L2"	2	2	20.5
"L2"	3	2	23
"L2"	4	2	21.9
"L2"	5	2	21.4
"L2"	6	2	20.2
"L2"	7	2	25.3
"L2"	8	2	37
"L2"	9	2	49.7
"L2"	1	3	30.4
"L2"	2	3	22.3
"L2"	3	3	23.9
"L2"	4	3	23
"L2"	5	3	20
"L2"	6	3	21.2
"L2"	7	3	21.4
"L2"	8	3	52.7
"L2"	9	3	49.2
"L2"	1	4	27.6
"L2"	2	4	24.8
"L2"	3	4	29.4
"L2"	4	4	25.3
"L2"	5	4	23.7
"L2"	6	4	32.2
"L2"	7	4	25.1
"L2"	8	4	41.9
"L2"	9	4	47.4
"L2"	1	5	25.1
"L2"	2	5	22.1
"L2"	3	5	22.5
"L2"	4	5	26.9
"L2"	5	5	31.1
"L2"	6	5	27.4
"L2"	7	5	28.5
"L2"	8	5	43.9
"L2"	9	5	47.8
"L2"	1	6	23.2
"L2"	2	6	22.8
"L2"	3	6	29
"L2"	4	6	29.4
"L2"	5	6	37.3
"L2"	6	6	34.7
"L2"	7	6	35.7
"L2"	8	6	45.1
"L2"	9	6	43.7
