"row"	"col"	"yield"
1	1	6050
2	1	5580
3	1	5422
4	1	6851
5	1	6816
6	1	5516
7	1	5250
8	1	6050
9	1	4629
10	1	3985
11	1	3692
12	1	4035
13	1	4389
14	1	4978
15	1	5128
16	1	4228
17	1	4324
18	1	5128
19	1	5065
20	1	5026
21	1	2477
22	1	2642
23	1	2675
24	1	2533
25	1	3911
26	1	2747
27	1	3607
28	1	4894
29	1	6487
30	1	5051
31	1	5328
32	1	5015
1	2	5369
2	2	6611
3	2	7316
4	2	5328
5	2	6816
6	2	5516
7	2	4734
8	2	4261
9	2	4105
10	2	3307
11	2	3692
12	2	4035
13	2	3357
14	2	5146
15	2	3390
16	2	5953
17	2	4494
18	2	4954
19	2	3863
20	2	4295
21	2	2990
22	2	1960
23	2	2675
24	2	3232
25	2	3737
26	2	3810
27	2	2023
28	2	4550
29	2	5276
30	2	6292
31	2	7074
32	2	6035
1	3	5113
2	3	4894
3	3	4734
4	3	5159
5	3	6643
6	3	5341
7	3	4906
8	3	6221
9	3	3756
10	3	2968
11	3	3005
12	3	3863
13	3	3184
14	3	4978
15	3	4954
16	3	3710
17	3	3646
18	3	4085
19	3	3863
20	3	4295
21	3	2990
22	3	2983
23	3	3365
24	3	4280
25	3	3563
26	3	5051
27	3	3255
28	3	4207
29	3	5449
30	3	3810
31	3	5153
32	3	5015
1	4	4857
2	4	6611
3	4	5336
4	4	5159
5	4	6126
6	4	5691
7	4	5078
8	4	5198
9	4	3406
10	4	5172
11	4	3692
12	4	3863
13	4	5594
14	4	4978
15	4	6171
16	4	5263
17	4	4833
18	4	3390
19	4	3348
20	4	4112
21	4	4869
22	4	3664
23	4	4400
24	4	4105
25	4	3563
26	4	4519
27	4	4135
28	4	4035
29	4	4930
30	4	3633
31	4	3581
32	4	1615
1	5	5198
2	5	7212
3	5	5422
4	5	5667
5	5	5435
6	5	4640
7	5	4217
8	5	5709
9	5	4804
10	5	6020
11	5	3692
12	5	3778
13	5	6455
14	5	5484
15	5	4085
16	5	5953
17	5	5172
18	5	4954
19	5	3863
20	5	3564
21	5	5382
22	5	5198
23	5	5090
24	5	5502
25	5	5128
26	5	5051
27	5	4135
28	5	2833
29	5	4584
30	5	4697
31	5	4804
32	5	3315
1	6	7414
2	6	7297
3	6	7488
4	6	6513
5	6	5435
6	6	5866
7	6	4906
8	6	6562
9	6	4978
10	6	2968
11	6	4293
12	6	3863
13	6	7660
14	6	3628
15	6	5823
16	6	6126
17	6	6698
18	6	6345
19	6	4550
20	6	6122
21	6	6065
22	6	4857
23	6	5435
24	6	4978
25	6	4954
26	6	5760
27	6	5191
28	6	5409
29	6	5276
30	6	5228
31	6	4804
32	6	5355
1	7	7669
2	7	5495
3	7	5594
4	7	5667
5	7	5263
6	7	5866
7	7	6283
8	7	7414
9	7	5502
10	7	5851
11	7	10903
12	7	6782
13	7	5766
14	7	4303
15	7	6692
16	7	6816
17	7	5003
18	7	1304
19	7	5237
20	7	1553
21	7	6578
22	7	5709
23	7	4918
24	7	5852
25	7	5128
26	7	6282
27	7	5718
28	7	4722
29	7	5449
30	7	5228
31	7	5677
32	7	5015
1	8	5283
2	8	5752
3	8	5594
4	8	7358
5	8	5781
6	8	6917
7	8	5766
8	8	6221
9	8	5502
10	8	8055
11	8	4894
12	8	5580
13	8	6799
14	8	4471
15	8	6171
16	8	7161
17	8	5342
18	8	5997
19	8	5237
20	8	4843
21	8	6749
22	8	6391
23	8	5608
24	8	6726
25	8	4606
26	8	6292
27	8	3255
28	8	6096
29	8	4584
30	8	5760
31	8	6900
32	8	5695
1	9	5709
2	9	5237
3	9	5422
4	9	6512
5	9	6298
6	9	6216
7	9	6283
8	9	7158
9	9	4629
10	9	6359
11	9	6611
12	9	5237
13	9	6799
14	9	5990
15	9	6692
16	9	5435
17	9	5342
18	9	5302
19	9	6439
20	9	6488
21	9	5211
22	9	5369
23	9	5781
24	9	6026
25	9	4954
26	9	7355
