"year"	"plot"	"range"	"yield"	"total"
1905	1	1	337	NA
1905	2	1	303	NA
1905	3	1	346	NA
1905	4	1	301	NA
1905	5	1	306.5	NA
1905	6	1	356	NA
1905	7	1	327	NA
1905	8	1	289	NA
1905	9	1	316	NA
1905	10	1	288	NA
1905	11	1	317	NA
1905	12	1	285	NA
1905	13	1	284	NA
1905	14	1	228	NA
1905	15	1	296	NA
1905	16	1	326	NA
1905	17	1	288.5	NA
1905	1	2	354	1170
1905	2	2	330	937.5
1905	3	2	319.5	860
1905	4	2	379.5	1068.5
1905	5	2	338	918
1905	6	2	349	823.5
1905	7	2	334.5	850.5
1905	8	2	256	545
1905	9	2	214	619
1905	10	2	260	671
1905	11	2	254	674
1905	12	2	236	614
1905	13	2	259	621
1905	14	2	285	1038
1905	15	2	244	868
1905	16	2	221	702
1905	17	2	221	666
1905	1	3	313	1082
1905	2	3	295	944
1905	3	3	297.5	874
1905	4	3	303.5	940
1905	5	3	293.5	889
1905	6	3	303	925.5
1905	7	3	268.5	875
1905	8	3	251.5	745
1905	9	3	240	753.5
1905	10	3	234	827
1905	11	3	233	811
1905	12	3	204	558
1905	13	3	204	542
1905	14	3	201	598
1905	15	3	207	693
1905	16	3	215	686
1905	17	3	199	652
1906	1	2	434	1534
1906	2	2	421	1483
1906	3	2	404	1268
1906	4	2	379	1429
1906	5	2	318	1358
1906	6	2	289	1259
1906	7	2	342	1472
1906	8	2	258	1066
1906	9	2	249	1127
1906	10	2	259	1169
1906	11	2	236	1064
1906	12	2	258	1126
1906	13	2	250	1130
1906	14	2	289.5	1121.5
1906	15	2	259	1160
1906	16	2	225	1098
1906	17	2	208	1028
1906	1	3	233	786
1906	2	3	284	890
1906	3	3	260	768
1906	4	3	252	766
1906	5	3	284	804
1906	6	3	316	904
1906	7	3	252	776
1906	8	3	226	700
1906	9	3	207	638
1906	10	3	225	644
1906	11	3	198	574
1906	12	3	198	574
1906	13	3	216	594
1906	14	3	221	604
1906	15	3	213	612
1906	16	3	218	666
1906	17	3	171	516
1907	1	2	334	726
1907	2	2	318	682
1907	3	2	282	616
1907	4	2	292	660
1907	5	2	294	632
1907	6	2	286	640
1907	7	2	282	634
1907	8	2	290	642
1907	9	2	276	596
1907	10	2	286	636
1907	11	2	290	656
1907	12	2	220	550
1907	13	2	258	576
1907	14	2	254	572
1907	15	2	260	612
1907	16	2	264	668
1907	17	2	250	638
1907	1	3	242	650
1907	2	3	274	686
1907	3	3	278	648
1907	4	3	304	724
1907	5	3	362	848
1907	6	3	370	900
1907	7	3	298	740
1907	8	3	380	828
1907	9	3	333.5	722
1907	10	3	296	676
1907	11	3	287.5	676
1907	12	3	283.5	628
1907	13	3	254.5	624
1907	14	3	250	604
1907	15	3	261	632
1907	16	3	248	654
1907	17	3	207	562
1908	1	2	165	436
1908	2	2	138.75	372
1908	3	2	124	358
1908	4	2	137.24	384
1908	5	2	148.5	404
1908	6	2	152.5	426
1908	7	2	153.4	432
1908	8	2	125	378
1908	9	2	107	334
1908	10	2	97.5	304
1908	11	2	82.25	280
1908	12	2	78.5	258
1908	13	2	86	260
1908	14	2	90	282
1908	15	2	97	288
1908	16	2	96	310
1908	17	2	75	278
1908	1	3	152.5	394
1908	2	3	149	398
1908	3	3	138	360
1908	4	3	127	342
1908	5	3	131.5	348
1908	6	3	149	386
1908	7	3	136	366
1908	8	3	157	408
1908	9	3	125	314
1908	10	3	117	300
1908	11	3	117.25	304
1908	12	3	113	288
1908	13	3	94.75	254
1908	14	3	79	238
1908	15	3	88.5	250
1908	16	3	80	230
1908	17	3	72.75	218
