"study"	"year"	"loc"	"elev"	"region"	"trt"	"yield"	"mold"	"sclerotia"
"S09"	2010	"Agua Fria"	891	"Northern"	"T01"	3729	37.7	5092
"S09"	2010	"Agua Fria"	891	"Northern"	"T02"	3739	11.6	6154
"S09"	2010	"Agua Fria"	891	"Northern"	"T03"	3863	33.5	200
"S09"	2010	"Agua Fria"	891	"Northern"	"T04"	3904	1	180
"S09"	2010	"Agua Fria"	891	"Northern"	"T05"	4471	5.6	1123
"S09"	2010	"Agua Fria"	891	"Northern"	"T06"	4313	1	641
"S09"	2010	"Agua Fria"	891	"Northern"	"T07"	4177	3.7	1203
"S09"	2010	"Agua Fria"	891	"Northern"	"T08"	4001	0	521
"S09"	2010	"Agua Fria"	891	"Northern"	"T09"	4090	1.1	20
"S09"	2010	"Agua Fria"	891	"Northern"	"T10"	4254	0	0
"S09"	2010	"Agua Fria"	891	"Northern"	"T11"	3656	36.8	8479
"S09"	2010	"Agua Fria"	891	"Northern"	"T12"	3581	17.1	5072
"S18"	2010	"Agua Fria"	891	"Northern"	"T01"	3682	31.6	4240
"S18"	2010	"Agua Fria"	891	"Northern"	"T02"	4240	9.9	2090
"S18"	2010	"Agua Fria"	891	"Northern"	"T03"	4395	4.8	590
"S18"	2010	"Agua Fria"	891	"Northern"	"T04"	4405	0.9	920
"S18"	2010	"Agua Fria"	891	"Northern"	"T05"	4296	1.9	210
"S18"	2010	"Agua Fria"	891	"Northern"	"T06"	4065	2.8	1190
"S18"	2010	"Agua Fria"	891	"Northern"	"T07"	4116	11	160
"S18"	2010	"Agua Fria"	891	"Northern"	"T08"	4116	4.7	990
"S18"	2010	"Agua Fria"	891	"Northern"	"T09"	4159	20.7	140
"S27"	2011	"Agua Fria"	891	"Northern"	"T01"	2847	36	9480
"S27"	2011	"Agua Fria"	891	"Northern"	"T02"	3397	13	3300
"S27"	2011	"Agua Fria"	891	"Northern"	"T03"	3515	12	5200
"S27"	2011	"Agua Fria"	891	"Northern"	"T04"	3239	8	5560
"S27"	2011	"Agua Fria"	891	"Northern"	"T05"	3672	7	4000
"S27"	2011	"Agua Fria"	891	"Northern"	"T06"	2996	4	400
"S27"	2011	"Agua Fria"	891	"Northern"	"T07"	4095	6	4480
"S27"	2011	"Agua Fria"	891	"Northern"	"T08"	3666	2	2820
"S27"	2011	"Agua Fria"	891	"Northern"	"T09"	3898	4	760
"S27"	2011	"Agua Fria"	891	"Northern"	"T10"	3284	14	5440
"S27"	2011	"Agua Fria"	891	"Northern"	"T11"	2990	25	5420
"S10"	2010	"Campo Verde"	985	"Northern"	"T01"	1833	43.7	461
"S10"	2010	"Campo Verde"	985	"Northern"	"T02"	2366	38.2	481
"S10"	2010	"Campo Verde"	985	"Northern"	"T03"	2444	28.1	421
"S10"	2010	"Campo Verde"	985	"Northern"	"T04"	2412	14.1	160
"S10"	2010	"Campo Verde"	985	"Northern"	"T05"	2366	21.9	180
"S10"	2010	"Campo Verde"	985	"Northern"	"T06"	2250	14.7	20
"S10"	2010	"Campo Verde"	985	"Northern"	"T07"	2224	17.2	80
"S10"	2010	"Campo Verde"	985	"Northern"	"T08"	2268	17.2	20
"S10"	2010	"Campo Verde"	985	"Northern"	"T11"	2303	21.9	100
"S10"	2010	"Campo Verde"	985	"Northern"	"T12"	2514	14.1	140
"S19"	2010	"Campo Verde"	985	"Northern"	"T01"	1706	31.2	480
"S19"	2010	"Campo Verde"	985	"Northern"	"T02"	1965	21.9	40
"S19"	2010	"Campo Verde"	985	"Northern"	"T03"	2199	14.1	20
"S19"	2010	"Campo Verde"	985	"Northern"	"T04"	2187	17.2	40
"S19"	2010	"Campo Verde"	985	"Northern"	"T05"	2235	12.5	40
"S19"	2010	"Campo Verde"	985	"Northern"	"T06"	1942	19.1	20
"S19"	2010	"Campo Verde"	985	"Northern"	"T07"	2116	15.6	340
"S19"	2010	"Campo Verde"	985	"Northern"	"T08"	2148	18.7	80
"S19"	2010	"Campo Verde"	985	"Northern"	"T09"	1883	25	260
"S33"	2012	"Chapadao do Sul"	813	"Northern"	"T01"	2646	67.5	NA
"S33"	2012	"Chapadao do Sul"	813	"Northern"	"T02"	2977	15	NA
"S33"	2012	"Chapadao do Sul"	813	"Northern"	"T03"	3453	13.8	NA
"S33"	2012	"Chapadao do Sul"	813	"Northern"	"T04"	3622	23.8	NA
"S33"	2012	"Chapadao do Sul"	813	"Northern"	"T05"	3470	11.3	NA
"S33"	2012	"Chapadao do Sul"	813	"Northern"	"T06"	3033	8.8	NA
"S33"	2012	"Chapadao do Sul"	813	"Northern"	"T07"	2770	6.3	NA
"S33"	2012	"Chapadao do Sul"	813	"Northern"	"T08"	2958	7.5	NA
"S33"	2012	"Chapadao do Sul"	813	"Northern"	"T09"	3119	3.8	NA
"S33"	2012	"Chapadao do Sul"	813	"Northern"	"T10"	2976	2.5	NA
"S33"	2012	"Chapadao do Sul"	813	"Northern"	"T11"	2994	31.7	NA
"S31"	2012	"Goianira"	737	"Northern"	"T01"	2786	34.7	3618
"S31"	2012	"Goianira"	737	"Northern"	"T02"	2770	25	2774
"S31"	2012	"Goianira"	737	"Northern"	"T03"	3128	16.4	351
"S31"	2012	"Goianira"	737	"Northern"	"T04"	3445	15.9	2308
"S31"	2012	"Goianira"	737	"Northern"	"T05"	3400	7.1	278
"S31"	2012	"Goianira"	737	"Northern"	"T06"	3704	10.8	24
