"row"	"col"	"yield"
1	3	27.4
2	3	28.7
3	3	32.7
4	3	39.3
5	3	35.3
6	3	35
7	3	36.9
8	3	33.9
9	3	32.7
10	3	29.5
11	3	33.9
12	3	36.1
13	3	28.2
14	3	30.5
15	3	32.4
16	3	29.3
17	3	30.7
18	3	28.2
19	3	30.5
20	3	29.5
21	3	28.1
22	3	33.4
23	3	31.9
24	3	30.6
25	3	31.4
26	3	28.4
27	3	26.9
28	3	33
29	3	34
30	3	30.4
31	3	30.6
32	3	29.7
33	3	32
34	3	32.7
35	3	32.7
36	3	26.7
37	3	27.5
38	3	32.9
39	3	32.7
40	3	31.3
41	3	34.2
42	3	32.5
43	3	32.4
44	3	31
45	3	30.9
46	3	31.6
47	3	30.6
48	3	36.3
49	3	34.2
50	3	31.5
51	3	35.9
52	3	32.3
53	3	36.5
54	3	33.4
55	3	34.7
56	3	35.6
57	3	31.1
58	3	37.7
59	3	35.3
60	3	32.5
1	4	29.1
2	4	31.9
3	4	37.1
4	4	33.3
5	4	34.8
6	4	35.3
7	4	37.2
8	4	35.1
9	4	34.8
10	4	36.1
11	4	38.9
12	4	34.2
13	4	33.5
14	4	36.5
15	4	38.1
16	4	33.7
17	4	34.8
18	4	34.1
19	4	30.3
20	4	39
21	4	31.3
22	4	34
23	4	35
24	4	34.8
25	4	33.9
26	4	34.2
27	4	31.9
28	4	36.1
29	4	29.6
30	4	35.3
31	4	35.3
32	4	32.1
33	4	34.5
34	4	36
35	4	33.6
36	4	35.9
37	4	34.3
38	4	33.3
39	4	33.6
40	4	32.7
41	4	27.9
42	4	28.1
43	4	30.6
44	4	34.5
45	4	30.7
46	4	31.7
47	4	34.7
48	4	33.7
49	4	33.1
50	4	31.9
51	4	32.4
52	4	34.8
53	4	35.7
54	4	30.9
55	4	33.6
56	4	32.8
57	4	28.9
58	4	30.6
59	4	33.3
60	4	34.6
1	5	28
2	5	35.2
3	5	37
4	5	39.7
5	5	39.3
6	5	34.4
7	5	37.3
8	5	35.8
9	5	37.7
10	5	30.4
11	5	40.5
12	5	30.1
13	5	30.3
14	5	32.7
15	5	30.9
16	5	31.6
17	5	27.4
18	5	32.3
19	5	33.5
20	5	32.8
21	5	33.1
22	5	33.5
23	5	35.1
24	5	31.9
25	5	27.6
26	5	31.9
27	5	32.3
28	5	32.9
29	5	35.3
30	5	33.6
31	5	32.8
32	5	31.4
33	5	30.7
34	5	32.3
35	5	33.9
36	5	31.3
37	5	29.7
38	5	31.5
39	5	33.8
40	5	32.5
41	5	32.2
42	5	32
43	5	31.8
44	5	30.6
45	5	30.6
46	5	34.4
47	5	33.9
48	5	33.6
49	5	29.9
50	5	33.8
51	5	29.5
52	5	29.4
53	5	34.9
54	5	31.4
55	5	32.4
56	5	31
57	5	29.2
58	5	28.5
59	5	33.3
60	5	36.8
1	6	33.8
2	6	30.7
3	6	38.2
4	6	35.9
5	6	41
6	6	38.5
7	6	37.2
8	6	41.1
9	6	39.5
10	6	35.6
11	6	30.4
12	6	38.3
13	6	36.4
14	6	35.7
15	6	35.5
16	6	28.2
17	6	33.1
18	6	33.6
19	6	29.6
20	6	32.3
21	6	33.3
22	6	33.7
23	6	33.3
24	6	33.3
25	6	38.9
26	6	30.3
27	6	33.6
28	6	32.7
29	6	35.6
30	6	36.6
31	6	36.3
32	6	31.3
33	6	29.5
34	6	30.2
35	6	34.3
36	6	34.2
37	6	34.6
38	6	32.7
39	6	34.7
40	6	29
41	6	35.4
42	6	35.1
43	6	32.1
44	6	36.7
45	6	30.4
46	6	36.9
47	6	33
48	6	35.7
49	6	32.5
50	6	33.3
51	6	36.1
52	6	35.2
53	6	29
54	6	34.7
55	6	33.5
56	6	32.9
57	6	31.8
58	6	33.5
59	6	34
60	6	34.8
1	7	28.8
2	7	32.9
3	7	38.8
4	7	29.1
5	7	34.5
6	7	41.8
7	7	34.4
8	7	39.3
9	7	38.5
10	7	31.2
11	7	32.7
12	7	33.3
13	7	38.2
14	7	33.9
15	7	32.3
16	7	32
17	7	30.9
18	7	38
19	7	27.8
20	7	32.4
21	7	36.6
22	7	32.9
23	7	36.5
24	7	31.9
25	7	33.5
26	7	30.4
27	7	30.3
28	7	30.3
29	7	31.4
30	7	30.3
31	7	30.5
32	7	32.9
33	7	31.3
34	7	31.6
35	7	34
36	7	28.1
37	7	26.3
38	7	27.6
39	7	31
40	7	28.2
41	7	31.3
42	7	32.6
43	7	29.9
44	7	29.2
45	7	33.8
46	7	29.5
47	7	26.8
48	7	32.9
49	7	28.3
50	7	29.9
51	7	30.8
52	7	35.2
53	7	35.5
54	7	27.8
55	7	28.7
56	7	30.8
57	7	31.6
58	7	26.7
59	7	33
60	7	33.5
1	8	32.2
2	8	34.5
3	8	37.7
4	8	40.6
5	8	35.1
6	8	37.5
7	8	39
8	8	41.8
9	8	31.5
10	8	36.1
11	8	37.3
12	8	38.5
13	8	40.3
14	8	32.5
15	8	34.4
16	8	32.4
17	8	35
18	8	30.1
19	8	34.6
20	8	34.5
21	8	31.9
22	8	34.2
23	8	36.9
24	8	37.3
25	8	32.8
26	8	33.1
27	8	35.9
28	8	28
29	8	29.2
30	8	33.2
31	8	30
32	8	34.8
33	8	36.1
34	8	29.8
35	8	33.9
36	8	33
37	8	34.5
38	8	32.4
39	8	34.4
40	8	33.1
41	8	36
42	8	31.8
43	8	36.6
44	8	33.3
45	8	35.6
46	8	35.7
47	8	35
48	8	33
49	8	35.3
50	8	32.3
51	8	34.7
52	8	36
53	8	32.1
54	8	29
55	8	34.2
56	8	32.3
57	8	30
58	8	32.4
59	8	34.5
60	8	34.6
1	9	23.6
2	9	33.7
3	9	40
4	9	29.5
5	9	38.5
6	9	37.9
7	9	36.9
8	9	38.1
9	9	36.5
10	9	33.3
11	9	34.1
12	9	36.6
13	9	33.1
14	9	33.6
15	9	30.6
16	9	35.3
17	9	29.4
18	9	30.9
19	9	31.6
20	9	28.1
21	9	31.4
22	9	36.6
23	9	30.5
24	9	34.6
25	9	27.4
26	9	37.3
27	9	29.8
28	9	28.1
29	9	27.9
30	9	33.7
31	9	28.1
32	9	29.7
33	9	28.1
34	9	20.5
35	9	29.1
36	9	27.8
37	9	29.9
38	9	27.9
39	9	28.4
40	9	29.3
41	9	31.9
42	9	31.5
43	9	31.1
44	9	29.9
45	9	31.7
46	9	31.5
47	9	31.9
48	9	32.6
49	9	31
50	9	29.9
51	9	30.4
52	9	33.5
53	9	31.1
54	9	29.2
55	9	30
56	9	32.2
57	9	30.4
58	9	36.9
59	9	34.1
60	9	34.8
1	10	28.4
2	10	36.7
3	10	36.2
4	10	40.6
5	10	34.1
6	10	37.9
7	10	37.7
8	10	38.5
9	10	39.3
10	10	38.3
11	10	35.8
12	10	37.6
13	10	38
14	10	34.2
15	10	33.1
16	10	30.6
17	10	32.5
18	10	31.1
19	10	31.4
20	10	34.9
21	10	31
22	10	35.2
23	10	31
24	10	34
25	10	36.1
26	10	29.2
27	10	31.9
28	10	34
29	10	31.5
30	10	29.9
31	10	33
32	10	35.9
33	10	31.5
34	10	34.1
35	10	28.8
36	10	36.9
37	10	28.1
38	10	27.4
39	10	27.1
40	10	31.2
41	10	29.9
42	10	27.5
43	10	29.2
44	10	31.8
45	10	32.5
46	10	27.5
47	10	31.8
48	10	30.1
49	10	32.1
50	10	32.8
51	10	33.6
52	10	33.6
53	10	31.7
54	10	29.3
55	10	31.7
56	10	32.7
57	10	28.1
58	10	33.1
59	10	34.2
60	10	33.2
1	11	23.9
2	11	36.3
3	11	35.6
4	11	33.7
5	11	27.8
6	11	37.2
7	11	40.1
8	11	36.6
9	11	40.3
10	11	33.4
11	11	33.6
12	11	37.1
13	11	37.4
14	11	34.6
15	11	35.6
16	11	32.8
17	11	35.7
18	11	32
19	11	30.8
20	11	32.6
21	11	34.2
22	11	29
23	11	32.2
24	11	33.3
25	11	37.7
26	11	31.5
27	11	32
28	11	36.3
29	11	35.5
30	11	33
31	11	33.4
32	11	33.7
33	11	33.3
34	11	32.9
35	11	37
36	11	26.4
37	11	33.4
38	11	34.1
39	11	30.5
40	11	31.8
41	11	37
42	11	33.3
43	11	32.1
44	11	33.9
45	11	31.6
46	11	32.3
47	11	32.8
48	11	31.9
49	11	35.7
50	11	33.5
51	11	29
52	11	29.5
53	11	28.9
54	11	31.6
55	11	34.2
56	11	34
57	11	33.5
58	11	33.6
59	11	30.4
60	11	29.8
1	12	26.9
2	12	32.1
3	12	37.2
4	12	33
5	12	36.4
6	12	34
7	12	40.9
8	12	35.6
9	12	33.6
10	12	37.3
11	12	36.8
12	12	32.2
13	12	41.6
14	12	32.7
15	12	34.5
16	12	35.9
17	12	33.5
18	12	31.6
19	12	29.7
20	12	33
21	12	35
22	12	33
23	12	36.8
24	12	32.3
25	12	29.7
26	12	32.4
27	12	36.3
28	12	31.9
29	12	36
30	12	30.9
31	12	32.8
32	12	35.1
33	12	33.6
34	12	35.5
35	12	29
36	12	36.4
37	12	32.9
38	12	29.6
39	12	34.6
40	12	32.7
41	12	32.1
42	12	30.7
43	12	34.5
44	12	28.7
45	12	32.8
46	12	33.7
47	12	32.4
48	12	34
49	12	32.9
50	12	35.3
51	12	32.8
52	12	34.6
53	12	32.8
54	12	31.9
55	12	31.8
56	12	33.7
57	12	29.9
58	12	31.6
59	12	31.6
60	12	31.2
1	13	27.8
2	13	38
3	13	35.5
4	13	29
5	13	38.7
6	13	34.7
7	13	41.4
8	13	31.6
9	13	32.9
10	13	38.6
11	13	36.2
12	13	26.4
13	13	39.5
14	13	29.7
15	13	29.9
16	13	32.5
17	13	31.9
18	13	33.3
19	13	32.5
20	13	33.5
21	13	24.8
22	13	32.2
23	13	32.7
24	13	32.7
25	13	31.3
26	13	29.1
27	13	32.7
28	13	31.3
29	13	32.5
30	13	34.9
31	13	34.7
32	13	30.5
33	13	33.5
34	13	32
35	13	29.8
36	13	33.1
37	13	30.7
38	13	32.6
39	13	29.2
40	13	31.5
41	13	33.5
42	13	31.5
43	13	32.5
44	13	32.3
45	13	25.5
46	13	31.4
47	13	33.3
48	13	30.2
49	13	32.4
50	13	30.2
51	13	27.8
52	13	28.8
53	13	34.7
54	13	28.1
55	13	32.6
56	13	31.8
57	13	33.1
58	13	33.1
59	13	30.4
60	13	33.4
1	14	25.4
2	14	28.6
3	14	35.3
4	14	29.5
5	14	35.8
6	14	30.9
7	14	35.7
8	14	26.2
9	14	30.2
10	14	38
11	14	37.3
12	14	35.9
13	14	33.4
14	14	37.6
15	14	31.5
16	14	31.2
17	14	32.5
18	14	27.6
19	14	31.8
20	14	30.4
21	14	29.3
22	14	34.5
23	14	23.1
24	14	28.2
25	14	30.5
26	14	31.9
27	14	27.5
28	14	31.5
29	14	32.5
30	14	37.6
31	14	23.1
32	14	34.2
33	14	29.5
