row	col	yield
1	1	295
1	2	273
1	3	200
1	4	311
1	5	184
1	6	336
1	7	277
1	8	319
1	9	237
1	10	328
1	11	279
1	12	282
1	13	291
1	14	365
1	15	215
1	16	273
1	17	248
1	18	233
1	19	212
1	20	240
1	21	322
1	22	177
1	23	262
1	24	195
1	25	202
1	26	222
1	27	208
1	28	234
1	29	307
1	30	286
1	31	233
1	32	301
1	33	291
1	34	267
1	35	214
1	36	409
1	37	305
1	38	333
1	39	245
1	40	279
1	41	254
1	42	296
1	43	220
1	44	211
1	45	298
1	46	227
1	47	229
1	48	277
1	49	221
1	50	302
1	51	234
1	52	248
1	53	275
1	54	257
1	55	275
1	56	266
1	57	263
1	58	285
1	59	298
1	60	193
1	61	240
1	62	240
1	63	237
1	64	251
1	65	319
1	66	228
1	67	276
1	68	250
1	69	166
1	70	276
1	71	205
1	72	287
1	73	252
1	74	279
1	75	277
1	76	351
1	77	274
1	78	345
1	79	274
1	80	332
1	81	290
1	82	396
1	83	234
1	84	306
1	85	259
1	86	287
1	87	235
1	88	281
1	89	212
1	90	232
1	91	204
1	92	242
1	93	232
1	94	314
1	95	212
1	96	254
1	97	220
1	98	224
1	99	270
1	100	175
2	1	333
2	2	280
2	3	198
2	4	146
2	5	343
2	6	306
2	7	228
2	8	265
2	9	272
2	10	255
2	11	232
2	12	256
2	13	289
2	14	177
2	15	209
2	16	207
2	17	227
2	18	226
2	19	212
2	20	208
2	21	271
2	22	176
2	23	237
2	24	181
2	25	278
2	26	192
2	27	256
2	28	159
2	29	268
2	30	211
2	31	242
2	32	221
2	33	260
2	34	212
2	35	233
2	36	253
2	37	264
2	38	237
2	39	247
2	40	156
2	41	246
2	42	201
2	43	246
2	44	230
2	45	183
2	46	213
2	47	267
2	48	255
2	49	243
2	50	290
2	51	186
2	52	241
2	53	270
2	54	261
2	55	262
2	56	226
2	57	297
2	58	164
2	59	272
2	60	184
2	61	313
2	62	178
2	63	293
2	64	228
2	65	182
2	66	237
2	67	252
2	68	254
2	69	304
2	70	274
2	71	199
2	72	207
2	73	225
2	74	229
2	75	257
2	76	207
2	77	236
2	78	244
2	79	205
2	80	230
2	81	193
2	82	256
2	83	263
2	84	182
2	85	200
2	86	282
2	87	225
2	88	216
2	89	248
2	90	290
2	91	248
2	92	220
2	93	243
2	94	273
2	95	263
2	96	244
2	97	241
2	98	218
2	99	208
2	100	145
3	1	243
3	2	235
3	3	241
3	4	292
3	5	257
3	6	292
3	7	246
3	8	201
3	9	289
3	10	303
3	11	255
3	12	226
3	13	262
3	14	301
3	15	251
3	16	189
3	17	180
3	18	236
3	19	238
3	20	308
3	21	282
3	22	182
3	23	330
3	24	178
3	25	263
3	26	214
3	27	232
3	28	183
3	29	266
3	30	147
3	31	342
3	32	254
3	33	379
3	34	178
3	35	375
3	36	200
3	37	360
3	38	271
3	39	376
3	40	189
3	41	252
3	42	254
3	43	247
3	44	186
3	45	260
3	46	202
3	47	206
3	48	219
3	49	234
3	50	284
3	51	210
3	52	311
3	53	236
3	54	275
3	55	166
3	56	232
3	57	258
3	58	228
3	59	249
3	60	158
3	61	321
3	62	188
3	63	302
3	64	170
3	65	156
3	66	174
3	67	302
3	68	228
3	69	231
3	70	246
3	71	279
3	72	287
3	73	288
3	74	245
3	75	290
3	76	281
3	77	301
3	78	253
3	79	301
