"gen"	"loc"	"yield"	"region"
"Bruce"	"L01"	6010	"Ont"
"Laurier"	"L01"	6563	"Ont"
"Leger"	"L01"	6120	"Ont"
"S1"	"L01"	6119	"Ont"
"S2"	"L01"	5954	"Ont"
"S3"	"L01"	5623	"Ont"
"S4"	"L01"	7222	"Ont"
"S5"	"L01"	6484	"Ont"
"S6"	"L01"	6161	"Ont"
"S7"	"L01"	6351	"Ont"
"T1"	"L01"	5768	"Ont"
"T2"	"L01"	6090	"Ont"
"A01"	"L01"	5485	"Ont"
"A02"	"L01"	5303	"Ont"
"A03"	"L01"	6363	"Ont"
"A04"	"L01"	6520	"Ont"
"A05"	"L01"	5663	"Ont"
"A06"	"L01"	5473	"Ont"
"A07"	"L01"	6531	"Ont"
"A08"	"L01"	6164	"Ont"
"A09"	"L01"	5760	"Ont"
"A10"	"L01"	6554	"Ont"
"A11"	"L01"	6953	"Ont"
"Bruce"	"L02"	6228	"Ont"
"Laurier"	"L02"	6643	"Ont"
"Leger"	"L02"	6761	"Ont"
"S1"	"L02"	7246	"Ont"
"S2"	"L02"	6589	"Ont"
"S3"	"L02"	6132	"Ont"
"S4"	"L02"	7057	"Ont"
"S5"	"L02"	6928	"Ont"
"S6"	"L02"	6294	"Ont"
"S7"	"L02"	7025	"Ont"
"T1"	"L02"	5617	"Ont"
"T2"	"L02"	6224	"Ont"
"A01"	"L02"	6292	"Ont"
"A02"	"L02"	6911	"Ont"
"A03"	"L02"	6932	"Ont"
"A04"	"L02"	6846	"Ont"
"A05"	"L02"	6811	"Ont"
"A06"	"L02"	7108	"Ont"
"A07"	"L02"	7316	"Ont"
"A08"	"L02"	6338	"Ont"
"A09"	"L02"	6847	"Ont"
"A10"	"L02"	6769	"Ont"
"A11"	"L02"	6603	"Ont"
"Bruce"	"L03"	3908	"Ont"
"Laurier"	"L03"	3905	"Ont"
"Leger"	"L03"	4499	"Ont"
"S1"	"L03"	4105	"Ont"
"S2"	"L03"	3940	"Ont"
"S3"	"L03"	3329	"Ont"
"S4"	"L03"	5457	"Ont"
"S5"	"L03"	4163	"Ont"
"S6"	"L03"	3583	"Ont"
"S7"	"L03"	4453	"Ont"
"T1"	"L03"	4176	"Ont"
"T2"	"L03"	3900	"Ont"
"A01"	"L03"	3557	"Ont"
"A02"	"L03"	3343	"Ont"
