"env"	"block"	"gen"	"yield"
"Realta"	"B1"	"A"	174
"Realta"	"B2"	"A"	298
"Realta"	"B3"	"A"	317
"Realta"	"B4"	"A"	317
"Haag"	"B1"	"A"	386
"Haag"	"B2"	"A"	184
"Haag"	"B3"	"A"	344
"Haag"	"B4"	"A"	323
"Kalchrain"	"B1"	"A"	508
"Kalchrain"	"B2"	"A"	450
"Kalchrain"	"B3"	"A"	489
"Kalchrain"	"B4"	"A"	530
"Reckenholz"	"B1"	"A"	554
"Reckenholz"	"B2"	"A"	448
"Reckenholz"	"B3"	"A"	528
"Reckenholz"	"B4"	"A"	506
"Hallau"	"B1"	"A"	468
"Hallau"	"B2"	"A"	444
"Hallau"	"B3"	"A"	467
"Hallau"	"B4"	"A"	472
"Wallierhof"	"B1"	"A"	364
"Wallierhof"	"B2"	"A"	378
"Wallierhof"	"B3"	"A"	395
"Wallierhof"	"B4"	"A"	394
"Grunenmatt"	"B1"	"A"	432
"Grunenmatt"	"B2"	"A"	380
"Grunenmatt"	"B3"	"A"	355
"Grunenmatt"	"B4"	"A"	346
"Realta"	"B1"	"B"	362
"Realta"	"B2"	"B"	373
"Realta"	"B3"	"B"	442
"Realta"	"B4"	"B"	363
"Haag"	"B1"	"B"	382
"Haag"	"B2"	"B"	338
"Haag"	"B3"	"B"	350
"Haag"	"B4"	"B"	315
"Kalchrain"	"B1"	"B"	436
"Kalchrain"	"B2"	"B"	473
"Kalchrain"	"B3"	"B"	457
"Kalchrain"	"B4"	"B"	437
"Reckenholz"	"B1"	"B"	479
"Reckenholz"	"B2"	"B"	542
"Reckenholz"	"B3"	"B"	578
"Reckenholz"	"B4"	"B"	489
"Hallau"	"B1"	"B"	560
"Hallau"	"B2"	"B"	546
"Hallau"	"B3"	"B"	564
"Hallau"	"B4"	"B"	606
"Wallierhof"	"B1"	"B"	333
"Wallierhof"	"B2"	"B"	436
"Wallierhof"	"B3"	"B"	426
"Wallierhof"	"B4"	"B"	433
"Grunenmatt"	"B1"	"B"	431
