"row"	"col"	"yield"
1	1	361
2	1	353
3	1	330
4	1	381
5	1	418
6	1	412
7	1	370
8	1	305
9	1	373
10	1	334
11	1	385
12	1	390
13	1	381
14	1	456
15	1	420
16	1	390
17	1	402
18	1	388
19	1	362
20	1	360
21	1	405
22	1	339
23	1	398
24	1	287
25	1	517
26	1	467
27	1	386
28	1	475
29	1	450
30	1	404
31	1	475
32	1	392
33	1	394
34	1	396
35	1	390
36	1	385
37	1	352
38	1	388
39	1	368
40	1	387
41	1	336
42	1	324
43	1	423
44	1	370
45	1	NA
46	1	350
47	1	348
48	1	330
49	1	417
50	1	510
51	1	405
52	1	265
53	1	461
54	1	340
55	1	348
56	1	364
57	1	535
58	1	353
59	1	375
60	1	295
61	1	302
62	1	252
63	1	372
64	1	310
65	1	341
66	1	287
67	1	368
68	1	310
69	1	300
70	1	352
71	1	375
72	1	306
73	1	375
74	1	355
75	1	345
76	1	370
77	1	414
78	1	316
79	1	289
80	1	335
81	1	395
82	1	323
83	1	400
84	1	370
85	1	354
86	1	365
87	1	350
88	1	300
89	1	335
90	1	387
1	2	334
2	2	465
3	2	340
4	2	398
5	2	225
6	2	405
7	2	367
8	2	351
9	2	425
10	2	387
11	2	400
12	2	415
13	2	378
14	2	482
15	2	495
16	2	473
17	2	495
18	2	507
19	2	523
20	2	470
21	2	598
22	2	483
23	2	470
24	2	443
25	2	445
26	2	472
27	2	492
28	2	445
29	2	455
30	2	412
31	2	435
32	2	431
33	2	455
34	2	440
35	2	425
36	2	445
37	2	360
38	2	425
39	2	440
40	2	485
41	2	446
42	2	465
43	2	392
44	2	490
45	2	413
46	2	608
47	2	452
48	2	404
49	2	386
50	2	405
51	2	345
52	2	411
53	2	394
54	2	392
55	2	445
56	2	420
57	2	335
58	2	392
59	2	367
60	2	296
61	2	330
62	2	330
63	2	390
64	2	450
65	2	320
66	2	268
67	2	332
68	2	337
69	2	325
70	2	354
71	2	354
72	2	320
73	2	387
74	2	365
75	2	425
76	2	420
77	2	366
78	2	287
79	2	286
80	2	336
81	2	335
82	2	394
83	2	380
84	2	410
85	2	390
86	2	406
87	2	357
88	2	278
89	2	256
90	2	314
1	3	343
2	3	502
3	3	416
4	3	540
5	3	538
6	3	455
7	3	476
8	3	605
9	3	518
10	3	613
11	3	619
12	3	590
13	3	565
14	3	546
15	3	475
16	3	445
17	3	570
18	3	431
19	3	448
20	3	512
21	3	441
22	3	452
23	3	406
24	3	451
25	3	458
26	3	440
27	3	449
28	3	410
29	3	460
30	3	412
31	3	458
32	3	410
33	3	412
34	3	385
35	3	355
36	3	340
37	3	395
38	3	335
39	3	410
40	3	420
41	3	380
42	3	421
43	3	408
44	3	447
45	3	418
46	3	390
47	3	405
48	3	325
49	3	402
50	3	360
51	3	370
52	3	414
53	3	355
54	3	315
55	3	370
56	3	318
57	3	314
58	3	350
59	3	350
60	3	377
61	3	285
62	3	404
63	3	394
64	3	380
65	3	388
66	3	425
67	3	382
68	3	406
69	3	358
70	3	325
71	3	388
72	3	432
73	3	242
74	3	444
75	3	395
76	3	415
77	3	325
78	3	311
79	3	376
80	3	343
81	3	336
82	3	355
83	3	280
84	3	260
85	3	246
86	3	380
87	3	357
88	3	325
89	3	348
90	3	340
1	4	373
2	4	376
3	4	438
4	4	430
5	4	430
6	4	443
7	4	470
8	4	435
9	4	484
10	4	490
11	4	564
12	4	567
13	4	488
14	4	482
15	4	448
16	4	521
