"field"	"row"	"col"	"grain"	"straw"
"10"	1	1	9.2	12.2
"10"	1	2	8.4	11.7
"10"	1	3	8.5	12.5
"10"	1	4	9.2	12
"10"	1	5	8	12.2
"10"	10	1	9.2	10.2
"10"	10	2	6.3	8.5
"10"	10	3	8.6	9.7
"10"	10	4	7.8	10.2
"10"	10	5	8.7	12.2
"10"	11	1	9.9	10.5
"10"	11	2	8.2	10
"10"	11	3	8.7	10.5
"10"	11	4	8.3	9.7
"10"	11	5	8.8	10
"10"	12	1	9.2	11.5
"10"	12	2	8.3	9.7
"10"	12	3	8.7	9
"10"	12	4	8.4	12.5
"10"	12	5	8.1	10.5
"10"	13	1	8.9	13.7
"10"	13	2	9.2	10
"10"	13	3	9.4	8.5
"10"	13	4	8.6	8.7
"10"	13	5	9.1	10.5
"10"	14	1	9.6	10.5
"10"	14	2	8.7	11.2
"10"	14	3	9.1	12
"10"	14	4	7.9	11.2
"10"	14	5	8.5	11
"10"	2	1	9.8	12
"10"	2	2	8.2	11.5
"10"	2	3	8.3	10.2
"10"	2	4	8.2	10
"10"	2	5	8.6	11.5
"10"	3	1	8.3	10
"10"	3	2	8.2	9.7
"10"	3	3	7.2	9.2
"10"	3	4	8.6	10.5
"10"	3	5	7.7	11
"10"	4	1	7.5	11
"10"	4	2	8.4	9.2
"10"	4	3	8.3	9
"10"	4	4	8.5	10
"10"	4	5	8.4	11.5
"10"	5	1	8.7	10
"10"	5	2	7.4	10
"10"	5	3	8.2	9.7
"10"	5	4	7.3	10.2
"10"	5	5	7.9	11
"10"	6	1	9.3	11
"10"	6	2	8.5	9.5
"10"	6	3	7.9	8.5
"10"	6	4	7.8	10
"10"	6	5	8.3	10.2
"10"	7	1	9.1	10.5
"10"	7	2	8.7	9.2
"10"	7	3	8	9.5
"10"	7	4	7.7	9.7
"10"	7	5	8.6	10
"10"	8	1	8.4	11
"10"	8	2	7.8	9.7
"10"	8	3	7.9	9.7
"10"	8	4	8.2	11.5
"10"	8	5	8.4	12
"10"	9	1	9.3	10.5
"10"	9	2	6.8	8.2
"10"	9	3	8.6	9.2
"10"	9	4	8.3	11
"10"	9	5	8.7	11.5
"11"	1	1	5.4	7
"11"	1	2	6.8	9
"11"	1	3	7.4	10
"11"	1	4	6.8	7.5
"11"	1	5	7.1	9.7
"11"	10	1	8.8	7.5
"11"	10	2	6.7	7
"11"	10	3	6.5	6.7
"11"	10	4	6.4	8
"11"	10	5	8.1	8.5
"11"	11	1	8.2	10
"11"	11	2	6.9	8.5
"11"	11	3	7.8	8.5
"11"	11	4	6	6.5
"11"	11	5	9	10.5
"11"	12	1	8.5	9.7
"11"	12	2	7	11
"11"	12	3	6.7	8
"11"	12	4	7.5	8.5
"11"	12	5	7.7	11
"11"	13	1	8.3	10.2
"11"	13	2	7.5	9
"11"	13	3	7.7	9.5
"11"	13	4	8	9
"11"	13	5	8.4	10.5
"11"	14	1	8.3	10
"11"	14	2	7.4	9
"11"	14	3	7.9	11
"11"	14	4	8.3	9
"11"	14	5	7.6	10
"11"	2	1	4.7	6
"11"	2	2	5.8	7
"11"	2	3	5.2	8.5
"11"	2	4	4.8	5.5
"11"	2	5	6.9	8
"11"	3	1	7.2	7.5
"11"	3	2	6.8	7
"11"	3	3	5.8	7
"11"	3	4	6.7	7.5
"11"	3	5	5.5	6.5
"11"	4	1	6.4	9
"11"	4	2	6.7	7
"11"	4	3	6.9	6.7
"11"	4	4	6.7	8
"11"	4	5	5.9	6.5
"11"	5	1	6.7	7.7
"11"	5	2	7.2	9
"11"	5	3	6.4	7.5
"11"	5	4	6.9	8.5
"11"	5	5	7.1	8.2
"11"	6	1	7.3	8
"11"	6	2	6.9	7
"11"	6	3	6.5	7.5
"11"	6	4	7.6	9
"11"	6	5	7.8	10
"11"	7	1	8.2	9
"11"	7	2	6.8	7.2
"11"	7	3	7.2	8.5
"11"	7	4	8.1	9
"11"	7	5	7.7	8.7
"11"	8	1	8.3	11.5
"11"	8	2	6.8	8.2
"11"	8	3	7.9	8.5
"11"	8	4	7.6	11
"11"	8	5	8.2	9.5
"11"	9	1	7.6	12
"11"	9	2	6.9	8.5
"11"	9	3	8	9.5
"11"	9	4	7.3	9
"11"	9	5	8	9.2
"12"	1	1	7.2	8.2
"12"	1	2	5.4	8
"12"	1	3	7.1	9.5
"12"	1	4	6.2	8.2
"12"	1	5	6.8	10
"12"	10	1	5.5	5.7
"12"	10	2	3.4	8
"12"	10	3	1.9	4.7
"12"	10	4	3.1	9.2
"12"	10	5	7.4	11
"12"	11	1	6.1	6.7
"12"	11	2	2.8	5
"12"	11	3	1.8	7
"12"	11	4	3.5	7
"12"	11	5	8	8.5
"12"	12	1	5.1	7
"12"	12	2	2.1	7.2
"12"	12	3	1.3	6
"12"	12	4	4.2	8.5
"12"	12	5	8.4	11.5
"12"	13	1	5.6	9.2
"12"	13	2	2.2	7.5
"12"	13	3	2.2	7
"12"	13	4	5.1	9
"12"	13	5	8.7	10
"12"	14	1	4.5	6
"12"	14	2	5.6	8.5
"12"	14	3	7.6	10.2
"12"	14	4	8.1	11.5
"12"	14	5	6.8	10
"12"	2	1	5.1	6.2
"12"	2	2	3.1	4.7
"12"	2	3	3.9	5.5
"12"	2	4	4.1	4.7
"12"	2	5	5	9
"12"	3	1	5.6	7.7
"12"	3	2	3.8	6.2
"12"	3	3	1.8	4.2
"12"	3	4	4.9	6.5
"12"	3	5	6.6	9.2
"12"	4	1	5.7	8
"12"	4	2	3.3	4.5
"12"	4	3	1.5	4
"12"	4	4	4.9	5.7
"12"	4	5	7	7.7
"12"	5	1	4.7	6
"12"	5	2	3.3	5.7
"12"	5	3	1.2	2.5
"12"	5	4	3	4.5
"12"	5	5	6.8	8
"12"	6	1	5.2	5.5
"12"	6	2	2.4	5.2
"12"	6	3	1.9	4
"12"	6	4	2.4	4.5
"12"	6	5	6.7	7.2
"12"	7	1	4.8	6.2
"12"	7	2	2.7	5.7
"12"	7	3	1.1	4
"12"	7	4	2.2	4.5
"12"	7	5	5.7	6.2
"12"	8	1	8.7	11.2
"12"	8	2	2.5	6
"12"	8	3	1.1	4.5
"12"	8	4	1.9	5.5
"12"	8	5	5.2	7.5
"12"	9	1	6.6	7.2
"12"	9	2	2.8	7.2
"12"	9	3	1.8	6.2
"12"	9	4	4.2	6.7
"12"	9	5	5.7	6.7
"13"	1	1	4.5	8.5
"13"	1	2	4.5	9.2
"13"	1	3	4.7	9.2
"13"	1	4	4.2	8.7
"13"	1	5	3.2	7
"13"	10	1	4.6	8.5
"13"	10	2	6.2	11
"13"	10	3	4.2	9
"13"	10	4	5.9	9
"13"	10	5	7.4	10.7
"13"	11	1	3.7	7.5
"13"	11	2	3.2	7
"13"	11	3	2.7	4.5
