"row"	"section"	"yield"
1	1	20.5
2	1	27
3	1	28
4	1	25.5
5	1	23
6	1	28.5
7	1	32
8	1	27
9	1	27
10	1	24
11	1	27.5
12	1	27.7
13	1	28.5
14	1	17
15	1	26.5
16	1	27
17	1	25
18	1	18.5
19	1	22.5
20	1	25.5
21	1	23
22	1	22.5
23	1	28
24	1	24
25	1	20
26	1	20.2
27	1	24.2
28	1	28
29	1	20.7
30	1	21
31	1	27
32	1	26.5
33	1	22
34	1	26
1	2	17.5
2	2	22
3	2	21
4	2	22.5
5	2	20.5
6	2	31.7
7	2	24
8	2	26.5
9	2	26
10	2	29.5
11	2	27
12	2	29.5
13	2	28.5
14	2	29
15	2	20.5
16	2	26
17	2	22.5
18	2	25.5
19	2	28.2
20	2	31
21	2	26.2
22	2	28
23	2	34.7
24	2	33
25	2	26
26	2	33.5
27	2	23
28	2	33.5
29	2	34
30	2	28
31	2	27
32	2	28
33	2	29.7
34	2	38
1	3	27
2	3	27.5
3	3	20
4	3	21
5	3	14
6	3	22.7
7	3	13
8	3	24
9	3	20.5
10	3	28
11	3	27
12	3	35.7
13	3	32
14	3	30
15	3	20.2
16	3	21
17	3	29.2
18	3	29
19	3	28
20	3	27
21	3	24
22	3	23
23	3	20
24	3	28
25	3	22.7
26	3	19
27	3	16.7
28	3	16.5
29	3	18
30	3	18.5
31	3	18
32	3	19.5
33	3	19.5
34	3	18.5
1	4	20
2	4	24.5
3	4	29.5
4	4	24.5
5	4	20
6	4	19
7	4	17
8	4	12.5
9	4	8.5
10	4	26
11	4	17.5
12	4	19
13	4	19
14	4	22
15	4	17.2
16	4	20
17	4	20.5
18	4	27
19	4	19.5
20	4	22.5
21	4	23
22	4	25
23	4	24.7
24	4	24
25	4	23
26	4	20
27	4	21
28	4	21
29	4	23.5
30	4	23
31	4	23.7
32	4	22
33	4	26
34	4	20
1	5	26
2	5	27.2
3	5	24
4	5	25.5
5	5	26
6	5	21
7	5	25
8	5	22.5
9	5	17
10	5	20.5
11	5	21.5
12	5	20
13	5	14
14	5	19
15	5	23
16	5	16.2
17	5	17.7
18	5	22
19	5	18
20	5	23.5
21	5	25
22	5	26.5
23	5	21.7
24	5	18
25	5	20
26	5	19
27	5	21
28	5	19.5
29	5	20.7
30	5	22
31	5	20.2
32	5	17
33	5	18
34	5	25
1	6	12
2	6	21.2
3	6	18
4	6	23.5
5	6	20.5
6	6	22
7	6	20.5
8	6	18
9	6	17.5
10	6	18.7
11	6	16.5
12	6	16.7
13	6	21
14	6	21
15	6	12.5
16	6	10.2
17	6	16
18	6	20
19	6	19
20	6	18
21	6	24
22	6	26
23	6	15
24	6	18.5
25	6	19.5
26	6	16
27	6	20
28	6	22.7
29	6	20
30	6	18.5
31	6	20.7
32	6	20
33	6	26.5
34	6	27.2
