"field"	"plat"	"row"	"col"	"number"	"weight"
19	1	4	1	152	2116
19	2	3	1	171	2059
19	3	2	1	174	2340
19	4	1	1	172	2136
19	5	4	2	164	1904
19	6	3	2	184	2030
19	7	2	2	183	2256
19	8	1	2	171	2254
19	9	4	3	178	1963
19	10	3	3	189	2022
19	11	2	3	187	2024
19	12	1	3	174	2028
19	13	4	4	159	1950
19	14	3	4	183	2103
19	15	2	4	178	2076
19	16	1	4	167	2005
19	17	4	5	164	2084
19	18	3	5	174	2125
19	19	2	5	181	2219
19	20	1	5	177	2121
19	21	4	6	145	2081
19	22	3	6	177	2167
19	23	2	6	151	2244
19	24	1	6	153	2099
82	1	3	1	227	1236
82	2	2	1	233	1245
82	3	1	1	232	1301
82	4	3	2	181	1122
82	5	2	2	174	1223
82	6	1	2	232	1262
82	7	3	3	235	1210
82	8	2	3	195	1303
82	9	1	3	232	1285
82	10	3	4	220	1268
82	11	2	4	227	1275
82	12	1	4	238	1286
82	13	3	5	234	1182
82	14	2	5	214	1200
82	15	1	5	228	1266
82	16	3	6	219	1230
82	17	2	6	221	1221
82	18	1	6	229	1308
82	19	3	7	209	1194
82	20	2	7	214	1307
82	21	1	7	220	1383
82	22	3	8	222	1302
82	23	2	8	231	1353
82	24	1	8	231	1386
21	1	5	1	144	2149
21	2	4	1	169	2147
21	3	3	1	164	2221
21	4	2	1	160	2052
21	5	1	1	137	2015
21	6	5	2	169	1973
21	7	4	2	171	2216
21	8	3	2	128	2363
21	9	2	2	179	2021
21	10	1	2	184	2042
21	11	5	3	189	1762
21	12	4	3	203	1985
21	13	3	3	149	2152
21	14	2	3	192	2007
21	15	1	3	154	2100
21	16	5	4	162	2017
21	17	4	4	193	2000
21	18	3	4	184	1987
21	19	2	4	194	1859
21	20	1	4	180	1966
21	21	5	5	174	2061
21	22	4	5	172	2159
21	23	3	5	171	1978
21	24	2	5	178	2112
21	25	1	5	179	2076
1	8	8	1	635	2413
1	7	7	1	608	2486
1	6	6	1	626	2508
1	5	5	1	639	2427
1	4	4	1	638	2458
1	3	3	1	647	2445
1	2	2	1	626	2477
1	1	1	1	593	2454
1	9	8	2	591	2517
1	10	7	2	616	2541
1	11	6	2	614	2545
1	12	5	2	618	2554
1	13	4	2	586	2472
1	14	3	2	647	2549
1	15	2	2	616	2549
1	16	1	2	639	2613
1	24	8	3	632	2486
1	23	7	3	625	2576
1	22	6	3	624	2544
1	21	5	3	617	2636
1	20	4	3	629	2644
1	19	3	3	609	2622
1	18	2	3	623	2617
1	17	1	3	619	2499
1	25	8	4	532	2468
1	26	7	4	611	2536
1	27	6	4	569	2481
1	28	5	4	605	2554
1	29	4	4	608	2522
1	30	3	4	601	2545
1	31	2	4	587	2517
1	32	1	4	578	2554
1	40	8	5	571	2531
1	39	7	5	601	2572
1	38	6	5	599	2545
1	37	5	5	595	2490
1	36	4	5	574	2527
1	35	3	5	559	2567
1	34	2	5	547	2604
1	33	1	5	581	2490
1	41	8	6	541	2468
1	42	7	6	571	2545
1	43	6	6	577	2576
1	44	5	6	597	2459
1	45	4	6	577	2512
1	46	3	6	551	2476
1	47	2	6	581	2499
1	48	1	6	573	2390
1	56	8	7	522	2486
1	55	7	7	585	2544
1	54	6	7	595	2545
1	53	5	7	583	2517
1	52	4	7	577	2499
1	51	3	7	599	2481
1	50	2	7	581	2472
1	49	1	7	524	2454
1	57	8	8	556	2304
1	58	7	8	595	2363
1	59	6	8	621	2381
1	60	5	8	606	2354
1	61	4	8	630	2345
1	62	3	8	611	2381
1	63	2	8	578	2400
1	64	1	8	604	2409
