"row"	"col"	"yield"
1	1	227
2	1	125
3	1	79
4	1	153
5	1	205
6	1	126
7	1	157
8	1	150
9	1	110
10	1	161
11	1	149
12	1	87
13	1	158
14	1	141
15	1	101
16	1	58
17	1	126
18	1	81
19	1	73
20	1	127
1	2	96
2	2	144
3	2	95
4	2	133
5	2	179
6	2	105
7	2	115
8	2	187
9	2	179
10	2	100
11	2	162
12	2	173
13	2	137
14	2	154
15	2	149
16	2	161
17	2	122
18	2	100
19	2	114
20	2	122
1	3	149
2	3	157
3	3	101
4	3	135
5	3	112
6	3	166
7	3	108
8	3	154
9	3	131
10	3	137
11	3	109
12	3	190
13	3	133
14	3	95
15	3	89
16	3	173
17	3	203
18	3	145
19	3	99
20	3	179
1	4	147
2	4	109
3	4	145
4	4	178
5	4	110
6	4	109
7	4	74
8	4	123
9	4	113
10	4	175
11	4	132
12	4	135
13	4	110
14	4	30
15	4	139
16	4	124
17	4	180
18	4	145
19	4	328
20	4	110
1	5	152
2	5	163
3	5	140
4	5	154
5	5	154
6	5	129
7	5	161
8	5	154
9	5	132
10	5	106
11	5	149
12	5	130
13	5	213
14	5	149
15	5	198
16	5	133
17	5	169
18	5	118
19	5	95
20	5	145
1	6	134
2	6	112
3	6	154
4	6	143
5	6	170
6	6	126
7	6	123
8	6	135
9	6	132
10	6	112
11	6	132
12	6	128
13	6	86
14	6	73
15	6	100
16	6	104
17	6	149
18	6	119
19	6	86
20	6	205
1	7	152
2	7	150
3	7	173
4	7	71
5	7	138
6	7	175
7	7	134
8	7	173
9	7	126
10	7	173
11	7	175
12	7	78
13	7	54
14	7	140
15	7	87
16	7	92
17	7	183
18	7	242
19	7	121
20	7	163
1	8	109
2	8	129
3	8	83
4	8	53
5	8	171
6	8	214
7	8	150
8	8	210
9	8	150
10	8	138
11	8	157
12	8	69
13	8	192
14	8	115
15	8	141
16	8	156
17	8	195
18	8	154
19	8	208
20	8	101
1	9	104
2	9	103
3	9	307
4	9	210
5	9	43
6	9	157
7	9	126
8	9	161
9	9	161
10	9	170
11	9	169
12	9	127
13	9	118
14	9	206
15	9	158
16	9	149
17	9	193
18	9	135
19	9	92
20	9	66
1	10	167
2	10	71
3	10	190
4	10	238
5	10	195
6	10	118
7	10	116
8	10	190
9	10	129
10	10	86
11	10	179
12	10	113
13	10	132
14	10	122
15	10	161
16	10	157
17	10	76
18	10	84
19	10	58
20	10	74
1	11	127
2	11	139
3	11	153
4	11	109
5	11	158
6	11	102
7	11	215
8	11	103
9	11	107
10	11	56
11	11	102
12	11	112
13	11	83
14	11	112
15	11	123
16	11	69
17	11	126
18	11	215
19	11	34
20	11	89
1	12	138
2	12	37
3	12	146
4	12	139
5	12	99
6	12	179
7	12	143
8	12	113
9	12	93
10	12	146
11	12	132
12	12	200
13	12	145
14	12	279
15	12	172
16	12	145
17	12	134
18	12	168
19	12	105
20	12	115
1	13	38
2	13	93
3	13	66
4	13	145
5	13	124
6	13	200
7	13	108
8	13	111
9	13	156
10	13	179
11	13	226
12	13	158
13	13	118
14	13	208
15	13	249
16	13	184
17	13	158
18	13	185
19	13	159
20	13	91
1	14	126
2	14	116
3	14	121
4	14	135
5	14	162
6	14	106
7	14	160
8	14	137
9	14	103
10	14	153
11	14	122
12	14	152
13	14	148
14	14	153
15	14	169
16	14	164
17	14	42
18	14	121
19	14	78
20	14	145
1	15	118
2	15	111
3	15	117
4	15	85
5	15	74
6	15	192
7	15	169
8	15	117
9	15	144
10	15	202
11	15	192
12	15	187
13	15	86
14	15	165
15	15	158
16	15	143
17	15	147
18	15	74
19	15	102
20	15	51
1	16	89
2	16	126
3	16	171
4	16	116
5	16	130
6	16	118
7	16	75
8	16	90
9	16	139
10	16	126
11	16	126
12	16	122
13	16	85
14	16	146
15	16	150
16	16	132
17	16	127
18	16	131
19	16	141
20	16	68
1	17	115
2	17	128
3	17	120
4	17	147
5	17	155
6	17	139
7	17	140
8	17	44
9	17	152
10	17	120
11	17	126
12	17	146
13	17	144
14	17	258
15	17	89
16	17	153
17	17	113
18	17	124
19	17	148
20	17	93
1	18	119
2	18	150
3	18	90
4	18	128
5	18	141
6	18	119
7	18	134
8	18	142
9	18	133
10	18	152
11	18	141
12	18	169
13	18	163
14	18	138
15	18	190
16	18	122
17	18	333
18	18	93
19	18	91
20	18	138
1	19	138
2	19	135
3	19	141
4	19	161
5	19	99
6	19	118
7	19	116
8	19	166
9	19	76
10	19	124
11	19	101
12	19	151
13	19	54
14	19	91
15	19	101
16	19	77
17	19	127
18	19	156
19	19	89
20	19	138
1	20	88
2	20	124
3	20	197
4	20	142
5	20	130
6	20	57
7	20	126
8	20	118
9	20	59
10	20	140
11	20	135
12	20	150
13	20	107
14	20	108
15	20	103
16	20	103
17	20	170
18	20	88
19	20	121
20	20	109
1	21	120
2	21	136
3	21	113
4	21	124
5	21	74
6	21	155
7	21	123
8	21	144
9	21	138
10	21	160
11	21	129
12	21	163
13	21	71
14	21	152
15	21	173
16	21	127
17	21	123
18	21	129
19	21	103
20	21	131
1	22	136
2	22	113
3	22	108
4	22	134
5	22	138
6	22	129
7	22	67
8	22	118
9	22	118
10	22	101
11	22	128
12	22	133
13	22	140
14	22	92
15	22	133
16	22	136
17	22	84
18	22	133
19	22	82
20	22	124
1	23	158
2	23	114
3	23	163
4	23	171
5	23	152
6	23	113
7	23	128
8	23	87
9	23	161
10	23	126
11	23	88
12	23	91
13	23	204
14	23	137
15	23	129
16	23	114
17	23	128
18	23	124
19	23	175
20	23	56
1	24	156
2	24	239
3	24	124
4	24	129
5	24	150
6	24	170
7	24	68
8	24	92
9	24	194
10	24	95
11	24	80
12	24	85
13	24	150
14	24	173
15	24	201
16	24	133
17	24	88
18	24	118
19	24	125
20	24	179
1	25	144
2	25	147
3	25	143
4	25	103
5	25	99
6	25	150
7	25	161
8	25	101
9	25	117
10	25	101
11	25	131
12	25	120
13	25	186
14	25	110
15	25	72
16	25	106
17	25	182
18	25	64
19	25	90
20	25	131
1	26	102
2	26	144
3	26	146
4	26	132
5	26	74
6	26	98
7	26	104
8	26	80
9	26	123
10	26	99
11	26	143
12	26	119
13	26	122
14	26	85
15	26	84
16	26	68
17	26	124
18	26	87
19	26	122
20	26	135
1	27	100
2	27	170
3	27	147
4	27	137
5	27	143
6	27	203
7	27	95
8	27	81
9	27	105
10	27	120
11	27	107
12	27	145
13	27	140
14	27	107
15	27	95
16	27	125
17	27	115
18	27	100
19	27	127
20	27	60
1	28	99
2	28	138
3	28	154
4	28	123
5	28	160
6	28	132
7	28	163
8	28	144
9	28	160
10	28	114
11	28	125
12	28	172
13	28	149
14	28	137
15	28	151
16	28	122
17	28	121
18	28	148
19	28	56
20	28	114
1	29	149
2	29	140
3	29	223
4	29	167
5	29	158
6	29	136
7	29	207
8	29	169
9	29	133
10	29	147
11	29	154
