"row"	"col"	"yield"
1	1	1.193823
2	1	1.031029
3	1	1.338529
4	1	0.940588
5	1	1.374705
6	1	1.049117
7	1	1.012941
8	1	0.904411
9	1	1.23
10	1	1.085294
11	1	0.832058
12	1	1.338529
13	1	1.157647
14	1	0.904411
15	1	1.157647
16	1	0.97676
17	1	1.049117
18	1	1.012941
19	1	0.904411
20	1	0.723529
21	1	0.832058
22	1	0.868235
23	1	0.940588
24	1	0.832058
25	1	1.085294
26	1	1.085294
27	1	0.868235
28	1	0.832058
29	1	0.868235
30	1	0.868235
31	1	0.651176
32	1	0.832058
33	1	0.97676
34	1	0.578823
35	1	0.904411
36	1	0.904411
1	2	1.049117
2	2	0.81397
3	2	1.012941
4	2	1.012941
5	2	1.085294
6	2	1.338529
7	2	1.049117
8	2	0.868235
9	2	1.049117
10	2	1.012941
11	2	1.23
12	2	1.23
13	2	0.940588
14	2	0.832058
15	2	0.868235
16	2	1.193823
17	2	0.81397
18	2	1.193823
19	2	0.868235
20	2	1.085294
21	2	0.795882
22	2	0.795882
23	2	1.049117
24	2	0.97676
25	2	1.085294
26	2	1.157647
27	2	0.940588
28	2	0.904411
29	2	0.868235
30	2	0.904411
31	2	0.795882
32	2	0.832058
33	2	0.904411
34	2	0.868235
35	2	0.759705
36	2	0.651176
1	3	1.085294
2	3	1.302353
3	3	1.085294
4	3	0.651176
5	3	1.012941
6	3	0.97676
7	3	1.157647
8	3	1.085294
9	3	1.266176
10	3	1.085294
11	3	0.832058
12	3	1.23
13	3	0.868235
14	3	1.23
15	3	1.23
16	3	1.23
17	3	0.868235
18	3	1.121471
19	3	0.940588
20	3	0.904411
21	3	0.904411
22	3	1.049117
23	3	1.012941
24	3	0.795882
25	3	0.97676
26	3	1.085294
27	3	0.904411
28	3	0.795882
29	3	1.012941
30	3	1.157647
31	3	0.940588
32	3	1.302353
33	3	0.795882
34	3	0.651176
35	3	0.97676
36	3	0.904411
1	4	1.121471
2	4	1.085294
3	4	1.085294
4	4	0.97676
5	4	0.904411
6	4	1.012941
7	4	0.868235
8	4	0.97676
9	4	1.447058
10	4	1.157647
11	4	1.157647
12	4	1.266176
13	4	0.940588
14	4	1.193823
15	4	1.085294
16	4	1.157647
17	4	1.302353
18	4	0.97676
19	4	1.23
20	4	1.23
21	4	0.940588
22	4	0.940588
23	4	0.868235
24	4	0.868235
25	4	1.157647
26	4	0.940588
27	4	0.868235
28	4	1.012941
29	4	0.904411
30	4	1.157647
31	4	1.157647
32	4	0.868235
33	4	0.940588
34	4	1.157647
35	4	1.23
36	4	0.940588
1	5	0.795882
2	5	0.904411
3	5	1.012941
4	5	0.97676
5	5	0.868235
6	5	0.940588
7	5	1.085294
8	5	1.012941
9	5	1.23
10	5	1.085294
11	5	1.085294
12	5	1.121471
13	5	0.940588
14	5	0.904411
15	5	0.97676
16	5	1.085294
17	5	1.266176
18	5	1.085294
19	5	1.121471
20	5	1.23
21	5	1.374705
22	5	1.121471
23	5	1.049117
24	5	1.085294
25	5	0.868235
26	5	0.97676
27	5	1.157647
28	5	1.121471
29	5	1.157647
30	5	1.193823
31	5	1.338529
32	5	1.049117
33	5	0.868235
34	5	1.302353
35	5	0.97676
36	5	1.157647
1	6	0.904411
2	6	0.615
3	6	0.904411
4	6	0.868235
5	6	1.193823
6	6	1.23
7	6	0.832058
8	6	1.157647
9	6	1.23
10	6	1.121471
11	6	1.085294
12	6	0.795882
13	6	1.085294
14	6	0.615
15	6	1.157647
16	6	0.832058
17	6	0.832058
18	6	1.23
19	6	1.157647
20	6	0.832058
21	6	0.940588
22	6	0.868235
23	6	1.193823
24	6	0.940588
25	6	1.012941
26	6	1.23
27	6	1.266176
28	6	1.049117
29	6	0.832058
30	6	1.23
31	6	1.193823
32	6	1.085294
33	6	0.868235
34	6	1.012941
35	6	1.085294
36	6	0.97676
1	7	0.904411
2	7	0.832058
3	7	0.795882
4	7	0.687352
5	7	0.904411
6	7	0.97676
7	7	1.085294
8	7	0.868235
9	7	0.868235
10	7	1.374705
11	7	0.50647
12	7	0.940588
13	7	0.97676
14	7	1.012941
15	7	0.97676
16	7	0.868235
17	7	1.012941
18	7	1.193823
19	7	1.012941
20	7	1.012941
21	7	1.085294
22	7	0.832058
23	7	0.832058
24	7	0.904411
25	7	1.121471
26	7	1.23
27	7	1.085294
28	7	0.868235
29	7	1.012941
30	7	0.868235
