"row"	"col"	"yield"
1	1	2242
2	1	1986
3	1	1891
4	1	2686
5	1	2086
6	1	1866
7	1	2622
8	1	2309
9	1	2140
10	1	2368
11	1	1882
12	1	1743
13	1	2184
14	1	1651
15	1	2341
16	1	2560
17	1	2461
18	1	2684
19	1	2156
20	1	1946
21	1	1895
22	1	1781
23	1	2329
24	1	2227
25	1	2107
26	1	2169
1	2	2053
2	2	2273
3	2	2332
4	2	2107
5	2	2129
6	2	2059
7	2	1969
8	2	2249
9	2	2394
10	2	2554
11	2	2268
12	2	2441
13	2	2228
14	2	2250
15	2	2262
16	2	2447
17	2	2328
18	2	2167
19	2	1932
20	2	2210
21	2	2511
22	2	2296
23	2	2179
24	2	2214
25	2	2151
26	2	2120
1	3	2362
2	3	2058
3	3	1882
4	3	1713
5	3	2104
6	3	1795
7	3	2068
8	3	2000
9	3	1847
10	3	2055
11	3	2202
12	3	1855
13	3	2023
14	3	2325
15	3	1872
16	3	1738
17	3	2082
18	3	1846
19	3	1999
20	3	2265
21	3	2076
22	3	2442
23	3	2290
24	3	1792
25	3	1863
26	3	2160
1	4	1960
2	4	2038
3	4	1866
4	4	1881
5	4	1954
6	4	1656
7	4	1704
8	4	1843
9	4	2059
10	4	1929
11	4	1857
12	4	1973
13	4	1738
14	4	2020
15	4	2041
16	4	1757
17	4	1913
18	4	2042
19	4	1984
20	4	2263
21	4	1929
22	4	1973
23	4	2027
24	4	1923
25	4	1876
26	4	1602
1	5	1711
2	5	1861
3	5	1648
4	5	1898
5	5	1714
6	5	1787
7	5	1789
8	5	1856
9	5	1790
10	5	1839
11	5	1854
12	5	1974
13	5	1951
14	5	1889
15	5	1798
16	5	1758
17	5	1693
18	5	1675
19	5	2140
20	5	1974
21	5	1843
22	5	1928
23	5	1955
24	5	1960
25	5	1849
26	5	1860
1	6	1906
2	6	1956
3	6	1792
4	6	1731
5	6	2011
6	6	2100
7	6	1980
8	6	1842
9	6	1963
10	6	1769
11	6	1858
12	6	1961
13	6	1840
14	6	1826
15	6	1823
16	6	1796
17	6	1834
18	6	1775
19	6	1844
20	6	1989
21	6	1946
22	6	1889
23	6	1847
24	6	1912
25	6	1889
26	6	2035
1	7	2015
2	7	2066
3	7	2042
4	7	2044
5	7	1997
6	7	1933
7	7	1911
8	7	1826
9	7	1866
10	7	1963
11	7	1946
12	7	1899
13	7	1825
14	7	1914
15	7	1988
16	7	1998
17	7	1978
18	7	1867
19	7	2021
20	7	2015
21	7	1964
22	7	1766
23	7	1806
24	7	1853
25	7	1901
26	7	1947
1	8	2235
2	8	1975
3	8	1868
4	8	1978
5	8	1846
6	8	1941
7	8	2155
8	8	1956
9	8	2331
10	8	2180
11	8	1992
12	8	1963
13	8	2150
14	8	1950
15	8	2028
16	8	1977
17	8	1991
18	8	2064
19	8	1814
20	8	1953
21	8	2049
22	8	2039
23	8	1976
24	8	2083
25	8	1938
26	8	2010
1	9	2031
2	9	1967
3	9	2023
4	9	2032
5	9	2094
6	9	2153
7	9	2031
8	9	2083
9	9	2017
10	9	2023
11	9	1986
12	9	1921
13	9	1871
14	9	1898
15	9	1815
16	9	1797
17	9	1831
18	9	1754
19	9	1947
20	9	1912
21	9	2041
22	9	1958
23	9	2030
24	9	1854
25	9	2038
26	9	2055
1	10	2070
2	10	1976
3	10	2016
4	10	2066
5	10	1897
6	10	2021
7	10	1952
8	10	1998
9	10	2072
10	10	1969
11	10	2003
12	10	1989
13	10	1953
14	10	2019
15	10	2135
16	10	2017
17	10	1991
18	10	2186
19	10	2190
20	10	1961
21	10	2234
22	10	2300
23	10	2110
24	10	2258
25	10	2092
26	10	1953
1	11	1967
2	11	2071
3	11	2239
4	11	2450
5	11	2351
6	11	2375
7	11	2190
8	11	2056
9	11	1995
10	11	1881
11	11	2254
12	11	2147
13	11	2087
14	11	2063
15	11	2161
16	11	1932
17	11	1960
18	11	2034
19	11	2140
20	11	2212
21	11	1930
22	11	2201
23	11	1997
24	11	1982
25	11	1991
26	11	2109
1	12	2081
2	12	1952
3	12	1993
4	12	2003
5	12	2071
6	12	1999
7	12	2051
8	12	2146
9	12	1979
10	12	2061
11	12	1918
12	12	1815
13	12	2170
14	12	2081
15	12	1961
16	12	1889
17	12	1917
18	12	1960
19	12	1082
20	12	1971
21	12	1937
22	12	1895
23	12	1903
24	12	1932
25	12	2015
26	12	2031
1	13	1963
2	13	1924
3	13	1963
4	13	2043
5	13	2027
6	13	2014
7	13	1982
8	13	2098
9	13	1978
10	13	1953
11	13	1969
12	13	2081
13	13	2179
14	13	2056
15	13	2111
16	13	2020
17	13	2264
18	13	2040
19	13	2069
20	13	1983
21	13	1977
22	13	1960
23	13	2030
24	13	2140
25	13	1966
26	13	2014
1	14	2315
2	14	2099
3	14	2031
4	14	1987
5	14	2218
6	14	2340
7	14	2160
8	14	2080
9	14	2040
10	14	1982
11	14	2033
12	14	1968
13	14	1873
14	14	1960
15	14	2084
16	14	2268
17	14	2241
18	14	1983
19	14	1957
20	14	2088
21	14	2096
22	14	2140
23	14	2267
24	14	2311
25	14	2104
26	14	2069
1	15	1980
2	15	2160
3	15	2140
4	15	1961
5	15	1978
6	15	1832
7	15	1952
8	15	1987
9	15	2040
10	15	1915
11	15	2246
12	15	2170
13	15	1998
14	15	1977
15	15	2130
16	15	1920
17	15	2011
18	15	1960
19	15	1981
20	15	2034
21	15	1854
22	15	1942
23	15	2032
24	15	2063
25	15	1858
26	15	1942
1	16	2031
2	16	2063
3	16	1958
4	16	2067
5	16	1918
6	16	2061
7	16	2054
8	16	1934
9	16	2056
10	16	2140
11	16	2080
12	16	2120
13	16	2010
14	16	2073
15	16	2069
16	16	2041
17	16	1992
18	16	1942
19	16	1890
20	16	1870
21	16	1867
22	16	1897
23	16	1840
24	16	1894
25	16	1930
26	16	1013
1	17	2016
2	17	1938
3	17	2130
4	17	1960
5	17	2043
6	17	2050
7	17	2067
8	17	1940
9	17	2068
10	17	2054
11	17	1869
12	17	2060
13	17	1930
14	17	1967
15	17	2040
16	17	1931
17	17	2019
18	17	2214
19	17	2066
20	17	2080
21	17	2140
22	17	2280
23	17	1979
24	17	2194
25	17	2208
26	17	1974
1	18	2235
2	18	2256
3	18	2154
4	18	2280
5	18	2017
6	18	1984
7	18	2063
8	18	2139
9	18	2354
10	18	2315
11	18	2275
12	18	2246
13	18	2080
14	18	1976
15	18	1909
16	18	2274
17	18	2196
18	18	2107
19	18	2022
20	18	2061
21	18	1960
22	18	1987
23	18	2109
24	18	2280
25	18	2240
26	18	1970
1	19	2163
2	19	1986
3	19	1954
4	19	1960
5	19	2031
6	19	2040
7	19	2015
8	19	1984
9	19	2054
10	19	2040
11	19	1987
12	19	2060
13	19	2108
14	19	1991
15	19	2001
16	19	1015
17	19	1860
18	19	2080
19	19	2193
20	19	1962
21	19	1817
22	19	1889
23	19	1982
24	19	1970
25	19	1964
26	19	1994
1	20	1887
2	20	1845
3	20	1957
4	20	2061
5	20	2047
6	20	2078
7	20	2050
8	20	2098
9	20	2049
10	20	2015
11	20	2140
12	20	2093
13	20	2163
14	20	2086
15	20	1991
16	20	1980
17	20	2060
18	20	2092
19	20	2046
20	20	2170
21	20	2087
22	20	2246
23	20	2251
24	20	2198
25	20	2073
26	20	2047
1	21	2087
2	21	2143
3	21	2187
4	21	2140
5	21	2283
6	21	2305
7	21	2299
8	21	2115
9	21	2086
10	21	2196
11	21	2276
12	21	2284
13	21	2185
14	21	2064
15	21	2082
16	21	2041
17	21	2015
18	21	1987
19	21	2016
20	21	2260
21	21	2174
22	21	2190
23	21	2076
24	21	2053
25	21	2064
26	21	2119
1	22	2178
2	22	2163
3	22	2281
4	22	2178
5	22	2108
6	22	2029
7	22	2141
8	22	2167
9	22	2018
10	22	2143
11	22	1964
12	22	2130
13	22	2047
14	22	2069
15	22	1986
16	22	2107
17	22	2061
18	22	1996
19	22	2054
20	22	1954
21	22	1991
22	22	2183
23	22	1986
24	22	2063
25	22	2043
26	22	2185
1	23	2152
2	23	2215
3	23	2160
4	23	2090
5	23	1985
6	23	2113
7	23	2186
8	23	1977
9	23	2143
10	23	2109
11	23	2079
12	23	2123
13	23	2087
14	23	2060
15	23	2163
16	23	2216
17	23	2141
18	23	2271
19	23	2114
20	23	2167
21	23	2090
22	23	1987
23	23	2067
24	23	1987
25	23	2163
26	23	2070
1	24	1987
2	24	1980
3	24	1964
4	24	2007
5	24	2190
6	24	2220
7	24	2153
8	24	2086
9	24	2054
10	24	2069
11	24	2133
12	24	1940
13	24	2115
14	24	2085
15	24	2155
16	24	2006
17	24	2060
18	24	2187
19	24	2161
20	24	2008
21	24	2091
22	24	2077
23	24	2195
24	24	2075
25	24	2093
26	24	2075
