"row"	"col"	"yield"
1	1	12
2	1	15
3	1	13
4	1	12.4
5	1	12.6
6	1	9.8
7	1	11.4
8	1	11.2
9	1	12.4
10	1	10
11	1	11
12	1	12.4
13	1	10
14	1	10.4
15	1	12.2
16	1	11
17	1	13.8
18	1	11.2
19	1	13
20	1	13.2
21	1	14.6
22	1	14
23	1	13.4
24	1	11.6
25	1	12.6
26	1	10
27	1	11
28	1	14
29	1	11.8
30	1	12.6
31	1	12.4
32	1	12.4
33	1	13.4
34	1	13.8
35	1	14
36	1	12
37	1	13
38	1	13.6
39	1	13.6
40	1	11.4
41	1	14.4
42	1	14.4
43	1	13
44	1	14.2
45	1	14
46	1	13
47	1	14
48	1	15.6
49	1	15
50	1	16
51	1	11.6
52	1	15.2
53	1	14.8
54	1	14
55	1	13.8
56	1	14.2
57	1	14
58	1	16
59	1	16
60	1	13.4
61	1	15.4
62	1	15
63	1	16.6
64	1	14.6
65	1	15.6
66	1	14.6
67	1	14.4
68	1	12
69	1	15.2
70	1	15
71	1	17.4
72	1	16
73	1	15
74	1	14
75	1	14
76	1	13.6
77	1	14.2
78	1	14
79	1	12.2
80	1	13.4
81	1	14.8
82	1	13.6
83	1	13.2
84	1	14
85	1	15
86	1	14
87	1	15.8
88	1	16
89	1	15.2
90	1	16.6
91	1	15.6
92	1	15
93	1	15
94	1	15.2
95	1	15
96	1	13.6
97	1	14
98	1	18
99	1	17
100	1	14.4
101	1	17
102	1	14.4
103	1	15.4
104	1	15.4
105	1	15.8
106	1	16.4
107	1	15.4
108	1	14.4
109	1	12.4
110	1	12.4
111	1	11.4
112	1	11.6
113	1	12
114	1	11.6
115	1	14
116	1	11.4
117	1	14.4
118	1	12.6
119	1	14.2
120	1	15
121	1	16
122	1	14.6
123	1	12
124	1	15
125	1	14.4
126	1	14
127	1	16
128	1	16.2
129	1	17
130	1	15.4
131	1	14
132	1	16
133	1	17.4
134	1	17
135	1	20.6
136	1	15.6
137	1	13.4
138	1	17.8
139	1	21
140	1	20
141	1	20.6
142	1	19
143	1	15.4
144	1	18.2
145	1	18.8
146	1	19.2
147	1	20.8
148	1	21
149	1	17
150	1	18
151	1	15.2
152	1	17
153	1	15.2
154	1	16.2
155	1	15
156	1	14.6
157	1	15
158	1	11.4
159	1	15.6
160	1	15.6
161	1	16.6
162	1	15.6
163	1	14.2
164	1	14.2
165	1	14.6
166	1	13.8
167	1	13.8
168	1	13
169	1	12
170	1	14
171	1	13.2
172	1	15
173	1	15
174	1	14.6
175	1	14.6
176	1	15
177	1	14
178	1	16.2
179	1	13.4
180	1	15
181	1	14.8
182	1	13.4
183	1	12.2
184	1	9.6
185	1	13.2
186	1	14.6
187	1	14.2
188	1	13
189	1	11
190	1	14
191	1	12.4
192	1	9.4
193	1	11
194	1	12.6
195	1	10
196	1	11
197	1	11
198	1	12.4
199	1	11.8
200	1	10.8
201	1	11.2
202	1	10.6
203	1	10.4
204	1	12
205	1	10
206	1	10.2
207	1	12.4
208	1	12
