gen	date	density	block	yield
Barkant	21Aug1990	1	B1	2.7
Barkant	21Aug1990	1	B2	1.4
Barkant	21Aug1990	1	B3	1.2
Barkant	21Aug1990	1	B4	3.8
Barkant	21Aug1990	2	B1	7.3
Barkant	21Aug1990	2	B2	3.8
Barkant	21Aug1990	2	B3	3
Barkant	21Aug1990	2	B4	1.2
Barkant	21Aug1990	4	B1	6.5
Barkant	21Aug1990	4	B2	4.6
Barkant	21Aug1990	4	B3	4.7
Barkant	21Aug1990	4	B4	0.8
Barkant	21Aug1990	8	B1	8.2
Barkant	21Aug1990	8	B2	4
Barkant	21Aug1990	8	B3	6
Barkant	21Aug1990	8	B4	2.5
Barkant	28Aug1990	1	B1	4.4
Barkant	28Aug1990	1	B2	0.4
Barkant	28Aug1990	1	B3	6.5
Barkant	28Aug1990	1	B4	3.1
Barkant	28Aug1990	2	B1	2.6
Barkant	28Aug1990	2	B2	7.1
Barkant	28Aug1990	2	B3	7
Barkant	28Aug1990	2	B4	3.2
Barkant	28Aug1990	4	B1	24
Barkant	28Aug1990	4	B2	14.9
Barkant	28Aug1990	4	B3	14.6
Barkant	28Aug1990	4	B4	2.6
Barkant	28Aug1990	8	B1	12.2
Barkant	28Aug1990	8	B2	18.9
Barkant	28Aug1990	8	B3	15.6
Barkant	28Aug1990	8	B4	9.9
Marco	21Aug1990	1	B1	1.2
Marco	21Aug1990	1	B2	1.3
Marco	21Aug1990	1	B3	1.5
Marco	21Aug1990	1	B4	1
Marco	21Aug1990	2	B1	2.2
Marco	21Aug1990	2	B2	2
Marco	21Aug1990	2	B3	2.1
Marco	21Aug1990	2	B4	2.5
Marco	21Aug1990	4	B1	2.2
Marco	21Aug1990	4	B2	6.2
Marco	21Aug1990	4	B3	5.7
Marco	21Aug1990	4	B4	0.6
Marco	21Aug1990	8	B1	4
Marco	21Aug1990	8	B2	2.8
Marco	21Aug1990	8	B3	10.8
Marco	21Aug1990	8	B4	3.1
Marco	28Aug1990	1	B1	2.5
Marco	28Aug1990	1	B2	1.6
Marco	28Aug1990	1	B3	1.3
Marco	28Aug1990	1	B4	0.3
Marco	28Aug1990	2	B1	5.5
Marco	28Aug1990	2	B2	1.2
Marco	28Aug1990	2	B3	2
Marco	28Aug1990	2	B4	0.9
Marco	28Aug1990	4	B1	4.7
Marco	28Aug1990	4	B2	13.2
Marco	28Aug1990	4	B3	9
Marco	28Aug1990	4	B4	2.9
Marco	28Aug1990	8	B1	14.9
Marco	28Aug1990	8	B2	13.3
Marco	28Aug1990	8	B3	9.3
Marco	28Aug1990	8	B4	3.6
