"row"	"col"	"yield"
1	1	4
2	1	15
3	1	15
4	1	11.5
5	1	8.5
6	1	5
7	1	6
8	1	8
9	1	9.5
10	1	11
11	1	4.5
12	1	6
13	1	4.5
14	1	9.5
15	1	5.5
16	1	7
17	1	8
18	1	4
19	1	4
20	1	4
1	2	5
2	2	16.5
3	2	13.5
4	2	8
5	2	7.5
6	2	8.5
7	2	10
8	2	7
9	2	11.5
10	2	15.5
11	2	7
12	2	12.5
13	2	5
14	2	8.5
15	2	4
16	2	4
17	2	4
18	2	5
19	2	3
20	2	2.5
1	3	7.5
2	3	16
3	3	10.5
4	3	11.5
5	3	6.5
6	3	6
7	3	10.5
8	3	5
9	3	9
10	3	11.5
11	3	5
12	3	12.5
13	3	9
14	3	3
15	3	6.5
16	3	6
17	3	6
18	3	3.5
19	3	3
20	3	3.5
1	4	11
2	4	20.5
3	4	15.5
4	4	7.5
5	4	4.5
6	4	7.5
7	4	15
8	4	4.5
9	4	10.5
10	4	8
11	4	9
12	4	9
13	4	4
14	4	5.5
15	4	3.5
16	4	4
17	4	4
18	4	6.5
19	4	5
20	4	2
1	5	8
2	5	10.5
3	5	12.5
4	5	5.5
5	5	10
6	5	6.5
7	5	8
8	5	6
9	5	9
10	5	14
11	5	9
12	5	8.5
13	5	9.5
14	5	3.5
15	5	4.5
16	5	7
17	5	7.5
18	5	9
19	5	3
20	5	3
1	6	10
2	6	17.5
3	6	19.5
4	6	10
5	6	9.5
6	6	9
7	6	10.5
8	6	6
9	6	6.5
10	6	11
11	6	4.5
12	6	10.5
13	6	12.5
14	6	6.5
15	6	5
16	6	6
17	6	7.5
18	6	5.5
19	6	1.5
20	6	3.5
1	7	9
2	7	14.5
3	7	20
4	7	14.5
5	7	13.5
6	7	5.5
7	7	17
8	7	6.5
9	7	11.5
10	7	9
11	7	7
12	7	9
13	7	7.5
14	7	4.5
15	7	5
16	7	8.5
17	7	3.5
18	7	2
19	7	2.5
20	7	4.5
1	8	10
2	8	12
3	8	14
4	8	13
5	8	14.5
6	8	8
7	8	13.5
8	8	5.5
9	8	8.5
10	8	10
11	8	8
12	8	8
13	8	9
14	8	3
15	8	2
16	8	2.5
17	8	6.5
18	8	3.5
19	8	2.5
20	8	5
1	9	7.5
2	9	7.5
3	9	9.5
4	9	7.5
5	9	7.5
6	9	8.5
7	9	3.5
8	9	6
9	9	9
10	9	8.5
11	9	5
12	9	8.5
13	9	7
14	9	3
15	9	3
16	9	3
17	9	4
18	9	5
19	9	3.5
20	9	1.5
1	10	6.5
2	10	15
3	10	18
4	10	10.5
5	10	17
6	10	3.5
7	10	6
8	10	5
9	10	8
10	10	5.5
11	10	7
12	10	4.5
13	10	2.5
14	10	8.5
15	10	4.5
16	10	4.5
17	10	8
18	10	4.5
19	10	4.5
20	10	4.5
1	11	7
2	11	14.5
