"farm"	"breed"	"lambclass"	"y"
"F1"	"A"	"L0"	10
"F1"	"A"	"L1"	21
"F1"	"A"	"L2"	96
"F1"	"A"	"L3"	23
"F1"	"B"	"L0"	4
"F1"	"B"	"L1"	6
"F1"	"B"	"L2"	28
"F1"	"B"	"L3"	8
"F1"	"C"	"L0"	6
"F1"	"C"	"L1"	7
"F1"	"C"	"L2"	58
"F1"	"C"	"L3"	7
"F2"	"A"	"L0"	8
"F2"	"A"	"L1"	19
"F2"	"A"	"L2"	44
"F2"	"A"	"L3"	1
"F2"	"B"	"L0"	5
"F2"	"B"	"L1"	17
"F2"	"B"	"L2"	56
"F2"	"B"	"L3"	1
"F2"	"C"	"L0"	1
"F2"	"C"	"L1"	5
"F2"	"C"	"L2"	20
"F2"	"C"	"L3"	2
"F3"	"A"	"L0"	22
"F3"	"A"	"L1"	95
"F3"	"A"	"L2"	103
"F3"	"A"	"L3"	4
"F3"	"B"	"L0"	18
"F3"	"B"	"L1"	49
"F3"	"B"	"L2"	62
"F3"	"B"	"L3"	0
"F3"	"C"	"L0"	4
"F3"	"C"	"L1"	12
"F3"	"C"	"L2"	16
"F3"	"C"	"L3"	2
