row	col	roots	leaves
20	1	376	67
20	2	371	52
20	3	355	50
20	4	356	50
20	5	335	48
20	6	332	44
20	7	335	51
20	8	340	50
20	9	352	46
20	10	352	49
19	1	316	56
19	2	338	51
19	3	336	48
19	4	356	50
19	5	332	49
19	6	340	48
19	7	339	47
19	8	359	48
19	9	365	52
19	10	349	46
18	1	326	56
18	2	326	47
18	3	335	47
18	4	343	49
18	5	330	47
18	6	328	47
18	7	350	52
18	8	339	47
18	9	337	50
18	10	362	46
17	1	317	54
17	2	343	54
17	3	330	50
17	4	327	46
17	5	336	45
17	6	340	51
17	7	335	47
17	8	301	44
17	9	348	46
17	10	357	52
16	1	321	50
16	2	332	46
16	3	317	44
16	4	318	47
16	5	306	48
16	6	331	46
16	7	335	47
16	8	311	47
16	9	329	46
16	10	353	49
15	1	335	56
15	2	349	51
15	3	332	44
15	4	358	48
15	5	325	45
15	6	348	49
15	7	328	48
15	8	290	41
15	9	326	44
15	10	323	44
14	1	341	57
14	2	346	52
14	3	321	46
14	4	321	48
14	5	314	45
14	6	340	50
14	7	337	52
14	8	321	45
14	9	329	44
14	10	317	41
13	1	347	59
13	2	363	58
13	3	349	49
13	4	341	51
13	5	329	46
13	6	321	46
13	7	337	45
13	8	300	46
13	9	364	50
13	10	310	45
12	1	354	64
12	2	365	54
12	3	350	49
12	4	339	47
12	5	316	42
12	6	342	49
12	7	335	49
12	8	331	48
12	9	345	51
12	10	327	47
11	1	309	55
11	2	352	56
11	3	328	49
11	4	297	43
11	5	308	40
11	6	343	46
11	7	349	54
11	8	372	51
11	9	362	55
11	10	346	51
10	1	349	60
10	2	335	50
10	3	323	48
10	4	325	43
10	5	322	46
10	6	348	54
10	7	350	50
10	8	354	51
10	9	350	52
10	10	360	51
9	1	343	57
9	2	346	52
9	3	300	41
9	4	312	48
9	5	313	42
9	6	331	51
9	7	347	47
9	8	324	46
9	9	336	46
9	10	339	44
8	1	338	53
8	2	327	49
8	3	323	45
8	4	296	38
8	5	311	40
8	6	335	47
8	7	320	44
8	8	318	44
8	9	343	44
8	10	333	45
7	1	339	52
7	2	384	61
7	3	322	46
7	4	331	44
7	5	277	37
7	6	299	43
7	7	332	50
7	8	302	39
7	9	318	42
7	10	306	41
6	1	314	52
6	2	325	46
6	3	330	48
6	4	328	44
6	5	301	40
6	6	316	43
6	7	338	46
6	8	310	45
6	9	304	42
6	10	302	37
5	1	300	52
5	2	329	50
5	3	322	48
5	4	310	45
5	5	309	40
5	6	342	49
5	7	350	51
5	8	335	46
5	9	320	42
5	10	278	38
4	1	369	60
4	2	341	51
4	3	344	47
4	4	324	44
4	5	316	44
4	6	342	51
4	7	351	53
4	8	324	46
4	9	310	47
4	10	309	44
3	1	298	49
3	2	302	47
3	3	325	47
3	4	300	46
3	5	286	40
3	6	330	52
3	7	324	49
3	8	322	43
3	9	309	45
3	10	322	49
2	1	324	52
2	2	316	48
2	3	310	45
2	4	317	44
2	5	295	40
2	6	308	45
2	7	295	54
2	8	267	40
2	9	307	43
2	10	290	41
1	1	330	57
1	2	306	48
1	3	306	45
1	4	306	41
1	5	291	41
1	6	321	45
1	7	325	48
1	8	288	41
1	9	302	46
1	10	310	42
