"row"	"col"	"crop"	"yield"
1	1	"1925corn"	59.89
2	1	"1925corn"	56.51
3	1	"1925corn"	60.15
4	1	"1925corn"	52.4
5	1	"1925corn"	54.96
6	1	"1925corn"	60.49
7	1	"1925corn"	56.75
8	1	"1925corn"	51.42
9	1	"1925corn"	61.92
10	1	"1925corn"	64.07
11	1	"1925corn"	60.26
12	1	"1925corn"	62.1
1	2	"1925corn"	61.42
2	2	"1925corn"	65.62
3	2	"1925corn"	61.21
4	2	"1925corn"	59.62
5	2	"1925corn"	57.26
6	2	"1925corn"	65.96
7	2	"1925corn"	59.4
8	2	"1925corn"	57.95
9	2	"1925corn"	54.7
10	2	"1925corn"	64.92
11	2	"1925corn"	58.86
12	2	"1925corn"	59.24
1	3	"1925corn"	66.77
2	3	"1925corn"	48.67
3	3	"1925corn"	59.21
4	3	"1925corn"	57.94
5	3	"1925corn"	66.96
6	3	"1925corn"	57.43
7	3	"1925corn"	64.81
8	3	"1925corn"	55.99
9	3	"1925corn"	52.51
10	3	"1925corn"	64.28
11	3	"1925corn"	66.7
12	3	"1925corn"	52.64
1	1	"1926oats"	45.1
2	1	"1926oats"	41.85
3	1	"1926oats"	41.4
4	1	"1926oats"	36.16
5	1	"1926oats"	38.38
6	1	"1926oats"	34.25
7	1	"1926oats"	38.02
8	1	"1926oats"	41.4
9	1	"1926oats"	39.88
10	1	"1926oats"	39.26
11	1	"1926oats"	36.78
12	1	"1926oats"	36.99
1	2	"1926oats"	40.09
2	2	"1926oats"	39.94
3	2	"1926oats"	40.66
4	2	"1926oats"	30.84
5	2	"1926oats"	37.77
6	2	"1926oats"	35.75
7	2	"1926oats"	42.62
8	2	"1926oats"	39.88
9	2	"1926oats"	38.49
10	2	"1926oats"	32.03
11	2	"1926oats"	37.2
12	2	"1926oats"	29.45
1	3	"1926oats"	42.21
2	3	"1926oats"	33.48
3	3	"1926oats"	39.78
4	3	"1926oats"	35.96
5	3	"1926oats"	43.81
6	3	"1926oats"	41.8
7	3	"1926oats"	47.47
8	3	"1926oats"	41.18
9	3	"1926oats"	32.55
10	3	"1926oats"	38.59
11	3	"1926oats"	39.72
12	3	"1926oats"	36.71
1	1	"1926straw"	0.562
2	1	"1926straw"	0.675
3	1	"1926straw"	0.637
4	1	"1926straw"	0.637
5	1	"1926straw"	0.6
6	1	"1926straw"	0.637
7	1	"1926straw"	0.637
8	1	"1926straw"	0.637
9	1	"1926straw"	0.825
10	1	"1926straw"	0.637
11	1	"1926straw"	0.675
12	1	"1926straw"	0.562
1	2	"1926straw"	0.675
2	2	"1926straw"	0.637
3	2	"1926straw"	0.675
4	2	"1926straw"	0.675
5	2	"1926straw"	0.525
6	2	"1926straw"	0.525
7	2	"1926straw"	0.675
8	2	"1926straw"	0.6
9	2	"1926straw"	0.487
10	2	"1926straw"	0.45
11	2	"1926straw"	0.525
12	2	"1926straw"	0.45
1	3	"1926straw"	0.675
2	3	"1926straw"	0.45
3	3	"1926straw"	0.675
4	3	"1926straw"	0.637
5	3	"1926straw"	0.675
6	3	"1926straw"	0.675
7	3	"1926straw"	0.712
8	3	"1926straw"	0.637
9	3	"1926straw"	0.562
10	3	"1926straw"	0.525
11	3	"1926straw"	0.675
12	3	"1926straw"	0.525
1	1	"1927wheat"	29.23
2	1	"1927wheat"	26.56
3	1	"1927wheat"	28.56
4	1	"1927wheat"	30.16
5	1	"1927wheat"	28.06
6	1	"1927wheat"	27.5
7	1	"1927wheat"	27.33
8	1	"1927wheat"	26.56
9	1	"1927wheat"	25.9
10	1	"1927wheat"	25.66
11	1	"1927wheat"	25.56
12	1	"1927wheat"	25.56
1	2	"1927wheat"	28.5
2	2	"1927wheat"	26.4
3	2	"1927wheat"	26.4
4	2	"1927wheat"	29.23
5	2	"1927wheat"	28.83
6	2	"1927wheat"	29.16
7	2	"1927wheat"	26.56
8	2	"1927wheat"	27
9	2	"1927wheat"	26.4
10	2	"1927wheat"	26.33
11	2	"1927wheat"	27.73
12	2	"1927wheat"	28.33
1	3	"1927wheat"	26.9
2	3	"1927wheat"	25.06
3	3	"1927wheat"	25.06
4	3	"1927wheat"	26.33
5	3	"1927wheat"	28.23
6	3	"1927wheat"	25.73
7	3	"1927wheat"	28.5
8	3	"1927wheat"	29
9	3	"1927wheat"	27.56
10	3	"1927wheat"	25.9
11	3	"1927wheat"	25.4
12	3	"1927wheat"	24.56
1	1	"1927straw"	1.86
2	1	"1927straw"	2
3	1	"1927straw"	1.88
4	1	"1927straw"	1.81
5	1	"1927straw"	1.99
6	1	"1927straw"	1.94
7	1	"1927straw"	1.92
8	1	"1927straw"	2
9	1	"1927straw"	1.9
10	1	"1927straw"	2.07
11	1	"1927straw"	1.89
12	1	"1927straw"	1.87
1	2	"1927straw"	1.71
2	2	"1927straw"	1.7
3	2	"1927straw"	1.65
4	2	"1927straw"	1.86
5	2	"1927straw"	1.72
6	2	"1927straw"	1.79
7	2	"1927straw"	1.74
8	2	"1927straw"	1.82
9	2	"1927straw"	1.65
10	2	"1927straw"	1.65
11	2	"1927straw"	1.75
12	2	"1927straw"	1.59
1	3	"1927straw"	1.8
2	3	"1927straw"	1.73
3	3	"1927straw"	1.74
4	3	"1927straw"	1.93
5	3	"1927straw"	1.84
6	3	"1927straw"	1.74
7	3	"1927straw"	1.92
8	3	"1927straw"	1.68
9	3	"1927straw"	1.63
10	3	"1927straw"	1.71
11	3	"1927straw"	1.87
12	3	"1927straw"	1.71
1	1	"1928wheat"	47.97
2	1	"1928wheat"	49.9
3	1	"1928wheat"	48.83
4	1	"1928wheat"	48.1
5	1	"1928wheat"	49
6	1	"1928wheat"	50
7	1	"1928wheat"	50.67
8	1	"1928wheat"	53
9	1	"1928wheat"	50.13
10	1	"1928wheat"	51.93
11	1	"1928wheat"	49.13
12	1	"1928wheat"	51.67
1	2	"1928wheat"	47.17
2	2	"1928wheat"	51
3	2	"1928wheat"	49.5
4	2	"1928wheat"	49.97
5	2	"1928wheat"	49.07
6	2	"1928wheat"	48.27
7	2	"1928wheat"	48.9
8	2	"1928wheat"	53.37
9	2	"1928wheat"	48
10	2	"1928wheat"	51.13
11	2	"1928wheat"	52.77
12	2	"1928wheat"	50.3
1	3	"1928wheat"	46
2	3	"1928wheat"	46.13
3	3	"1928wheat"	48.43
4	3	"1928wheat"	50.6
5	3	"1928wheat"	50.53
6	3	"1928wheat"	52.07
7	3	"1928wheat"	49.77
8	3	"1928wheat"	57.37
9	3	"1928wheat"	45.73
10	3	"1928wheat"	51.56
11	3	"1928wheat"	48.63
