"doy"	"block"	"input"	"crop"	"yield"
168	"B1"	"Hi"	"M"	0.426356589
168	"B2"	"Hi"	"M"	0.473684211
168	"B3"	"Hi"	"M"	0.444268148
168	"B4"	"Hi"	"M"	0.448102982
168	"B1"	"Lo"	"M"	0.426356589
168	"B2"	"Lo"	"M"	0.473684211
168	"B3"	"Lo"	"M"	0.444268148
168	"B4"	"Lo"	"M"	0.448102982
168	"B1"	"Hi"	"S"	0.553333333
168	"B2"	"Hi"	"S"	0.567567568
168	"B3"	"Hi"	"S"	0.56206089
168	"B4"	"Hi"	"S"	0.560987264
168	"B1"	"Lo"	"S"	0.553333333
168	"B2"	"Lo"	"S"	0.567567568
168	"B3"	"Lo"	"S"	0.56206089
168	"B4"	"Lo"	"S"	0.560987264
168	"B1"	"Hi"	"F"	0.458100559
168	"B2"	"Hi"	"F"	0.484662577
168	"B3"	"Hi"	"F"	0.471241171
168	"B4"	"Hi"	"F"	0.471334769
168	"B1"	"Lo"	"F"	0.471334769
168	"B2"	"Lo"	"F"	0.484662577
168	"B3"	"Lo"	"F"	0.471241171
168	"B4"	"Lo"	"F"	0.475746172
176	"B1"	"Hi"	"M"	2.373253012
176	"B2"	"Hi"	"M"	2.003162791
176	"B3"	"Hi"	"M"	2.199116883
176	"B4"	"Hi"	"M"	2.191844229
176	"B1"	"Hi"	"S"	1.104324324
176	"B2"	"Hi"	"S"	1.38752
176	"B3"	"Hi"	"S"	1.250953846
176	"B4"	"Hi"	"S"	1.24759939
176	"B1"	"Hi"	"F"	1.21922807
176	"B2"	"Hi"	"F"	1.846742857
176	"B3"	"Hi"	"F"	1.6725
176	"B4"	"Hi"	"F"	1.579490309
185	"B1"	"Hi"	"M"	3.387317073
185	"B2"	"Hi"	"M"	3.498039216
185	"B3"	"Hi"	"M"	3.387317073
185	"B4"	"Hi"	"M"	3.498039216
185	"B1"	"Lo"	"M"	1.930682927
185	"B2"	"Lo"	"M"	1.9074
185	"B3"	"Lo"	"M"	1.930682927
185	"B4"	"Lo"	"M"	1.9074
185	"B1"	"Hi"	"S"	1.416571429
185	"B2"	"Hi"	"S"	1.377777778
185	"B3"	"Hi"	"S"	1.416571429
185	"B4"	"Hi"	"S"	1.377777778
185	"B1"	"Lo"	"S"	1.051707317
185	"B2"	"Lo"	"S"	1.026296296
185	"B3"	"Lo"	"S"	1.051707317
185	"B4"	"Lo"	"S"	1.026296296
185	"B1"	"Hi"	"F"	3.780252874
185	"B2"	"Hi"	"F"	3.956435644
185	"B3"	"Hi"	"F"	3.780252874
185	"B4"	"Hi"	"F"	3.956435644
185	"B1"	"Lo"	"F"	1.543757576
185	"B2"	"Lo"	"F"	1.674545455
185	"B3"	"Lo"	"F"	1.543757576
185	"B4"	"Lo"	"F"	1.674545455
196	"B1"	"Hi"	"M"	6.597631579
196	"B2"	"Hi"	"M"	4.482411215
196	"B3"	"Hi"	"M"	5.951559633
196	"B4"	"Hi"	"M"	5.215
196	"B1"	"Lo"	"M"	5.054967742
196	"B2"	"Lo"	"M"	3.821289474
196	"B3"	"Lo"	"M"	2.324752941
196	"B4"	"Lo"	"M"	6.853647059
196	"B1"	"Hi"	"S"	9.634482759
196	"B2"	"Hi"	"S"	4.923
196	"B3"	"Hi"	"S"	6.654666667
196	"B4"	"Hi"	"S"	7.497282609
196	"B1"	"Lo"	"S"	4.6359
196	"B2"	"Lo"	"S"	2.544
196	"B3"	"Lo"	"S"	2.421814815
196	"B4"	"Lo"	"S"	5.0565
196	"B1"	"Hi"	"F"	4.823352518
196	"B2"	"Hi"	"F"	9.166992593
196	"B3"	"Hi"	"F"	7.518043165
196	"B4"	"Hi"	"F"	6.296181818
196	"B1"	"Lo"	"F"	5.742482759
196	"B2"	"Lo"	"F"	7.654203822
196	"B3"	"Lo"	"F"	9.30576378
196	"B4"	"Lo"	"F"	4.346333333
211	"B1"	"Hi"	"M"	12.39711887
211	"B2"	"Hi"	"M"	11.90799767
211	"B3"	"Hi"	"M"	13.41
211	"B4"	"Hi"	"M"	10.85441711
211	"B1"	"Lo"	"M"	9.953782178
211	"B2"	"Lo"	"M"	8.266901408
211	"B3"	"Lo"	"M"	10.3795772
211	"B4"	"Lo"	"M"	8.497045517
211	"B1"	"Hi"	"S"	12.272
211	"B2"	"Hi"	"S"	9.018928105
211	"B3"	"Hi"	"S"	8.941190476
211	"B4"	"Hi"	"S"	12.54775
211	"B1"	"Lo"	"S"	7.423333333
211	"B2"	"Lo"	"S"	11.65094017
211	"B3"	"Lo"	"S"	7.399257576
211	"B4"	"Lo"	"S"	10.99033058
211	"B1"	"Hi"	"F"	16.07903256
211	"B2"	"Hi"	"F"	9.978316832
211	"B3"	"Hi"	"F"	13.92924402
211	"B4"	"Hi"	"F"	11.63735294
211	"B1"	"Lo"	"F"	15.29954545
211	"B2"	"Lo"	"F"	11.07559524
211	"B3"	"Lo"	"F"	13.02743415
211	"B4"	"Lo"	"F"	12.992
225	"B1"	"Hi"	"M"	18.97108384
225	"B2"	"Hi"	"M"	13.97784906
225	"B3"	"Hi"	"M"	20.126425
225	"B4"	"Hi"	"M"	12.92470899
225	"B1"	"Lo"	"M"	11.8600625
225	"B2"	"Lo"	"M"	9.257709615
225	"B3"	"Lo"	"M"	8.91
225	"B4"	"Lo"	"M"	11.47636364
225	"B1"	"Hi"	"S"	20.81629834
225	"B2"	"Hi"	"S"	22.62614173
225	"B3"	"Hi"	"S"	26.43624914
225	"B4"	"Hi"	"S"	19.31602625
225	"B1"	"Lo"	"S"	16.46884107
225	"B2"	"Lo"	"S"	16.7396003
225	"B3"	"Lo"	"S"	17.17676471
225	"B4"	"Lo"	"S"	14.98377215
225	"B1"	"Hi"	"F"	21.22478723
225	"B2"	"Hi"	"F"	18.95059048
225	"B3"	"Hi"	"F"	18.06755577
225	"B4"	"Hi"	"F"	22.89504048
225	"B1"	"Lo"	"F"	17.94639571
225	"B2"	"Lo"	"F"	13.670337
225	"B3"	"Lo"	"F"	16.94531178
225	"B4"	"Lo"	"F"	13.95996209
243	"B1"	"Hi"	"M"	22.25491403
243	"B2"	"Hi"	"M"	16.61564878
243	"B3"	"Hi"	"M"	21.82077005
243	"B4"	"Hi"	"M"	17.30286667
243	"B1"	"Lo"	"M"	12.59369668
243	"B2"	"Lo"	"M"	16.81818132
243	"B3"	"Lo"	"M"	15.77412766
243	"B4"	"Lo"	"M"	12.55910417
243	"B1"	"Hi"	"S"	27.04359862
243	"B2"	"Hi"	"S"	32.68472527
243	"B3"	"Hi"	"S"	24.24132114
243	"B4"	"Hi"	"S"	36.84177222
243	"B1"	"Lo"	"S"	22.58048571
243	"B2"	"Lo"	"S"	17.55426941
243	"B3"	"Lo"	"S"	24.20755981
243	"B4"	"Lo"	"S"	16.09397531
243	"B1"	"Hi"	"F"	36.68056766
243	"B2"	"Hi"	"F"	26.1834629
243	"B3"	"Hi"	"F"	31.59452593
243	"B4"	"Hi"	"F"	30.76946372
243	"B1"	"Lo"	"F"	22.20426096
243	"B2"	"Lo"	"F"	15.96901695
243	"B3"	"Lo"	"F"	24.5284
243	"B4"	"Lo"	"F"	13.6999403
263	"B1"	"Hi"	"M"	21.43922424
263	"B2"	"Hi"	"M"	14.30768727
263	"B3"	"Hi"	"M"	18.69360526
263	"B4"	"Hi"	"M"	17.16525412
263	"B1"	"Lo"	"M"	12.247
263	"B2"	"Lo"	"M"	14.33090909
263	"B3"	"Lo"	"M"	14.93738053
263	"B4"	"Lo"	"M"	11.31080769
263	"B1"	"Hi"	"S"	46.63988858
263	"B2"	"Hi"	"S"	27.34435663
263	"B3"	"Hi"	"S"	21.64181818
263	"B4"	"Hi"	"S"	51.73975238
263	"B1"	"Lo"	"S"	36.63404739
263	"B2"	"Lo"	"S"	30.262
263	"B3"	"Lo"	"S"	45.29688889
263	"B4"	"Lo"	"S"	20.60917105
263	"B1"	"Hi"	"F"	36.54929889
263	"B2"	"Hi"	"F"	22.16076046
263	"B3"	"Hi"	"F"	30.65052242
263	"B4"	"Hi"	"F"	26.84545238
263	"B1"	"Lo"	"F"	26.59299496
263	"B2"	"Lo"	"F"	28.40977164
263	"B3"	"Lo"	"F"	24.73411765
263	"B4"	"Lo"	"F"	29.27920949
283	"B1"	"Hi"	"S"	40.03468354
283	"B2"	"Hi"	"S"	30.09827586
283	"B3"	"Hi"	"S"	28.16290323
283	"B4"	"Hi"	"S"	42.52824811
283	"B1"	"Lo"	"S"	30.06087805
283	"B2"	"Lo"	"S"	29.76597826
283	"B3"	"Lo"	"S"	38.43803279
283	"B4"	"Lo"	"S"	31.4793617
283	"B1"	"Hi"	"F"	38.22110672
283	"B2"	"Hi"	"F"	26.58728205
283	"B3"	"Hi"	"F"	38.43948553
283	"B4"	"Hi"	"F"	27.3357696
283	"B1"	"Lo"	"F"	27.03488411
283	"B2"	"Lo"	"F"	28.09636442
283	"B3"	"Lo"	"F"	29.34588235
283	"B4"	"Lo"	"F"	24.41846154
303	"B1"	"Hi"	"S"	34.43454545
303	"B2"	"Hi"	"S"	22.76971193
303	"B3"	"Hi"	"S"	26.4537884
303	"B4"	"Hi"	"S"	39.05722008
303	"B1"	"Lo"	"S"	23.20725696
303	"B2"	"Lo"	"S"	16.03401869
303	"B3"	"Lo"	"S"	29.30742188
303	"B4"	"Lo"	"S"	23.34675159
303	"B1"	"Hi"	"F"	37.65097473
303	"B2"	"Hi"	"F"	22.11073684
303	"B3"	"Hi"	"F"	29.16811268
303	"B4"	"Hi"	"F"	25.612
303	"B1"	"Lo"	"F"	26.22214365
303	"B2"	"Lo"	"F"	19.60813559
303	"B3"	"Lo"	"F"	30.39771429
303	"B4"	"Lo"	"F"	27.88253165
