site	year	mo	cdd	hdd	precip	min	max
Morris	1927	1	0	1546	0.78	3.9	23
Morris	1927	2	0	1259	0.5	11.3	28.6
Morris	1927	3	0	993	2.62	23.7	42.1
Morris	1927	4	0	586	3.26	34.9	55.9
Morris	1927	5	3	368	2.66	41.4	64.9
Morris	1927	6	126	124	1.7	52.9	77.2
Morris	1927	7	101	37	2.73	54.5	79.5
Morris	1927	8	94	66	1.3	51.3	80.4
Morris	1927	9	142	219	2.42	50.2	74.5
Morris	1927	10	0	443	0.81	37.2	64
Morris	1927	11	0	1117	1.23	17.8	34.9
Morris	1927	12	0	1948	1.78	-7.4	11.7
Morris	1928	1	0	1575	0.55	3.7	24.4
Morris	1928	2	0	1321	0.46	10.2	28.4
Morris	1928	3	0	1034	0.25	20.3	42.8
Morris	1928	4	0	808	1.92	25.7	50.4
Morris	1928	5	30	171	0.2	44.2	76.5
Morris	1928	6	12	118	4.7	48.7	74.1
Morris	1928	7	179	6	6.48	59.2	81.9
Morris	1928	8	161	44	4.12	56.3	81.1
Morris	1928	9	9	272	1.45	43.7	68.7
Morris	1928	10	4	516	2.25	36.1	58.3
Morris	1928	11	0	916	0.87	25.2	43.7
Morris	1928	12	0	1278	0.2	14.2	33.3
Morris	1929	1	0	2038	1.34	-12.3	10.6
Morris	1929	2	0	1670	1.11	-5.6	16.3
Morris	1929	3	0	971	1.51	23.7	43.5
Morris	1929	4	0	572	2.57	34	57.9
Morris	1929	5	30	396	2.18	39.2	67.1
Morris	1929	6	108	89	0.97	50.7	80.4
Morris	1929	7	248	11	6.35	58.3	86.9
Morris	1929	8	168	21	1.5	55.4	84
Morris	1929	9	64	291	3.54	45.3	69.4
Morris	1929	10	1	535	2.45	35.6	59.9
Morris	1929	11	0	1168	0.58	15.8	36.1
Morris	1929	12	0	1566	0.3	5.9	23
Morris	1930	1	0	1888	0.4	-6.3	14.4
Morris	1930	2	0	1041	0.35	16.9	35.8
Morris	1930	3	0	1065	0	19.2	41.9
Morris	1930	4	0	475	1.25	33.4	64.8
Morris	1930	5	20	226	5.09	44.1	72.5
Morris	1930	6	185	31	4.67	60.6	79.9
Morris	1930	7	284	2	3.98	61.5	86.5
Morris	1930	8	228	1	0.89	57.6	87.1
Morris	1930	9	43	116	2.85	47.1	77.4
Morris	1930	10	15	514	1.45	36.3	61.5
Morris	1930	11	0	922	4.06	21.4	47.1
Morris	1930	12	0	1330	0.12	12.9	31.3
Morris	1931	1	0	1199	0.12	14.2	35.2
Morris	1931	2	0	985	0.63	19.2	40.5
Morris	1931	3	0	1092	1.02	19.9	39.4
Morris	1931	4	1	534	0.61	32.4	61.2
Morris	1931	5	30	323	1.98	41.4	69.6
Morris	1931	6	231	33	2.83	58.6	84.4
Morris	1931	7	286	9	2.38	59	88.7
Morris	1931	8	158	46	3.22	55.8	81.3
Morris	1931	9	159	108	1.22	52.7	80.6
Morris	1931	10	7	413	2.62	39.4	62.6
Morris	1931	11	0	889	2.09	24.4	46
Morris	1931	12	0	1278	0.52	15.4	32
Morris	1932	1	0	1594	1.24	3.9	23
Morris	1932	2	0	1397	0.49	6.1	27.5
Morris	1932	3	0	1319	2.47	9.5	29.5
Morris	1932	4	1	606	1.3	33.8	55.8
Morris	1932	5	52	247	2.95	45.1	72.3
Morris	1932	6	146	10	1.98	56.7	82.2
Morris	1932	7	215	18	2.4	56.5	86.7
Morris	1932	8	141	14	2.93	55	82.9
