site	gen_name	gen	year	yield
StPaul	BlackHullless	596	1893	24.1
StPaul	Horsford	507	1893	25
StPaul	Bernard	881	1893	22.8
StPaul	HighlandChief	883	1893	18.4
StPaul	Oderbrucker	2700	1894	17.3
StPaul	Manchuria	244	1894	11.3
StPaul	FrenchChevalier	175	1894	1.8
StPaul	Cheyney	326	1894	4.6
StPaul	Thanet	2652	1894	6.9
StPaul	Scotch	848	1894	17.7
StPaul	Empress	2824	1894	1.8
StPaul	GoldenDrop	2135	1894	3
StPaul	Common	184	1894	9.2
StPaul	BlackHullless	596	1895	51.5
StPaul	Horsford	507	1895	42.7
StPaul	Bernard	881	1895	45.4
StPaul	HighlandChief	883	1895	50
StPaul	Oderbrucker	2700	1895	43.3
StPaul	FrenchChevalier	175	1895	57.9
StPaul	Thanet	2652	1895	46.2
StPaul	Royal	1252	1895	55.7
StPaul	Surprise	171	1895	51.5
StPaul	Summit	174	1895	52.4
StPaul	Victor	179	1895	34.9
StPaul	Trooper	173	1895	60.7
StPaul	Manchuria	241	1895	47.9
StPaul	Mensury	170	1895	53.7
StPaul	ChampionVermont	1892	1895	49.8
StPaul	NewZealand	2656	1895	43.9
StPaul	PrizeProlific	169	1895	40.8
StPaul	SibleyImperial	2805	1895	39.4
StPaul	Chevalier	2802	1895	52.3
StPaul	KinverChevalier	587	1895	44.8
StPaul	DanishChevalier	180	1895	39.2
StPaul	Petschora	2658	1895	44.6
StPaul	Goldthorpe	327	1895	34.1
StPaul	Odessa	182	1895	62.5
StPaul	SharpeChevalier	2650	1895	42.7
StPaul	GoldenGrain	588	1895	44.8
StPaul	CanadianThorpe	740	1895	38.3
StPaul	BlackHullless	596	1896	38.1
StPaul	Horsford	507	1896	50.7
StPaul	Bernard	881	1896	53.3
StPaul	HighlandChief	883	1896	56.3
StPaul	FrenchChevalier	175	1896	53.3
StPaul	Royal	1252	1896	41.3
StPaul	Surprise	171	1896	45.8
StPaul	Summit	174	1896	48.3
StPaul	Victor	179	1896	44.6
StPaul	Trooper	173	1896	53.7
StPaul	Manchuria	241	1896	50.6
StPaul	Mensury	170	1896	56.7
StPaul	ChampionVermont	1892	1896	61.7
StPaul	Chevalier	2802	1896	45
StPaul	Odessa	182	1896	50.4
StPaul	BlackHullless	596	1897	35
StPaul	Horsford	507	1897	39.6
StPaul	Bernard	881	1897	45
StPaul	Oderbrucker	2700	1897	50.9
StPaul	Manchuria	244	1897	49.5
StPaul	FrenchChevalier	175	1897	32.1
StPaul	Scotch	848	1897	56
StPaul	Empress	2824	1897	19.2
StPaul	Common	184	1897	57.7
StPaul	Royal	1252	1897	38.8
StPaul	Surprise	171	1897	35.4
StPaul	Summit	174	1897	34.6
StPaul	Victor	179	1897	38.3
StPaul	Trooper	173	1897	42.1
StPaul	Manchuria	241	1897	54.6
StPaul	Mensury	170	1897	55.6
StPaul	ChampionVermont	1892	1897	39.8
StPaul	Chevalier	2802	1897	45.8
StPaul	Odessa	182	1897	45.8
StPaul	Culver	2825	1897	49.4
StPaul	GoldenQueen	558	1897	51.7
StPaul	Baxter	185	1897	56.3
StPaul	Coast	690	1897	38.5
StPaul	SouthAfrican	2826	1897	46.7
StPaul	Oderbrucker	2700	1898	66.6
StPaul	Manchuria	244	1898	66.8
StPaul	ChampionVermont	1892	1898	51.6
StPaul	Bernard	881	1899	61.2
StPaul	Oderbrucker	2700	1899	46.6
StPaul	Manchuria	244	1899	64.6
StPaul	FrenchChevalier	175	1899	51.2
StPaul	Scotch	848	1899	50
StPaul	Common	184	1899	53.7
StPaul	Manchuria	241	1899	46.6
StPaul	ChampionVermont	1892	1899	49.1
StPaul	Odessa	182	1899	60
StPaul	Culver	2825	1899	36.2
StPaul	GoldenQueen	558	1899	67
StPaul	Baxter	185	1899	60.4
StPaul	Coast	690	1899	53.3
