"year"	"col"	"row"	"yield"
1909	1	1	671
1909	2	1	658
1909	3	1	657
1909	4	1	642
1909	5	1	735
1909	6	1	575
1909	7	1	727
1909	8	1	572
1909	9	1	580
1909	10	1	588
1909	11	1	617
1909	12	1	602
1909	13	1	665
1909	14	1	609
1909	1	2	657
1909	2	2	713
1909	3	2	671
1909	4	2	680
1909	5	2	580
1909	6	2	598
1909	7	2	633
1909	8	2	373
1909	9	2	425
1909	10	2	526
1909	11	2	683
1909	12	2	662
1909	13	2	736
1909	14	2	706
1909	1	3	703
1909	2	3	613
1909	3	3	623
1909	4	3	654
1909	5	3	620
1909	6	3	705
1909	7	3	615
1909	8	3	560
1909	9	3	732
1909	10	3	596
1909	11	3	726
1909	12	3	640
1909	13	3	630
1909	14	3	790
1909	1	4	755
1909	2	4	632
1909	3	4	715
1909	4	4	673
1909	5	4	675
1909	6	4	642
1909	7	4	685
1909	8	4	645
1909	9	4	730
1909	10	4	777
1909	11	4	835
1909	12	4	700
1909	13	4	598
1909	14	4	678
1909	1	5	760
1909	2	5	667
1909	3	5	543
1909	4	5	760
1909	5	5	765
1909	6	5	704
1909	7	5	662
1909	8	5	692
1909	9	5	706
1909	10	5	776
1909	11	5	668
1909	12	5	650
1909	13	5	895
1909	14	5	695
1909	1	6	686
1909	2	6	645
1909	3	6	613
1909	4	6	709
1909	5	6	742
1909	6	6	643
1909	7	6	639
1909	8	6	644
1909	9	6	732
1909	10	6	779
1909	11	6	664
1909	12	6	655
1909	13	6	592
1909	14	6	715
1909	1	7	592
1909	2	7	660
1909	3	7	640
1909	4	7	682
1909	5	7	772
1909	6	7	650
1909	7	7	657
1909	8	7	632
1909	9	7	736
1909	10	7	721
1909	11	7	691
1909	12	7	563
1909	13	7	593
1909	14	7	622
1909	1	8	739
1909	2	8	768
1909	3	8	798
1909	4	8	724
1909	5	8	698
1909	6	8	572
1909	7	8	608
1909	8	8	574
1909	9	8	655
1909	10	8	728
1909	11	8	770
1909	12	8	600
1909	13	8	659
1909	14	8	658
1909	1	9	732
1909	2	9	786
1909	3	9	759
1909	4	9	774
1909	5	9	652
1909	6	9	752
1909	7	9	620
1909	8	9	606
1909	9	9	673
1909	10	9	694
1909	11	9	775
1909	12	9	730
1909	13	9	718
1909	14	9	597
1909	1	10	710
