"row"	"col"	"yield"
1	1	5.4
2	1	5.3
3	1	5.6
4	1	5.6
5	1	5.3
6	1	7.3
7	1	6.5
8	1	6.4
9	1	6.1
10	1	6.3
11	1	6.2
12	1	7.3
13	1	7.2
14	1	7
15	1	6.9
16	1	5.7
17	1	6.3
18	1	6.3
19	1	5.8
20	1	6.1
21	1	6.4
22	1	5.9
23	1	7.8
24	1	7.2
1	2	6.1
2	2	5.8
3	2	5.8
4	2	6.1
5	2	5.2
6	2	5.6
7	2	7.1
8	2	5.9
9	2	6.4
10	2	5.7
11	2	6.5
12	2	5.6
13	2	6.9
14	2	7.7
15	2	6.1
16	2	6.9
17	2	7
18	2	6.8
19	2	5.1
20	2	5.4
21	2	7.4
22	2	6.6
23	2	7
24	2	7.2
1	3	5
2	3	6
3	3	6
4	3	6.3
5	3	6.3
6	3	6.4
7	3	6.2
8	3	5.8
9	3	6.3
10	3	5.3
11	3	6.6
12	3	6.9
13	3	6.6
14	3	7.6
15	3	6.6
16	3	6.6
17	3	5.6
18	3	6
19	3	5.3
20	3	4.9
21	3	6.3
22	3	5.9
23	3	6.2
24	3	6.5
1	4	5.6
2	4	5.5
3	4	4.9
4	4	5.8
5	4	4
6	4	6.3
7	4	5.1
8	4	4.8
9	4	6.1
10	4	5.6
11	4	5.3
12	4	6.6
13	4	5.7
14	4	7.4
15	4	6.7
16	4	6.3
17	4	5.2
18	4	5.7
19	4	6.8
20	4	6.1
21	4	6.2
22	4	6.7
23	4	5.7
24	4	7.2
1	5	6.4
2	5	6
3	5	6
4	5	5.6
5	5	5.5
6	5	4.8
7	5	6.3
8	5	5.9
9	5	6.1
10	5	6.2
11	5	5.4
12	5	6.6
13	5	6.4
14	5	7.1
15	5	5.8
16	5	6
17	5	7.2
18	5	5.8
19	5	6.8
20	5	6.2
21	5	6.3
22	5	7
23	5	6.2
24	5	7.7
1	6	5.9
2	6	5.8
3	6	6
4	6	4.8
5	6	4.7
6	6	6.7
7	6	6.6
8	6	7
9	6	6.1
10	6	5.7
11	6	6.1
12	6	6.3
13	6	6.8
14	6	6.2
15	6	6.8
16	6	5.9
17	6	7
18	6	5.3
19	6	6.4
20	6	6.4
21	6	6.5
22	6	5.3
23	6	6.4
24	6	7.1
1	7	6.2
2	7	6.8
3	7	5.8
4	7	5.5
5	7	4.9
6	7	6.1
7	7	8.3
8	7	5.7
9	7	5.6
10	7	5
11	7	5.8
12	7	4.8
13	7	6.5
14	7	6.8
15	7	6.9
16	7	6.6
17	7	6
18	7	5.2
19	7	5.3
20	7	6.2
21	7	6.9
22	7	5.1
23	7	6.4
24	7	7.1
1	8	6.4
2	8	5.2
3	8	5.8
4	8	5.2
5	8	5.3
6	8	6.2
7	8	6
8	8	5.8
9	8	5.3
10	8	5.3
11	8	5.8
12	8	5.5
13	8	6.4
14	8	7.6
15	8	5.8
16	8	6.2
17	8	6
18	8	5.9
19	8	5.8
20	8	6.3
21	8	6.7
22	8	6.7
23	8	6.3
24	8	7.4
1	9	5.8
2	9	5.6
3	9	6.4
4	9	5.2
5	9	5.2
6	9	7
7	9	7.4
8	9	6.8
9	9	6.5
10	9	6.4
11	9	4.4
12	9	6.8
13	9	6.7
14	9	8
15	9	6.5
16	9	6.7
17	9	6
18	9	6.3
19	9	6.3
20	9	6.6
21	9	6.8
22	9	6.6
23	9	6.4
24	9	7.6
1	10	6.1
2	10	5.3
3	10	5.2
4	10	6
5	10	4.4
6	10	7.8
7	10	6.8
8	10	7.1
9	10	6.5
10	10	6.1
11	10	4.5
12	10	6.8
13	10	6.5
14	10	6.7
15	10	5.6
16	10	6.6
17	10	5.1
18	10	5.4
19	10	6
20	10	6.6
21	10	5.9
22	10	5.7
23	10	5.7
24	10	6.3
1	11	6.3
2	11	5.1
3	11	5.5
4	11	5.4
5	11	4.7
6	11	5.5
7	11	6.3
8	11	6.6
9	11	6.5
10	11	5.6
11	11	5.6
12	11	6.4
13	11	7.7
14	11	6.7
15	11	6.7
16	11	6.2
17	11	5.7
18	11	6.1
19	11	7
20	11	6.2
21	11	6.3
22	11	6.1
23	11	6.8
24	11	7.1
1	12	6.9
2	12	6.6
3	12	5.6
4	12	5.7
5	12	4.6
6	12	5.6
7	12	6.4
8	12	7.2
9	12	5.8
10	12	5.3
11	12	6
12	12	6.1
13	12	6.1
14	12	6
15	12	6.5
16	12	6.1
17	12	5.5
18	12	5.4
19	12	7
20	12	6.1
21	12	6.7
22	12	6.1
23	12	7.5
24	12	7
1	13	6.1
2	13	5.7
3	13	5.8
4	13	5.7
5	13	4.7
6	13	7
7	13	7
8	13	5.8
9	13	6.3
10	13	6.2
11	13	4.7
12	13	6.1
13	13	7.2
14	13	7.7
15	13	6.5
16	13	5.3
17	13	6.7
18	13	6.3
19	13	7.7
20	13	6.2
21	13	6
22	13	7.5
23	13	7.5
24	13	7.1
1	14	6.8
2	14	5.5
3	14	7.2
4	14	5
5	14	5.1
6	14	6.5
7	14	6.9
8	14	6.9
9	14	6.5
10	14	4.9
11	14	6.5
12	14	6.3
13	14	6.6
14	14	6.5
15	14	6.1
16	14	5.9
17	14	7.1
18	14	6.2
19	14	7
20	14	5.7
21	14	7.2
22	14	6.9
23	14	5
24	14	6.6
1	15	5.9
2	15	5.9
3	15	6.5
4	15	5.3
5	15	4.8
6	15	6.6
7	15	6.9
