row	col	yield
1	1	8
2	1	5
3	1	4
4	1	4
5	1	4
6	1	7
7	1	6
8	1	10
9	1	7
10	1	4
11	1	6
12	1	5
1	2	9
2	2	8
3	2	7
4	2	4
5	2	8
6	2	10
7	2	9
8	2	7
9	2	5
10	2	7
11	2	12
12	2	7
1	3	12
2	3	8
3	3	7
4	3	5
5	3	8
6	3	9
7	3	7
8	3	7
9	3	6
10	3	7
11	3	8
12	3	5
1	4	6
2	4	4
3	4	4
4	4	2
5	4	2
6	4	5
7	4	6
8	4	3
9	4	4
10	4	4
11	4	5
12	4	2
1	5	8
2	5	2
3	5	3
4	5	3
5	5	6
6	5	5
7	5	7
8	5	3
9	5	6
10	5	6
11	5	7
12	5	3
1	6	11
2	6	6
3	6	4
4	6	5
5	6	9
6	6	7
7	6	6
8	6	7
9	6	4
10	6	6
11	6	7
12	6	3
1	7	11
2	7	9
3	7	7
4	7	4
5	7	5
6	7	6
7	7	8
8	7	6
9	7	7
10	7	8
11	7	8
12	7	8
1	8	10
2	8	6
3	8	4
4	8	3
5	8	6
6	8	6
7	8	5
8	8	7
9	8	7
10	8	5
11	8	6
12	8	7
1	9	7
2	9	7
3	9	6
4	9	8
5	9	7
6	9	6
7	9	6
8	9	9
9	9	5
10	9	5
11	9	9
12	9	5
1	10	8
2	10	11
3	10	9
4	10	7
5	10	7
6	10	7
7	10	8
8	10	11
9	10	7
10	10	11
11	10	8
12	10	4
1	11	11
2	11	11
3	11	8
4	11	10
5	11	5
6	11	7
7	11	6
8	11	11
9	11	6
10	11	7
11	11	11
12	11	6
1	12	14
2	12	7
3	12	5
4	12	4
5	12	9
6	12	3
7	12	11
8	12	12
9	12	5
10	12	4
11	12	7
12	12	3
1	13	10
2	13	8
3	13	9
4	13	6
5	13	11
6	13	8
7	13	8
8	13	8
9	13	10
10	13	7
11	13	8
12	13	7
1	14	12
2	14	11
3	14	7
4	14	9
5	14	11
6	14	10
7	14	7
8	14	7
9	14	4
10	14	8
11	14	13
12	14	7
1	15	12
2	15	10
3	15	7
4	15	7
5	15	9
6	15	11
7	15	8
8	15	8
9	15	9
10	15	7
11	15	7
12	15	6
1	16	10
2	16	4
3	16	4
4	16	6
5	16	6
6	16	7
7	16	7
8	16	5
9	16	7
10	16	7
11	16	6
12	16	3
1	17	11
2	17	6
3	17	8
4	17	5
5	17	5
6	17	7
7	17	6
8	17	4
9	17	8
10	17	6
11	17	6
12	17	5
1	18	8
2	18	8
3	18	11
4	18	10
5	18	11
6	18	9
7	18	6
8	18	7
9	18	8
10	18	7
11	18	7
12	18	8
1	19	9
2	19	10
3	19	12
4	19	7
5	19	10
6	19	8
7	19	8
8	19	9
9	19	6
10	19	8
11	19	5
12	19	6
1	20	4
2	20	8
3	20	5
4	20	5
5	20	8
6	20	9
7	20	10
8	20	10
9	20	8
10	20	6
11	20	5
12	20	5
1	21	9
2	21	15
3	21	11
4	21	8
5	21	12
6	21	10
7	21	11
8	21	9
9	21	7
10	21	7
11	21	10
12	21	5
1	22	9
2	22	9
3	22	10
4	22	9
5	22	10
6	22	10
7	22	10
8	22	7
9	22	7
10	22	7
11	22	8
12	22	5
1	23	9
2	23	10
3	23	11
4	23	6
5	23	8
6	23	14
7	23	10
8	23	8
9	23	9
10	23	7
11	23	8
12	23	4
1	24	7
2	24	6
3	24	11
4	24	3
5	24	8
6	24	8
7	24	4
8	24	5
9	24	6
10	24	7
11	24	6
12	24	4
