"row"	"col"	"yield"	"heads"
1	1	21.11	10
1	10	25.5	11.3
1	11	26.2	10
1	12	27.9	10
1	2	28.89	8.9
1	3	21.11	10
1	4	25.9	9
1	5	26.89	10
1	6	27.33	10
1	7	27	10
1	8	33.38	11.1
1	9	25.11	10
10	1	28.78	10
10	10	30.9	10
10	11	27	10
10	12	31.5	10
10	2	36.89	10
10	3	29.7	10
10	4	25.3	10
10	5	16.33	8.9
10	6	25.13	10
10	7	30.3	10
10	8	25.17	8.3
10	9	32.6	10
11	1	22.8	10
11	10	27.14	10
11	11	27.4	9
11	12	28.38	11.3
11	2	31.3	9
11	3	23	10
11	4	27.14	8.6
11	5	27.44	10
11	6	28.8	10
11	7	24.56	10
11	8	19.88	10
11	9	24	11.1
12	1	23.88	10
12	10	19.83	8.3
12	11	25.9	10
12	12	28.5	10
12	2	30.78	8.9
12	3	26.7	9
12	4	17.9	10
12	5	26.38	10
12	6	32.56	10
12	7	28	10
12	8	25.5	11
12	9	27.11	10
13	1	18.44	10
13	10	25.78	8.9
13	11	30.3	10
13	12	28.89	10
13	2	29	11.1
13	3	23.11	8.9
13	4	21.63	10
13	5	26.89	10
13	6	23.57	11.4
13	7	29.56	10
13	8	28.2	10
13	9	31.2	12
14	1	15	8.8
14	10	24.1	10
14	11	31.9	10
14	12	28.22	8.9
14	2	26.33	11.1
14	3	24.11	8.9
14	4	21.67	10
14	5	25.5	10
14	6	23.75	10
14	7	27	10
14	8	20.6	10
14	9	33.33	10
15	1	18.75	10
15	10	23	10
15	11	29.4	10
15	12	26.5	11
15	2	17.3	8
15	3	26.44	10
15	4	24.56	10
15	5	25.78	10
15	6	26.9	10
15	7	29.5	10
15	8	25.11	10
15	9	30.89	10
16	1	20.29	11.4
16	10	24.7	10
16	11	34.7	10
16	12	26.5	10
16	2	24.11	10
16	3	21.78	10
16	4	23	11.1
16	5	27	10
16	6	11	8.8
16	7	11.11	10
16	8	24.5	10
16	9	31.78	10
17	1	19.6	9
17	10	25.6	10
17	11	27.3	10
17	12	21.88	8.8
17	2	25.3	10
17	3	24.67	10
17	4	19.88	10
17	5	25.86	10
17	6	18.2	9
17	7	24.8	10
17	8	22.3	10
17	9	29.6	10
18	1	12.75	7.5
18	10	27.1	9
18	11	28.3	11
18	12	22.4	9
18	2	36.89	11.1
18	3	27.6	10
18	4	21.75	10
18	5	23.83	8.3
18	6	28	10
18	7	28.3	10
18	8	23.57	10
18	9	31	10
19	1	22.6	9
19	10	30.7	10
19	11	25.1	10
19	12	16.7	8
19	2	20.78	10
19	3	31.8	10
19	4	19.43	10
19	5	25.22	10
19	6	17.5	9
19	7	27.56	10
19	8	21.56	10
19	9	28.67	10
2	1	27.67	10
2	10	23.6	10
2	11	26	8.8
2	12	27.29	10
2	2	26.2	9
2	3	24.2	9
2	4	27.25	10
2	5	27.22	10
2	6	27.3	10
2	7	25	10
2	8	27.4	9
2	9	21.8	10
20	1	28.6	10
20	10	25.71	10
20	11	22	9
20	12	21.78	7.8
20	2	23.57	8.6
20	3	33.63	12.5
20	4	16.63	6.3
20	5	22.3	10
20	6	23.89	10
20	7	25.5	9
20	8	27.33	8.9
20	9	26	10
3	1	32	10
3	10	32.33	10
3	11	30.14	10
3	12	27.67	10
3	2	28.78	10
3	3	34.11	11.1
3	4	28.4	11.1
3	5	32.7	10
3	6	34.7	10
3	7	25.22	10
3	8	23	10
3	9	28.71	9
4	1	23.5	10
4	10	32.88	8.8
4	11	26.5	10
4	12	24.75	10
4	2	31.5	10
4	3	34.8	10
4	4	29.5	10
4	5	22.2	10
4	6	32	10
4	7	27.75	10
4	8	25	10
4	9	33.3	10
5	1	29.67	10
5	10	31.7	8
5	11	30.78	10
5	12	24	8.8
5	2	29.1	10
5	3	30.56	10
5	4	30.22	10
5	5	30.11	10
5	6	36.67	10
5	7	21.56	10
5	8	30.56	10
5	9	25.11	8.9
6	1	22.13	8.8
6	10	24	11.3
6	11	34.33	10
6	12	27	10
6	2	36.2	10
6	3	28.5	10
6	4	29.67	10
6	5	23.44	10
6	6	29.9	10
6	7	36	10
6	8	32.88	10
6	9	16	10
7	1	23	10
7	10	25.63	10
7	11	20.7	9
7	12	28.6	11
7	2	30.78	10
7	3	26.75	8.8
7	4	26.71	10
7	5	27.7	10
7	6	33.2	10
7	7	22.5	10
7	8	25	10
7	9	29.44	10
8	1	23.7	10
8	10	29.56	10
8	11	34.1	10
8	12	19.5	9
8	2	25.11	8.9
8	3	32.7	10
8	4	36.33	11.1
8	5	24.56	10
8	6	29.2	10
8	7	24.9	8
8	8	32.3	10
8	9	25.56	8.9
9	1	24.4	9
9	10	25.5	10
9	11	23.89	10
9	12	20.5	10
9	2	29	8.8
9	3	31.3	10
9	4	19.78	8.9
9	5	36	10
9	6	24.11	10
9	7	25.67	11.1
9	8	21.5	10
9	9	27.89	10
