"row"	"col"	"yield"
1	1	42.6
2	1	40.8
3	1	36
4	1	39.7
5	1	43.7
6	1	45.6
7	1	41
8	1	40
9	1	41.9
10	1	39.6
11	1	42.2
12	1	41.8
1	2	41.3
2	2	42.3
3	2	37.9
4	2	42.6
5	2	38
6	2	39.6
7	2	44.3
8	2	39.7
9	2	40
10	2	37.2
11	2	38.1
12	2	39.5
1	3	38.7
2	3	39.1
3	3	38.1
4	3	39.7
5	3	40.8
6	3	39.4
7	3	40.3
8	3	34.8
9	3	41.3
10	3	42.1
11	3	36.4
12	3	37.8
1	4	35.9
2	4	39.4
3	4	36.9
4	4	36.6
5	4	37.3
6	4	38.1
7	4	40.7
8	4	39
9	4	38.5
10	4	37.5
11	4	36.8
12	4	36.3
1	5	40.9
2	5	40.7
3	5	39
4	5	34.5
5	5	35.2
6	5	32.9
7	5	38.6
8	5	40.4
9	5	36
10	5	34.9
11	5	37
12	5	41.8
1	6	33.7
2	6	35.4
3	6	36.7
4	6	34.7
5	6	36.6
6	6	33.8
7	6	38
8	6	38.5
9	6	38.6
10	6	36.3
11	6	36
12	6	37.6
1	7	34.5
2	7	29.5
3	7	38
4	7	33
5	7	39.3
6	7	35.6
7	7	38.5
8	7	33.8
9	7	39.4
10	7	37.2
11	7	37.7
12	7	37.3
1	8	32.4
2	8	34.1
3	8	34.9
4	8	31.7
5	8	38.6
6	8	32.5
7	8	34.8
8	8	34.7
9	8	35
10	8	37.1
11	8	35.2
12	8	36.2
1	9	33.2
2	9	39.1
3	9	34.5
4	9	34.1
5	9	32.9
6	9	34.2
7	9	35.9
8	9	36.3
9	9	36.1
10	9	36.4
11	9	36.2
12	9	35.5
1	10	35
2	10	36.6
3	10	32
4	10	35.5
5	10	36.4
6	10	35.7
7	10	36.4
8	10	36.1
9	10	33.9
10	10	31.9
11	10	33.2
12	10	34.3
1	11	35.9
2	11	39.6
3	11	34.3
4	11	33.9
5	11	34.7
6	11	35.1
7	11	34.6
8	11	37.8
9	11	32.6
10	11	36
11	11	40.3
12	11	31.1
1	12	35.8
2	12	35
3	12	34.2
4	12	35.5
5	12	33.7
6	12	37.4
7	12	34.6
8	12	35.7
9	12	32.7
10	12	36.5
11	12	39
12	12	32.9
