"row"	"col"	"yield"	"heads"
1	1	15.44	7
1	10	24	11
1	11	17.67	8
1	12	16	4
1	2	14.71	9
1	3	21.6	8
1	4	20.2	10
1	5	23	9
1	6	12.8	10
1	7	22.5	9
1	8	29.75	11
1	9	23	9
10	1	22.6	10
10	10	17.86	10
10	11	17.5	9
10	12	16.4	10
10	2	18.1	10
10	3	16.3	9
10	4	18	9
10	5	22.3	10
10	6	16.2	10
10	7	19.25	10
10	8	18.5	9
10	9	19.33	10
11	1	18.44	10
11	10	26.11	10
11	11	29.5	10
11	12	24.63	10
11	2	16.78	10
11	3	19.7	10
11	4	15.63	10
11	5	18.2	9
11	6	19.3	10
11	7	19.1	10
11	8	19.88	10
11	9	21.5	10
12	1	21.67	10
12	10	17.89	8
12	11	21.2	9
12	12	18.22	10
12	2	14.63	10
12	3	17.3	10
12	4	15.33	10
12	5	17.6	8
12	6	15.78	9
12	7	16	9
12	8	19.3	9
12	9	28.22	10
13	1	19.33	9
13	10	23.88	9
13	11	23.33	10
13	12	19.7	9
13	2	15.75	9
13	3	28.85	10
13	4	18.38	10
13	5	22.63	10
13	6	15.8	8
13	7	23	10
13	8	20.67	9
13	9	22.25	9
14	1	20.9	10
14	10	12.86	7
14	11	20.11	10
14	12	12.63	10
14	2	15.2	9
14	3	24.56	9
14	4	14.25	10
14	5	20.33	10
14	6	15.44	8
14	7	27.11	10
14	8	17.1	9
14	9	19.4	10
15	1	15.57	9
15	10	23.75	10
15	11	16.8	9
15	12	19.86	10
15	2	15.44	9
15	3	19.25	10
15	4	16.2	9
15	5	20	10
15	6	19.67	10
15	7	12.8	8
15	8	22.5	10
15	9	23.63	10
16	1	25.33	10
16	10	18.11	10
16	11	19	10
16	12	16	10
16	2	13.83	10
16	3	21.5	9
16	4	20.22	10
16	5	24.11	10
16	6	19.33	10
16	7	16.63	9
16	8	19.75	10
16	9	20.22	10
17	1	21.6	10
17	10	16.63	10
17	11	23.56	10
17	12	13.6	8
17	2	17.17	10
17	3	19.8	10
17	4	17.5	10
17	5	17.63	10
17	6	19.29	9
17	7	22.11	10
17	8	13.5	6
17	9	17.89	10
18	1	18.6	10
18	10	7.75	5
18	11	15.88	9
18	12	20.56	10
18	2	17.5	10
18	3	21.75	10
18	4	19.7	10
18	5	19.71	9
18	6	18	10
18	7	17.56	9
18	8	25.4	12
18	9	8.29	6
19	1	17.22	9
19	10	15.33	9
19	11	12.38	9
19	12	15.78	9
19	2	17.89	10
19	3	19.22	10
19	4	18	11
19	5	20.44	10
19	6	16.22	10
19	7	19.78	10
19	8	11.33	7
19	9	12.44	7
2	1	25	10
2	10	24.33	9
2	11	8.88	5
2	12	16.56	8
2	2	21.8	10
2	3	24.22	10
2	4	22.7	10
2	5	22.6	9
2	6	23	10
2	7	30	11
2	8	15.89	9
2	9	24.75	10
20	1	17	10
20	10	18.5	10
20	11	15.13	9
20	12	14	9
20	2	19.11	10
20	3	15.7	10
20	4	13.63	9
20	5	21.78	10
20	6	12.14	7
20	7	14.7	9
20	8	16	10
20	9	15	8
3	1	14.67	9
3	10	10.67	10
3	11	20.5	7
3	12	22.56	10
3	2	22	9
3	3	17.78	10
3	4	11.8	11
3	5	14.89	7
3	6	19.7	8
3	7	22.86	10
3	8	21.67	10
3	9	19.5	10
4	1	19	9
4	10	17.22	10
4	11	21.5	10
4	12	16.38	8
4	2	21.9	10
4	3	21.4	10
4	4	18.6	8
4	5	17.5	10
4	6	19.3	10
4	7	19.2	8
4	8	18	8
4	9	20	9
5	1	28.89	11
5	10	15.67	7
5	11	14.11	9
5	12	13.44	9
5	2	23	11
5	3	20.5	9
5	4	21.5	11
5	5	24.9	10
5	6	18	10
5	7	29.11	11
5	8	15.3	9
5	9	19.4	8
6	1	24.8	10
6	10	23	10
6	11	18.25	9
6	12	24.88	10
6	2	13	8
6	3	21.11	10
6	4	24.78	10
6	5	22.3	9
6	6	18.8	10
6	7	25.8	10
6	8	16.44	10
6	9	17.44	8
7	1	24.1	10
7	10	28.5	10
7	11	22.8	10
7	12	20.38	10
7	2	25.22	9
7	3	19.11	9
7	4	22	10
7	5	24.1	9
7	6	19.7	10
7	7	25.8	9
7	8	14.8	10
7	9	19.44	9
8	1	22.3	10
8	10	19	10
8	11	18.33	9
8	12	17.67	10
8	2	22.5	8
8	3	21.3	10
8	4	19.4	10
8	5	27.13	8
8	6	20.13	10
8	7	20.63	10
8	8	27.25	10
8	9	24.43	10
9	1	25	10
9	10	14.5	10
9	11	17.97	9
9	12	17.75	10
9	2	23.75	10
9	3	22.8	10
9	4	17.38	10
9	5	20.6	10
9	6	15.9	10
9	7	19.6	9
9	8	16.1	9
9	9	20.8	9
