"plot"	"col"	"crop"	"yield"
1	1	"wheat"	100.4
1	1	"cornfodder"	169.3
2	1	"wheat"	89
2	1	"cornfodder"	162.7
3	1	"wheat"	80.6
3	1	"cornfodder"	144.5
4	1	"wheat"	83.7
4	1	"cornfodder"	109.9
5	1	"wheat"	89
5	1	"cornfodder"	93.4
6	1	"wheat"	84
6	1	"cornfodder"	116.51
7	1	"wheat"	76.3
7	1	"cornfodder"	86.8
8	1	"wheat"	73
8	1	"cornfodder"	100
9	1	"wheat"	65
9	1	"cornfodder"	100
10	1	"wheat"	69.6
10	1	"cornfodder"	100
11	1	"wheat"	73.4
11	1	"cornfodder"	113.2
12	1	"wheat"	71.1
12	1	"cornfodder"	123.2
13	1	"wheat"	76.7
13	1	"cornfodder"	126.4
14	1	"wheat"	82.5
14	1	"cornfodder"	109.9
15	1	"wheat"	99.2
15	1	"cornfodder"	174.2
16	1	"wheat"	98.5
16	1	"cornfodder"	151.1
17	1	"wheat"	91.6
17	1	"cornfodder"	109.9
18	1	"wheat"	97.8
18	1	"cornfodder"	108.2
19	1	"wheat"	116.3
19	1	"cornfodder"	166
20	1	"wheat"	129.2
20	1	"cornfodder"	189.1
21	1	"wheat"	120.9
21	1	"cornfodder"	192.4
22	1	"wheat"	108.7
22	1	"cornfodder"	175.9
23	1	"wheat"	110.6
23	1	"cornfodder"	172.6
24	1	"wheat"	106.8
24	1	"cornfodder"	156.1
25	1	"wheat"	113.7
25	1	"cornfodder"	152.8
26	1	"wheat"	110.6
26	1	"cornfodder"	118.1
27	1	"wheat"	97.7
27	1	"cornfodder"	98.3
28	1	"wheat"	92
28	1	"cornfodder"	100
29	1	"wheat"	109.1
29	1	"cornfodder"	159.4
30	1	"wheat"	101.5
30	1	"cornfodder"	113.2
31	1	"wheat"	100.8
31	1	"cornfodder"	90.1
32	1	"wheat"	92.8
32	1	"cornfodder"	109.9
33	1	"wheat"	104.9
33	1	"cornfodder"	105
34	1	"wheat"	84.8
34	1	"cornfodder"	76.9
35	1	"wheat"	97
35	1	"cornfodder"	67
36	1	"wheat"	68.8
36	1	"cornfodder"	67
37	1	"wheat"	89
37	1	"cornfodder"	67
38	1	"wheat"	99
38	1	"cornfodder"	58.8
39	1	"wheat"	97
39	1	"cornfodder"	65.4
40	1	"wheat"	101.5
40	1	"cornfodder"	62.1
41	1	"wheat"	103
41	1	"cornfodder"	67
42	1	"wheat"	93.5
42	1	"cornfodder"	76.9
43	1	"wheat"	98.9
43	1	"cornfodder"	67
44	1	"wheat"	97.3
44	1	"cornfodder"	53.8
45	1	"wheat"	106.8
45	1	"cornfodder"	43.6
46	1	"wheat"	104.2
46	1	"cornfodder"	35.7
47	1	"wheat"	113.7
47	1	"cornfodder"	42.3
48	1	"wheat"	117.5
48	1	"cornfodder"	50
49	1	"wheat"	121.7
49	1	"cornfodder"	65.4
50	1	"wheat"	115.2
50	1	"cornfodder"	91.8
51	1	"wheat"	113.6
51	1	"cornfodder"	76.9
52	1	"wheat"	123.9
52	1	"cornfodder"	90.1
53	1	"wheat"	130
53	1	"cornfodder"	88.5
54	1	"wheat"	118.6
54	1	"cornfodder"	88.5
55	1	"wheat"	121.3
55	1	"cornfodder"	76.9
56	1	"wheat"	104.9
56	1	"cornfodder"	55.5
57	1	"wheat"	101.5
57	1	"cornfodder"	95.1
58	1	"wheat"	98.5
58	1	"cornfodder"	80.2
59	1	"wheat"	103.4
59	1	"cornfodder"	75.3
60	1	"wheat"	104.2
60	1	"cornfodder"	67
61	1	"wheat"	123.2
61	1	"cornfodder"	68.7
62	1	"wheat"	113.2
62	1	"cornfodder"	67
63	1	"wheat"	112.9
63	1	"cornfodder"	88.5
