"row"	"col"	"yield"
1	1	1750
2	1	1978
3	1	1675
4	1	1460
5	1	1485
6	1	1608
7	1	1005
8	1	1069
9	1	886
10	1	1033
11	1	918
12	1	1036
13	1	1328
14	1	1193
15	1	1307
16	1	1604
17	1	1309
18	1	1591
1	2	1811
2	2	1569
3	2	1511
4	2	1577
5	2	1429
6	2	1357
7	2	1084
8	2	1004
9	2	834
10	2	923
11	2	1017
12	2	1312
13	2	1145
14	2	1156
15	2	1569
16	2	1626
17	2	1250
18	2	1606
1	3	1339
2	3	1137
3	3	1551
4	3	1422
5	3	1600
6	3	1316
7	3	1129
8	3	1295
9	3	1219
10	3	755
11	3	933
12	3	652
13	3	1557
14	3	977
15	3	1262
16	3	1406
17	3	1270
18	3	1087
1	4	1527
2	4	1616
3	4	1674
4	4	1644
5	4	1590
6	4	1346
7	4	1031
8	4	906
9	4	1146
10	4	1067
11	4	1350
12	4	883
13	4	1287
14	4	1271
15	4	982
16	4	872
17	4	1491
18	4	1135
1	5	2020
2	5	1914
3	5	2023
4	5	1326
5	5	1937
6	5	1325
7	5	1016
8	5	1044
9	5	931
10	5	1009
11	5	1216
12	5	943
13	5	1670
14	5	1407
15	5	1033
16	5	1156
17	5	1026
18	5	1044
1	6	1669
2	6	1616
3	6	1986
4	6	1641
5	6	1347
6	6	1215
7	6	1110
8	6	1103
9	6	1007
10	6	758
11	6	1348
12	6	1164
13	6	1366
14	6	1562
15	6	1300
16	6	1373
17	6	1384
18	6	1430
1	7	1856
2	7	1521
3	7	2110
4	7	1562
5	7	1304
6	7	1608
7	7	836
8	7	971
9	7	1069
10	7	907
11	7	871
12	7	1157
13	7	1459
14	7	1369
15	7	1393
16	7	1328
17	7	1375
18	7	1687
1	8	2338
2	8	2298
3	8	1996
4	8	1609
5	8	1947
6	8	1521
7	8	933
8	8	987
9	8	933
10	8	1036
11	8	1097
12	8	1375
13	8	1340
14	8	1488
15	8	1067
16	8	1032
17	8	1205
18	8	1512
1	9	2096
2	9	2074
3	9	2331
4	9	1297
5	9	1756
6	9	1727
7	9	947
8	9	335
9	9	1064
10	9	1360
11	9	1199
12	9	1205
13	9	1360
14	9	1193
15	9	1036
16	9	1523
17	9	1310
18	9	1151
1	10	1703
2	10	1925
3	10	1754
4	10	1639
5	10	2132
6	10	1633
7	10	1045
8	10	1145
9	10	999
10	10	1133
11	10	1034
12	10	1091
13	10	1251
14	10	1296
15	10	1053
16	10	1329
17	10	1576
18	10	1332
1	11	1869
2	11	1928
3	11	1987
4	11	1861
5	11	1703
6	11	1703
7	11	1022
8	11	1138
9	11	1026
10	11	2203
11	11	1407
12	11	1169
13	11	1099
14	11	1002
15	11	1029
16	11	974
17	11	1218
18	11	1307
1	12	2167
2	12	2491
3	12	1939
4	12	1494
5	12	1536
6	12	1401
7	12	1070
8	12	1870
9	12	1233
10	12	1284
11	12	1551
12	12	1240
13	12	985
14	12	1056
15	12	997
16	12	1034
17	12	1172
18	12	1208
1	13	1671
2	13	1332
3	13	1171
4	13	1200
5	13	1308
6	13	1285
7	13	1604
8	13	1554
9	13	1969
10	13	1629
11	13	1377
12	13	1127
13	13	1977
14	13	2048
15	13	2087
16	13	1741
17	13	2503
18	13	1650
1	14	1139
2	14	1640
3	14	1339
4	14	1070
5	14	953
6	14	1345
7	14	1506
8	14	1620
9	14	1501
10	14	1767
11	14	1555
12	14	1360
13	14	1843
14	14	1789
15	14	1626
16	14	1870
17	14	1822
18	14	1637
1	15	1307
2	15	1464
3	15	1072
4	15	1250
5	15	1167
6	15	1360
7	15	1630
8	15	1571
9	15	1336
10	15	1696
11	15	1544
12	15	1379
13	15	1968
14	15	1641
15	15	2125
16	15	1647
17	15	1841
18	15	1891
1	16	1373
2	16	1531
3	16	955
4	16	1127
5	16	1303
6	16	1395
7	16	1510
8	16	1139
9	16	1204
10	16	1163
11	16	1363
12	16	1313
13	16	2195
14	16	1421
15	16	1725
16	16	1153
17	16	1474
18	16	1563
1	17	1893
2	17	1349
3	17	1017
4	17	1390
5	17	1214
6	17	1507
7	17	1336
8	17	1459
9	17	1152
10	17	1295
11	17	1230
12	17	1221
13	17	1425
14	17	1718
15	17	1712
16	17	1300
17	17	1590
18	17	1695
1	18	1223
2	18	1354
3	18	1318
4	18	1465
5	18	1290
6	18	1121
7	18	1518
8	18	1335
9	18	1305
10	18	1401
11	18	1364
12	18	1461
13	18	1454
14	18	1872
15	18	1385
16	18	1769
17	18	1516
18	18	1674
1	19	1995
2	19	1619
3	19	1358
4	19	1507
5	19	1362
6	19	1339
7	19	1071
8	19	1031
9	19	1267
10	19	1026
11	19	1173
12	19	1055
13	19	1835
14	19	1862
15	19	1512
16	19	1489
17	19	1661
18	19	1697
1	20	1350
2	20	1267
3	20	1043
4	20	1202
5	20	1474
6	20	1412
7	20	1339
8	20	1249
9	20	1000
10	20	961
11	20	831
12	20	1074
13	20	1694
14	20	1339
15	20	1567
16	20	1588
17	20	1790
18	20	1206
1	21	2027
2	21	1751
3	21	1277
4	21	1080
5	21	1678
6	21	1634
7	21	1054
8	21	1138
9	21	1102
10	21	921
11	21	1049
12	21	972
13	21	1546
14	21	1883
15	21	1480
16	21	1825
17	21	1678
18	21	1381
1	22	1857
2	22	1657
3	22	1543
4	22	1538
5	22	1393
6	22	1174
7	22	1281
8	22	1039
9	22	1057
10	22	1004
11	22	1388
12	22	1196
13	22	1425
14	22	1386
15	22	1470
16	22	1405
17	22	1386
18	22	1527
1	23	1651
2	23	1343
3	23	1269
4	23	1411
5	23	1355
6	23	1435
7	23	1413
8	23	884
9	23	906
10	23	930
11	23	1125
12	23	1065
13	23	1846
14	23	1247
15	23	1248
16	23	1425
17	23	1705
18	23	1199
1	24	1375
2	24	1392
3	24	937
4	24	1373
5	24	1246
6	24	1207
7	24	821
8	24	1252
9	24	1091
10	24	1025
11	24	886
12	24	1225
13	24	1569
14	24	1193
15	24	1314
16	24	1523
17	24	1394
18	24	1458
