year	state	acres	yield
1866	Alabama	977000	120
1866	Arkansas	489000	198
1866	Florida	155000	123
1866	Georgia	895000	122
1866	Louisiana	1020000	57
1866	Mississippi	1668000	86
1866	NorthCarolina	390000	124
1866	Otherstates	402000	116
1866	SouthCarolina	531000	102
1866	Tennessee	649000	121
1866	Texas	490000	325
1867	Alabama	1183000	152
1867	Arkansas	584000	189
1867	Florida	145000	181
1867	Georgia	1033000	181
1867	Louisiana	844000	88
1867	Mississippi	1569000	93
1867	NorthCarolina	559000	129
1867	Otherstates	281000	138
1867	SouthCarolina	564000	191
1867	Tennessee	611000	137
1867	Texas	491000	195
1868	Alabama	1185000	106
1868	Arkansas	531000	220
1868	Florida	120000	130
1868	Georgia	991000	129
1868	Louisiana	652000	169
1868	Mississippi	1290000	137
1868	NorthCarolina	381000	162
1868	Otherstates	225000	150
1868	SouthCarolina	497000	160
1868	Tennessee	520000	170
1868	Texas	581000	197
1869	Alabama	1271000	135
1869	Arkansas	648000	153
1869	Florida	132000	121
1869	Georgia	1247000	152
1869	Louisiana	767000	183
1869	Mississippi	1468000	154
1869	NorthCarolina	417000	139
1869	Otherstates	5000	150
1869	SouthCarolina	574000	156
1869	Tennessee	502000	145
1869	Texas	720000	195
1870	Alabama	1501000	172
1870	Arkansas	741000	256
1870	Florida	148000	170
1870	Georgia	1432000	175
1870	Louisiana	932000	269
1870	Mississippi	1698000	216
1870	NorthCarolina	479000	180
1870	Otherstates	220000	187
1870	SouthCarolina	629000	177
1870	Tennessee	536000	203
1870	Texas	922000	255
1871	Alabama	1384000	138
1871	Arkansas	671000	225
1871	Florida	162000	90
1871	Georgia	1291000	128
1871	Louisiana	868000	172
1871	Mississippi	1514000	163
1871	NorthCarolina	446000	147
1871	SouthCarolina	602000	120
1871	Tennessee	480000	204
1871	Texas	867000	189
1872	Alabama	1600000	149
1872	Arkansas	789000	189
1872	Florida	190000	110
1872	Georgia	1523000	174
1872	Louisiana	980000	228
1872	Mississippi	1716000	193
1872	NorthCarolina	529000	152
1872	SouthCarolina	695000	177
1872	Tennessee	554000	193
1872	Texas	1004000	207
1873	Alabama	1826000	134
1873	Arkansas	895000	192
1873	Florida	210000	110
1873	Georgia	1823000	159
1873	Louisiana	1039000	194
1873	Mississippi	1846000	172
1873	NorthCarolina	640000	138
1873	SouthCarolina	770000	166
1873	Tennessee	641000	192
1873	Texas	1308000	201
1874	Alabama	1646000	127
1874	Arkansas	836000	141
1874	Florida	203000	91
1874	Georgia	1949000	114
1874	Louisiana	975000	242
1874	Mississippi	1701000	157
1874	NorthCarolina	604000	169
1874	SouthCarolina	786000	216
1874	Tennessee	669000	177
1874	Texas	1384000	164
1875	Alabama	1779000	139
1875	Arkansas	880000	278
1875	Florida	217000	88
1875	Georgia	1972000	93
1875	Louisiana	1e+06	306
1875	Mississippi	1790000	216
1875	NorthCarolina	648000	135
1875	SouthCarolina	908000	133
1875	Tennessee	624000	160
1875	Texas	1530000	236
1876	Alabama	1875000	126
1876	Arkansas	959000	238
1876	Florida	208000	106
1876	Georgia	2e+06	112
1876	Louisiana	899000	276
1876	Mississippi	1822000	185
1876	NorthCarolina	686000	136
1876	Otherstates	122000	169
1876	SouthCarolina	974000	141
1876	Tennessee	640000	180
1876	Texas	1562000	196
1877	Alabama	2006000	151
1877	Arkansas	1011000	283
1877	Florida	222000	89
1877	Georgia	2133000	108
1877	Louisiana	991000	266
1877	Mississippi	1964000	184
1877	NorthCarolina	720000	165
1877	SouthCarolina	1039000	142
1877	Tennessee	682000	202
1877	Texas	1838000	152
1878	Alabama	2160000	108
1878	Arkansas	1033000	296
1878	Florida	239000	71
1878	Georgia	2343000	103
1878	Louisiana	961000	215
1878	Mississippi	2025000	160
1878	NorthCarolina	775000	124
1878	Otherstates	121000	240
1878	SouthCarolina	1193000	124
1878	Tennessee	696000	271
1878	Texas	1993000	240
1879	Alabama	2337000	136
1879	Arkansas	1042000	265
1879	Florida	245000	102
1879	Georgia	2621000	141
1879	Louisiana	865000	267
1879	Mississippi	2102000	208
1879	Missouri	32000	284
1879	NorthCarolina	894000	198
1879	Otherstates	29000	280
1879	SouthCarolina	1365000	174
1879	Tennessee	722000	208
1879	Texas	2175000	168
1879	Virginia	45000	202
1880	Alabama	2553000	158
1880	Arkansas	1144000	216
1880	Florida	250000	151
1880	Georgia	2875000	168
1880	Louisiana	920000	187
1880	Mississippi	2265000	184
1880	NorthCarolina	980000	201
1880	Otherstates	119000	300
1880	SouthCarolina	1526000	186
1880	Tennessee	816000	216
1880	Texas	2473000	237
1881	Alabama	2647000	119
1881	Arkansas	1195000	160
1881	Florida	248000	98
1881	Georgia	3e+06	120
1881	Louisiana	948000	223
1881	Mississippi	3354000	169
1881	NorthCarolina	1062000	161
1881	Otherstates	81000	306
1881	SouthCarolina	1557000	159
1881	Tennessee	838000	145
1881	Texas	2553000	153
1882	Alabama	2535000	150
1882	Arkansas	1080000	303
1882	Florida	241000	121
1882	Georgia	2835000	156
1882	Louisiana	9e+05	292
1882	Mississippi	2230000	224
1882	NorthCarolina	954000	228
1882	Otherstates	78000	247
1882	SouthCarolina	1486000	199
1882	Tennessee	740000	214
1882	Texas	2501000	249
1882	Virginia	58000	195
1883	Alabama	2603000	112
1883	Arkansas	1164000	206
1883	Florida	237000	115
1883	Georgia	2879000	121
1883	Louisiana	995000	228
1883	Mississippi	2280000	183
1883	NorthCarolina	991000	186
1883	Otherstates	74000	231
1883	SouthCarolina	1565000	139
1883	Tennessee	732000	197
1883	Texas	2723000	190
1883	Virginia	52000	151
1884	Alabama	2739000	109
1884	Arkansas	1240000	197
1884	Florida	243000	108
1884	Georgia	2970000	125
1884	Louisiana	926000	241
1884	Mississippi	2389000	170
1884	NorthCarolina	1010000	184
1884	Otherstates	74000	194
1884	SouthCarolina	1659000	142
1884	Tennessee	745000	194
1884	Texas	2808000	163
1884	Virginia	46000	140
1885	Alabama	2793000	126
1885	Arkansas	1380000	205
1885	Florida	248000	138
1885	Georgia	3130000	142
1885	Louisiana	1009000	224
1885	Mississippi	2578000	183
1885	NorthCarolina	1053000	179
1885	Otherstates	74000	206
1885	SouthCarolina	1736000	148
1885	Tennessee	761000	196
1885	Texas	3115000	198
1885	Virginia	45000	154
1886	Alabama	2817000	125
1886	Arkansas	1433000	216
1886	Florida	244000	114
1886	Georgia	3082000	131
1886	Louisiana	1052000	210
1886	Mississippi	2668000	164
1886	NorthCarolina	1070000	160
1886	Otherstates	78000	179
1886	SouthCarolina	1778000	131
1886	Tennessee	776000	180
1886	Texas	3329000	211
1886	Virginia	43000	151
1887	Alabama	2802000	141
1887	Arkansas	1491000	192
1887	Florida	237000	130
1887	Georgia	3084000	144
1887	Louisiana	1122000	211
1887	Mississippi	2693000	185
1887	NorthCarolina	1090000	191
1887	Otherstates	81000	174
1887	SouthCarolina	1810000	154
1887	Tennessee	773000	192
1887	Texas	3570000	208
1887	Virginia	40000	187
1888	Alabama	2859000	151
1888	Arkansas	1582000	180
1888	Florida	235000	140
1888	Georgia	3182000	143
1888	Louisiana	1232000	173
1888	Mississippi	2743000	184
1888	NorthCarolina	1109000	157
1888	Otherstates	68000	175
1888	SouthCarolina	1894000	139
1888	Tennessee	791000	216
1888	Texas	3783000	201
1888	Virginia	42000	159
1889	Alabama	2768000	158
1889	Arkansas	1703000	194
1889	Florida	227000	122
1889	Georgia	3352000	170
1889	Louisiana	1270000	248
1889	Mississippi	2891000	191
1889	Missouri	57000	134
1889	NorthCarolina	1147000	140
1889	Otherstates	77000	230
1889	SouthCarolina	1984000	180
1889	Tennessee	748000	122
1889	Texas	3928000	179
1889	Virginia	39000	61
1890	Alabama	2961000	169
1890	Arkansas	1718000	228
1890	Florida	232000	143
1890	Georgia	3484000	164
1890	Louisiana	1288000	231
1890	Mississippi	3015000	198
1890	NorthCarolina	1168000	198
1890	Otherstates	59000	168
1890	SouthCarolina	2033000	174
1890	Tennessee	802000	203
1890	Texas	4177000	226
1891	Alabama	3011000	159
1891	Arkansas	1686000	260
1891	Florida	229000	124
1891	Georgia	3408000	146
1891	Louisiana	1320000	273
1891	Mississippi	3079000	204
1891	NorthCarolina	1099000	179
1891	Otherstates	55000	155
1891	SouthCarolina	1915000	167
1891	Tennessee	776000	231
1891	Texas	4925000	231
1892	Alabama	2663000	112
1892	Arkansas	1432000	200
1892	Florida	192000	99
1892	Georgia	2850000	134
1892	Louisiana	1140000	180
1892	Mississippi	2684000	152
1892	NorthCarolina	891000	161
1892	Otherstates	52000	155
1892	SouthCarolina	1804000	139
1892	Tennessee	640000	179
1892	Texas	4521000	236
1893	Alabama	2742000	140
1893	Arkansas	1463000	220
1893	Florida	207000	126
1893	Georgia	3118000	152
1893	Louisiana	1218000	184
1893	Mississippi	2735000	182
1893	NorthCarolina	982000	193
1893	Otherstates	270000	181
1893	SouthCarolina	1962000	157
1893	Tennessee	629000	208
1893	Texas	4930000	192
1894	Alabama	2840000	152
1894	Arkansas	1603000	224
1894	Florida	203000	119
1894	Georgia	3402000	176
1894	Louisiana	1272000	287
1894	Mississippi	2841000	208
1894	Missouri	61000	198
1894	NorthCarolina	1074000	214
1894	Oklahoma	251000	237
1894	Otherstates	2000	226
1894	SouthCarolina	2059000	201
1894	Tennessee	631000	230
1894	Texas	5612000	277
1894	Virginia	35000	194
1895	Alabama	2639000	120
1895	Arkansas	1365000	182
1895	Florida	194000	96
1895	Georgia	3066000	166
1895	Louisiana	1162000	211
1895	Mississippi	2584000	187
1895	Missouri	45000	127
1895	NorthCarolina	1010000	188
1895	Oklahoma	185000	214
1895	SouthCarolina	1834000	199
1895	Tennessee	561000	147
1895	Texas	5163000	176
1895	Virginia	31000	123
1896	Alabama	3060000	130
1896	Arkansas	1633000	177
1896	Florida	236000	99
1896	Georgia	3462000	179
1896	Louisiana	1258000	215
1896	Mississippi	2893000	198
1896	Missouri	55000	208
1896	NorthCarolina	1169000	213
1896	Oklahoma	356000	165
1896	SouthCarolina	2048000	218
1896	Tennessee	702000	161
1896	Texas	6329000	160
1896	Virginia	29000	197
1897	Alabama	3271000	164
1897	Arkansas	1831000	248
1897	Florida	222000	117
1897	Georgia	3539000	184
1897	Louisiana	1381000	275
