year	state	acres	yield
1909	"Alabama"	275000	0.96
1909	"Arizona"	98000	2.42
1909	"Arkansas"	409000	1.05
1909	"California"	2503000	1.61
1909	"Colorado"	1180000	1.73
1909	"Connecticut"	387000	1.15
1909	"Delaware"	74000	1.22
1909	"Florida"	99000	0.69
1909	"Georgia"	316000	0.86
1909	"Idaho"	731000	2.16
1909	"Illinois"	3217000	1.26
1909	"Indiana"	2098000	1.19
1909	"Iowa"	4869000	1.5
1909	"Kansas"	3304000	1.44
1909	"Kentucky"	924000	0.99
1909	"Louisiana"	179000	1.34
1909	"Maine"	1244000	0.85
1909	"Maryland"	387000	1.14
1909	"Massachusetts"	499000	1.22
1909	"Michigan"	2625000	1.24
1909	"Minnesota"	3824000	1.47
1909	"Mississippi"	219000	1.2
1909	"Missouri"	3464000	1.1
1909	"Montana"	1134000	1.49
1909	"Nebraska"	4397000	1.26
1909	"Nevada"	351000	1.48
1909	"New Hampshire"	518000	0.96
1909	"New Jersey"	391000	1.32
1909	"New Mexico"	177000	1.88
1909	"New York"	4784000	1.08
1909	"North Carolina"	520000	0.86
1909	"North Dakota"	2821000	1.03
1909	"Ohio"	3185000	1.28
1909	"Oklahoma"	1030000	1.03
1909	"Oregon"	929000	1.53
1909	"Pennsylvania"	3007000	1.08
1909	"Rhodeisland"	59000	1.2
1909	"South Carolina"	202000	0.89
1909	"South Dakota"	3404000	1.05
1909	"Tennessee"	1023000	1.01
1909	"Texas"	622000	0.91
1909	"Utah"	402000	2.43
1909	"Vermont"	975000	1.08
1909	"Virginia"	873000	0.96
1909	"Washington"	731000	1.82
1909	"West Virginia"	704000	0.89
1909	"Wisconsin"	2957000	1.48
1909	"Wyoming"	582000	1.46
1910	"Alabama"	299000	0.91
1910	"Arizona"	102000	2.38
1910	"Arkansas"	438000	1.1
1910	"California"	2490000	1.55
1910	"Colorado"	1170000	1.38
1910	"Connecticut"	383000	1.29
1910	"Delaware"	74000	1.24
1910	"Florida"	99000	0.68
1910	"Georgia"	341000	0.91
1910	"Idaho"	752000	1.9
1910	"Illinois"	3160000	1.14
1910	"Indiana"	1985000	1.14
1910	"Iowa"	4684000	1.04
1910	"Kansas"	3235000	1.16
1910	"Kentucky"	947000	0.95
1910	"Louisiana"	187000	1.39
1910	"Maine"	1243000	1.05
1910	"Maryland"	379000	1.3
1910	"Massachusetts"	494000	1.38
1910	"Michigan"	2635000	1.2
1910	"Minnesota"	3809000	0.77
1910	"Mississippi"	232000	1.18
1910	"Missouri"	3396000	1.15
1910	"Montana"	1125000	1.14
1910	"Nebraska"	4530000	0.75
1910	"Nevada"	357000	1.52
1910	"New Hampshire"	510000	1.09
1910	"New Jersey"	389000	1.56
1910	"New Mexico"	184000	1.9
1910	"New York"	4834000	1.32
1910	"North Carolina"	520000	0.93
1910	"North Dakota"	2770000	0.51
1910	"Ohio"	3028000	1.3
1910	"Oklahoma"	1042000	0.9
1910	"Oregon"	958000	1.58
1910	"Pennsylvania"	3089000	1.35
1910	"Rhodeisland"	59000	1.29
1910	"South Carolina"	217000	0.9
1910	"South Dakota"	3394000	0.54
1910	"Tennessee"	1081000	1
1910	"Texas"	635000	1.06
1910	"Utah"	418000	1.85
1910	"Vermont"	974000	1.35
1910	"Virginia"	868000	0.93
1910	"Washington"	758000	1.82
1910	"West Virginia"	702000	0.9
1910	"Wisconsin"	2808000	1.01
1910	"Wyoming"	548000	1.08
1911	"Alabama"	319000	0.91
1911	"Arizona"	114000	2.54
1911	"Arkansas"	449000	0.9
1911	"California"	2490000	1.69
1911	"Colorado"	1182000	1.51
1911	"Connecticut"	372000	1
1911	"Delaware"	69000	0.84
1911	"Florida"	101000	0.68
1911	"Georgia"	361000	0.86
1911	"Idaho"	796000	2.3
1911	"Illinois"	2850000	0.75
1911	"Indiana"	1795000	0.9
1911	"Iowa"	4388000	0.79
1911	"Kansas"	2985000	0.71
1911	"Kentucky"	869000	0.8
1911	"Louisiana"	182000	1.3
1911	"Maine"	1241000	0.95
1911	"Maryland"	358000	0.7
1911	"Massachusetts"	486000	1.1
1911	"Michigan"	2505000	1.15
1911	"Minnesota"	3639000	0.98
1911	"Mississippi"	239000	1.21
1911	"Missouri"	3065000	0.51
1911	"Montana"	1190000	1.51
1911	"Nebraska"	4450000	0.67
1911	"Nevada"	359000	1.58
1911	"New Hampshire"	498000	0.95
1911	"New Jersey"	370000	1.15
1911	"New Mexico"	209000	1.99
1911	"New York"	4783000	1.02
1911	"North Carolina"	515000	0.77
1911	"North Dakota"	2750000	0.9
1911	"Ohio"	2778000	1
1911	"Oklahoma"	942000	0.77
1911	"Oregon"	1003000	1.59
1911	"Pennsylvania"	3039000	1
1911	"Rhodeisland"	56000	1.09
1911	"South Carolina"	218000	0.75
1911	"South Dakota"	3374000	0.46
1911	"Tennessee"	1e+06	0.7
1911	"Texas"	643000	1
1911	"Utah"	438000	1.85
1911	"Vermont"	974000	1.2
1911	"Virginia"	808000	0.68
1911	"Washington"	788000	2.12
1911	"West Virginia"	667000	0.5
1911	"Wisconsin"	2620000	1.28
1911	"Wyoming"	558000	1.35
1912	"Alabama"	339000	0.86
1912	"Arizona"	124000	2.63
1912	"Arkansas"	474000	1.01
1912	"California"	2418000	1.64
1912	"Colorado"	1331000	1.78
1912	"Connecticut"	367000	1.1
1912	"Delaware"	72000	1.19
1912	"Florida"	102000	0.68
1912	"Georgia"	376000	0.86
1912	"Idaho"	819000	2.39
1912	"Illinois"	2650000	1.24
1912	"Indiana"	1895000	1.24
1912	"Iowa"	4300000	1.41
1912	"Kansas"	3170000	1.36
1912	"Kentucky"	934000	0.95
1912	"Louisiana"	170000	1.21
1912	"Maine"	1250000	1
1912	"Maryland"	384000	1.4
1912	"Massachusetts"	485000	1.24
1912	"Michigan"	2547000	1.25
1912	"Minnesota"	3710000	1.36
1912	"Mississippi"	250000	1.22
1912	"Missouri"	3253000	1.2
1912	"Montana"	1260000	1.43
1912	"Nebraska"	4338000	0.96
1912	"Nevada"	353000	1.51
1912	"New Hampshire"	496000	1.05
1912	"New Jersey"	365000	1.46
1912	"New Mexico"	220000	2.08
1912	"New York"	4783000	1.2
1912	"North Carolina"	518000	0.97
1912	"North Dakota"	3060000	1.04
1912	"Ohio"	2753000	1.25
1912	"Oklahoma"	997000	1.15
1912	"Oregon"	1055000	1.67
1912	"Pennsylvania"	3089000	1.4
1912	"Rhodeisland"	55000	1.2
1912	"South Carolina"	232000	0.85
1912	"South Dakota"	3609000	0.89
1912	"Tennessee"	1004000	0.95
1912	"Texas"	680000	1.18
1912	"Utah"	458000	1.85
1912	"Vermont"	974000	1.3
1912	"Virginia"	848000	1.12
1912	"Washington"	839000	1.92
1912	"West Virginia"	727000	1.1
1912	"Wisconsin"	2613000	1.47
1912	"Wyoming"	649000	1.48
1913	"Alabama"	362000	0.86
1913	"Arizona"	135000	2.59
1913	"Arkansas"	503000	0.96
1913	"California"	2300000	1.59
1913	"Colorado"	1353000	1.63
1913	"Connecticut"	361000	1.15
1913	"Delaware"	72000	1.14
1913	"Florida"	105000	0.72
1913	"Georgia"	406000	0.81
1913	"Idaho"	832000	2.21
1913	"Illinois"	2845000	0.85
1913	"Indiana"	1806000	0.95
1913	"Iowa"	4276000	1.47
1913	"Kansas"	2705000	0.9
1913	"Kentucky"	852000	0.8
1913	"Louisiana"	176000	1.25
1913	"Maine"	1219000	0.9
1913	"Maryland"	379000	1.05
1913	"Massachusetts"	484000	1.19
1913	"Michigan"	2550000	1.05
1913	"Minnesota"	3710000	1.27
1913	"Mississippi"	260000	1.13
1913	"Missouri"	2860000	0.61
1913	"Montana"	1272000	1.37
1913	"Nebraska"	4383000	0.93
1913	"Nevada"	348000	1.57
1913	"New Hampshire"	479000	0.9
1913	"New Jersey"	350000	1.31
1913	"New Mexico"	222000	1.91
1913	"New York"	4763000	1.14
1913	"North Carolina"	544000	0.97
1913	"North Dakota"	2960000	0.83
1913	"Ohio"	3028000	1.3
1913	"Oklahoma"	1031000	1.04
1913	"Oregon"	1060000	1.6
1913	"Pennsylvania"	3040000	1.3
1913	"Rhodeisland"	55000	1.25
1913	"South Carolina"	246000	0.9
1913	"South Dakota"	3602000	0.77
1913	"Tennessee"	1015000	0.9
1913	"Texas"	658000	1.1
1913	"Utah"	470000	1.85
1913	"Vermont"	963000	1.15
1913	"Virginia"	843000	1.05
1913	"Washington"	869000	2.02
1913	"West Virginia"	708000	0.95
1913	"Wisconsin"	2743000	1.52
1913	"Wyoming"	670000	1.49
1914	"Alabama"	363000	0.72
1914	"Arizona"	141000	2.56
1914	"Arkansas"	495000	0.89
1914	"California"	2569000	1.89
1914	"Colorado"	1477000	1.79
1914	"Connecticut"	351000	1.15
1914	"Delaware"	71000	1
1914	"Florida"	106000	0.72
1914	"Georgia"	405000	0.76
1914	"Idaho"	831000	2.29
1914	"Illinois"	2635000	0.75
1914	"Indiana"	1761000	1
1914	"Iowa"	4156000	1.37
1914	"Kansas"	2855000	1.28
1914	"Kentucky"	761000	0.8
1914	"Louisiana"	174000	1.39
1914	"Maine"	1263000	1.05
1914	"Maryland"	374000	1.15
1914	"Massachusetts"	473000	1.29
1914	"Michigan"	2603000	1.25
1914	"Minnesota"	3880000	1.47
1914	"Mississippi"	239000	1.1
1914	"Missouri"	2654000	0.61
1914	"Montana"	1280000	1.42
1914	"Nebraska"	4480000	1.15
1914	"Nevada"	351000	1.72
1914	"New Hampshire"	494000	1.05
1914	"New Jersey"	336000	1.37
1914	"New Mexico"	249000	2.04
1914	"New York"	4713000	1.15
1914	"North Carolina"	547000	0.82
1914	"North Dakota"	3270000	1.02
1914	"Ohio"	2878000	1.15
1914	"Oklahoma"	1002000	1
1914	"Oregon"	1120000	1.51
1914	"Pennsylvania"	3015000	1.3
1914	"Rhodeisland"	54000	1.09
1914	"South Carolina"	251000	0.8
1914	"South Dakota"	3784000	0.95
1914	"Tennessee"	893000	0.89
1914	"Texas"	701000	1.23
1914	"Utah"	490000	1.85
1914	"Vermont"	953000	1.1
1914	"Virginia"	723000	0.77
1914	"Washington"	899000	1.93
1914	"West Virginia"	658000	0.65
1914	"Wisconsin"	2885000	1.62
1914	"Wyoming"	674000	1.42
1915	"Alabama"	404000	0.86
1915	"Arizona"	147000	2.6
1915	"Arkansas"	567000	1.22
1915	"California"	2404000	1.74
1915	"Colorado"	1490000	1.61
1915	"Connecticut"	335000	1.1
1915	"Delaware"	66000	1.09
1915	"Florida"	113000	0.72
1915	"Georgia"	446000	0.76
1915	"Idaho"	804000	2.45
1915	"Illinois"	2943000	1.29
1915	"Indiana"	1938000	1.29
1915	"Iowa"	4059000	1.56
1915	"Kansas"	3040000	1.58
1915	"Kentucky"	874000	1.09
1915	"Louisiana"	204000	1.2
1915	"Maine"	1237000	0.9
1915	"Maryland"	374000	1.1
1915	"Massachusetts"	462000	1.19
1915	"Michigan"	2633000	1.15
1915	"Minnesota"	3750000	1.37
1915	"Mississippi"	259000	1.15
1915	"Missouri"	3040000	1.2
1915	"Montana"	1415000	1.53
1915	"Nebraska"	4880000	1.36
1915	"Nevada"	343000	1.5
1915	"New Hampshire"	473000	0.9
1915	"New Jersey"	323000	1.46
1915	"New Mexico"	245000	1.88
1915	"New York"	4662000	1.08
1915	"North Carolina"	543000	1.15
1915	"North Dakota"	3240000	0.97
1915	"Ohio"	2903000	1.2
1915	"Oklahoma"	1108000	1.52
1915	"Oregon"	1120000	1.67
1915	"Pennsylvania"	2941000	1.2
1915	"Rhodeisland"	53000	1.19
1915	"South Carolina"	277000	0.95
1915	"South Dakota"	4150000	1.06
1915	"Tennessee"	1067000	1.09
1915	"Texas"	752000	1.22
1915	"Utah"	480000	2.13
1915	"Vermont"	933000	1.1
1915	"Virginia"	759000	1.15
1915	"Washington"	928000	2.02
1915	"West Virginia"	709000	1.2
1915	"Wisconsin"	2920000	1.48
1915	"Wyoming"	705000	1.41
1916	"Alabama"	479000	0.76
1916	"Arizona"	159000	2.56
1916	"Arkansas"	593000	1.01
1916	"California"	2402000	1.7
1916	"Colorado"	1340000	1.46
1916	"Connecticut"	345000	1.34
1916	"Delaware"	82000	1.34
1916	"Florida"	116000	0.75
1916	"Georgia"	471000	0.85
1916	"Idaho"	895000	2.31
1916	"Illinois"	3369000	1.39
1916	"Indiana"	2006000	1.2
1916	"Iowa"	4160000	1.52
1916	"Kansas"	2930000	1.39
1916	"Kentucky"	966000	1.1
1916	"Louisiana"	199000	1.3
1916	"Maine"	1296000	1.1
1916	"Maryland"	374000	1.1
1916	"Massachusetts"	495000	1.39
1916	"Michigan"	2945000	1.45
1916	"Minnesota"	3880000	1.48
1916	"Mississippi"	303000	1.17
1916	"Missouri"	3353000	1.2
1916	"Montana"	1471000	1.37
1916	"Nebraska"	4860000	1.11
1916	"Nevada"	343000	1.55
1916	"New Hampshire"	513000	1.2
1916	"New Jersey"	311000	1.46
1916	"New Mexico"	229000	1.79
1916	"New York"	4946000	1.4
1916	"North Carolina"	536000	0.87
1916	"North Dakota"	3340000	1.09
1916	"Ohio"	3378000	1.45
1916	"Oklahoma"	1116000	1.21
1916	"Oregon"	1150000	1.76
1916	"Pennsylvania"	3043000	1.5
1916	"Rhodeisland"	47000	1.3
1916	"South Carolina"	290000	0.95
1916	"South Dakota"	4404000	1.01
1916	"Tennessee"	1173000	1.04
1916	"Texas"	706000	1.03
1916	"Utah"	497000	1.87
1916	"Vermont"	983000	1.49
1916	"Virginia"	869000	1.16
1916	"Washington"	970000	2.12
1916	"West Virginia"	729000	1.25
1916	"Wisconsin"	2975000	1.54
1916	"Wyoming"	745000	1.29
1917	"Alabama"	534000	0.81
1917	"Arizona"	153000	2.53
1917	"Arkansas"	633000	1.14
1917	"California"	2305000	1.92
1917	"Colorado"	1410000	1.73
1917	"Connecticut"	340000	1.29
1917	"Delaware"	77000	1.19
1917	"Florida"	121000	0.76
1917	"Georgia"	507000	0.8
1917	"Idaho"	984000	2.34
1917	"Illinois"	3040000	1.1
1917	"Indiana"	2006000	1.2
1917	"Iowa"	3680000	1.24
1917	"Kansas"	2920000	1.15
1917	"Kentucky"	907000	1
1917	"Louisiana"	201000	1.19
1917	"Maine"	1276000	1.1
1917	"Maryland"	384000	1.15
1917	"Massachusetts"	468000	1.34
1917	"Michigan"	2815000	1.25
1917	"Minnesota"	3950000	1.2
1917	"Mississippi"	324000	1.13
1917	"Missouri"	3189000	1
1917	"Montana"	1396000	1.17
1917	"Nebraska"	4550000	0.85
1917	"Nevada"	349000	1.69
1917	"New Hampshire"	482000	1.15
1917	"New Jersey"	311000	1.46
1917	"New Mexico"	215000	1.71
1917	"New York"	4895000	1.28
1917	"North Carolina"	531000	0.97
1917	"North Dakota"	3290000	0.63
1917	"Ohio"	3028000	1.3
1917	"Oklahoma"	1082000	1.03
1917	"Oregon"	1182000	1.66
1917	"Pennsylvania"	2968000	1.3
1917	"Rhodeisland"	46000	1.39
1917	"South Carolina"	301000	0.85
1917	"South Dakota"	4444000	0.79
1917	"Tennessee"	1113000	0.9
1917	"Texas"	731000	0.79
1917	"Utah"	523000	2.46
1917	"Vermont"	943000	1.44
1917	"Virginia"	875000	0.99
1917	"Washington"	991000	1.93
1917	"West Virginia"	720000	1
1917	"Wisconsin"	3050000	1.43
1917	"Wyoming"	777000	1.4
1918	"Alabama"	618000	0.81
1918	"Arizona"	139000	2.39
1918	"Arkansas"	689000	1.02
1918	"California"	2259000	1.69
1918	"Colorado"	1450000	1.67
1918	"Connecticut"	329000	1.15
1918	"Delaware"	72000	1.15
1918	"Florida"	125000	0.77
1918	"Georgia"	538000	0.8
1918	"Idaho"	1140000	2.17
1918	"Illinois"	3264000	1.2
1918	"Indiana"	2122000	1.44
1918	"Iowa"	3485000	1.28
1918	"Kansas"	2990000	0.98
1918	"Kentucky"	1020000	1
1918	"Louisiana"	198000	1.14
1918	"Maine"	1285000	0.95
1918	"Maryland"	389000	1.15
1918	"Massachusetts"	442000	1.14
1918	"Michigan"	2849000	1
1918	"Minnesota"	4050000	1.14
1918	"Mississippi"	385000	1.04
1918	"Missouri"	3028000	0.8
1918	"Montana"	1380000	1.3
1918	"Nebraska"	4640000	0.82
1918	"Nevada"	340000	1.57
1918	"New Hampshire"	471000	0.95
1918	"New Jersey"	301000	1.45
1918	"New Mexico"	207000	1.8
1918	"New York"	4864000	1.05
1918	"North Carolina"	583000	1.02
1918	"North Dakota"	3185000	0.8
1918	"Ohio"	3129000	1.3
1918	"Oklahoma"	1099000	0.93
1918	"Oregon"	1157000	1.57
1918	"Pennsylvania"	2919000	1.3
1918	"Rhodeisland"	45000	1.24
1918	"South Carolina"	316000	0.85
1918	"South Dakota"	4536000	0.92
1918	"Tennessee"	1267000	1.04
1918	"Texas"	735000	0.78
1918	"Utah"	519000	2.04
1918	"Vermont"	923000	1.15
1918	"Virginia"	946000	1.09
1918	"Washington"	999000	1.59
1918	"West Virginia"	710000	1.05
1918	"Wisconsin"	2940000	1.21
1918	"Wyoming"	832000	1.53
1919	"Alabama"	678000	0.8
1919	"Arizona"	153000	2.61
1919	"Arkansas"	760000	1.02
1919	"California"	2153000	1.97
1919	"Colorado"	1639000	1.66
1919	"Connecticut"	325000	1.18
1919	"Delaware"	71000	1.27
1919	"Florida"	127000	0.78
1919	"Georgia"	565000	0.78
1919	"Idaho"	1164000	1.95
1919	"Illinois"	3015000	1.21
1919	"Indiana"	2014000	1.13
1919	"Iowa"	3567000	1.49
1919	"Kansas"	2945000	1.47
1919	"Kentucky"	1073000	1.04
1919	"Louisiana"	203000	1.29
1919	"Maine"	1284000	1.02
1919	"Maryland"	385000	1.14
1919	"Massachusetts"	442000	1.33
1919	"Michigan"	2867000	1.11
1919	"Minnesota"	4119000	1.4
1919	"Mississippi"	434000	1.22
1919	"Missouri"	2868000	1.18
1919	"Montana"	1480000	0.93
1919	"Nebraska"	4819000	1.17
1919	"Nevada"	352000	1.55
1919	"New Hampshire"	471000	1.1
1919	"New Jersey"	291000	1.37
1919	"New Mexico"	224000	1.79
1919	"New York"	4988000	1.27
1919	"North Carolina"	633000	0.95
1919	"North Dakota"	3378000	0.86
1919	"Ohio"	3027000	1.27
1919	"Oklahoma"	1206000	1.41
