"year"	"state"	"acres"	"yield"
1895	"Florida"	2000	675
1895	"Georgia"	25000	945
1895	"Louisiana"	170000	1260
1895	"North Carolina"	20000	518
1895	"South Carolina"	70000	1080
1895	"Texas"	5000	1800
1896	"Florida"	3000	690
1896	"Georgia"	23000	855
1896	"Louisiana"	148000	855
1896	"North Carolina"	19000	495
1896	"South Carolina"	71000	990
1896	"Texas"	6000	1012
1897	"Florida"	3000	690
1897	"Georgia"	21000	900
1897	"Louisiana"	170000	1148
1897	"North Carolina"	19000	495
1897	"South Carolina"	70000	1035
1897	"Texas"	7000	1504
1898	"Florida"	4000	630
1898	"Georgia"	21000	789
1898	"Louisiana"	184000	1305
1898	"North Carolina"	22000	720
1898	"South Carolina"	74000	1125
1898	"Texas"	9000	1710
1899	"Florida"	5000	675
1899	"Georgia"	22000	824
1899	"Louisiana"	202000	1386
1899	"North Carolina"	22000	571
1899	"South Carolina"	78000	985
1899	"Texas"	9000	1335
1900	"Florida"	5000	675
1900	"Georgia"	22000	810
1900	"Louisiana"	215000	1440
1900	"North Carolina"	19000	336
1900	"South Carolina"	70000	765
1900	"Texas"	30000	1665
1901	"Florida"	4000	720
1901	"Georgia"	21000	945
1901	"Louisiana"	245000	1440
1901	"North Carolina"	16000	630
1901	"South Carolina"	62000	990
1901	"Texas"	75000	1643
1902	"Florida"	3000	690
1902	"Georgia"	20000	922
1902	"Louisiana"	310000	1035
1902	"North Carolina"	13000	561
1902	"South Carolina"	59000	1013
1902	"Texas"	140000	1755
1903	"Florida"	3000	720
1903	"Georgia"	19000	990
1903	"Louisiana"	315000	1530
1903	"North Carolina"	11000	655
1903	"South Carolina"	49000	1058
1903	"Texas"	150000	1980
1904	"Florida"	2000	765
1904	"Georgia"	18000	1012
1904	"Louisiana"	3e+05	1395
1904	"North Carolina"	10000	742
1904	"South Carolina"	48000	1012
1904	"Texas"	196000	1890
1905	"Arkansas"	1000	1440
1905	"Florida"	1000	810
1905	"Georgia"	14000	990
1905	"Louisiana"	250000	1485
1905	"North Carolina"	6000	765
1905	"South Carolina"	20000	1080
1905	"Texas"	165000	1868
1906	"Arkansas"	4000	1710
1906	"Florida"	1000	810
1906	"Georgia"	13000	990
1906	"Louisiana"	270000	1530
1906	"North Carolina"	5000	855
1906	"South Carolina"	22000	1102
1906	"Texas"	190000	1778
1907	"Arkansas"	6000	1688
1907	"Florida"	1000	810
1907	"Georgia"	8000	1058
1907	"Louisiana"	295000	1575
1907	"North Carolina"	4000	900
1907	"South Carolina"	21000	1215
1907	"Texas"	228000	1845
1908	"Arkansas"	11000	1915
1908	"Florida"	1000	810
1908	"Georgia"	7000	1016
1908	"Louisiana"	330000	1642
1908	"North Carolina"	2000	922
1908	"South Carolina"	21000	1035
1908	"Texas"	224000	1845
1909	"Arkansas"	27000	2107
1909	"Florida"	1000	900
1909	"Georgia"	6000	1042
1909	"Louisiana"	370000	1534
1909	"North Carolina"	1000	990
1909	"South Carolina"	19000	1251
1909	"Texas"	238000	1701
1910	"Arkansas"	60000	2025
1910	"Florida"	1000	945
1910	"Georgia"	6000	1035
1910	"Louisiana"	360000	1665
1910	"South Carolina"	19000	1236
1910	"Texas"	220000	1642
1911	"Arkansas"	72000	1980
1911	"Florida"	1000	900
1911	"Georgia"	4000	900
1911	"Louisiana"	350000	1508
1911	"South Carolina"	14000	518
1911	"Texas"	195000	1733
1912	"Arkansas"	91000	1957
1912	"California"	1000	2565
1912	"Florida"	1000	945
1912	"Georgia"	3000	990
1912	"Louisiana"	315000	1597
1912	"South Carolina"	12000	1035
1912	"Texas"	220000	1665
1913	"Arkansas"	105000	1890
1913	"California"	6000	2700
1913	"Florida"	1000	900
1913	"Georgia"	2000	990
1913	"Louisiana"	350000	1440
1913	"South Carolina"	8000	990
1913	"Texas"	250000	1440
1914	"Arkansas"	93000	1912
1914	"California"	15000	2700
1914	"Florida"	1000	810
1914	"Georgia"	5000	1008
1914	"Louisiana"	320000	1620
1914	"South Carolina"	12000	1035
1914	"Texas"	2e+05	1508
1915	"Arkansas"	1e+05	2070
1915	"California"	30000	2790
1915	"Florida"	1000	810
1915	"Georgia"	4000	990
1915	"Louisiana"	385000	1508
1915	"South Carolina"	7000	945
1915	"Texas"	213000	1372
1916	"Arkansas"	125000	2272
1916	"California"	59000	2700
1916	"Florida"	1000	810
