year	state	acres	yield
1919	Arizona	34000	26
1920	Arizona	21000	21
1921	Arizona	29000	25
1922	Arizona	21000	25
1923	Arizona	22000	26
1924	Arizona	11000	24
1925	Arizona	12000	21
1926	Arizona	13000	22
1927	Arizona	16000	22
1928	Arizona	16000	29
1929	Arizona	12000	26
1929	Arkansas	3000	11.6
1929	California	77000	25.5
1929	Colorado	36000	11.5
1929	Kansas	728000	15.4
1929	Louisiana	1000	16.5
1929	Missouri	30000	12.5
1929	Nebraska	4000	11.7
1929	NewMexico	183000	15.6
1929	Oklahoma	748000	12
1929	Texas	1701000	14
1930	Arizona	16000	31
1930	Arkansas	4000	8.5
1930	California	85000	33
1930	Colorado	37000	14
1930	Kansas	729000	10.9
1930	Louisiana	1000	18
1930	Missouri	32000	11.9
1930	Nebraska	4000	16
1930	NewMexico	185000	10
1930	Oklahoma	696000	7
1930	Texas	1688000	11
1931	Arizona	26000	27
1931	Arkansas	13000	13.4
1931	California	68000	27
1931	Colorado	39000	12
1931	Illinois	1000	20
1931	Kansas	925000	15.6
1931	Louisiana	3000	16
1931	Missouri	46000	15.4
1931	Nebraska	4000	14
1931	NewMexico	190000	22
1931	Oklahoma	1028000	11
1931	Texas	2100000	18
1932	Arizona	28000	26
1932	Arkansas	12000	11.3
1932	California	114000	30
1932	Colorado	31000	7
1932	Illinois	1000	27
1932	Kansas	1008000	13.4
1932	Louisiana	3000	12
1932	Missouri	52000	16.4
1932	Nebraska	5000	13.5
1932	NewMexico	151000	9.6
1932	Oklahoma	1094000	10.5
1932	Texas	1901000	18
1933	Arizona	32000	31
1933	Arkansas	10000	10.4
1933	California	104000	36
1933	Colorado	56000	8.5
1933	Illinois	2000	18
1933	Kansas	1180000	10.5
1933	Louisiana	4000	14
1933	Missouri	41000	12.9
1933	Nebraska	6000	13
1933	NewMexico	90000	14
1933	Oklahoma	1060000	9.5
1933	Texas	1769000	14
1934	Arizona	25000	27
1934	Arkansas	18000	8.6
1934	California	84000	29
1934	Colorado	19000	4.3
1934	Illinois	2000	15.5
1934	Iowa	3000	14.5
1934	Kansas	112000	5
1934	Louisiana	4000	14.2
1934	Missouri	30000	6.9
1934	Nebraska	7000	5.7
1934	NewMexico	32000	6.5
1934	Oklahoma	640000	7.5
1934	SouthDakota	4000	6.8
1934	Texas	1416000	7
1935	Arizona	30000	28
1935	Arkansas	16000	9.9
1935	California	136000	36
1935	Colorado	67000	5.7
1935	Illinois	2000	18
1935	Iowa	4000	20
1935	Kansas	739000	5.9
1935	Louisiana	3000	20
1935	Missouri	65000	9.9
1935	Nebraska	58000	8
1935	NewMexico	160000	10
1935	Oklahoma	923000	9
1935	SouthDakota	7000	9.3
