year	state	acres	yield
1866	Alabama	125000	5
1866	Arkansas	50000	6.5
1866	California	650000	18
1866	Connecticut	2000	17.5
1866	Delaware	59000	11
1866	Georgia	245000	4
1866	Illinois	2300000	10.5
1866	Indiana	1550000	10
1866	Iowa	1190000	13
1866	Kansas	68000	19
1866	Kentucky	475000	6.5
1866	Maine	15000	13
1866	Maryland	390000	11
1866	Michigan	1020000	14
1866	Minnesota	450000	14.5
1866	Mississippi	24000	5
1866	Missouri	4e+05	15
1866	Nebraska	43000	14
1866	NewHampshire	9000	16.5
1866	NewJersey	130000	13.5
1866	NewYork	570000	17.5
1866	NorthCarolina	3e+05	6
1866	Ohio	1500000	6
1866	Pennsylvania	1235000	11
1866	SouthCarolina	101000	5
1866	Tennessee	365000	5.5
1866	Texas	75000	10
1866	Vermont	17000	18
1866	Virginia	550000	8.5
1866	WestVirginia	160000	8
1866	Wisconsin	1340000	13.5
1867	Alabama	135000	7
1867	Arkansas	66000	9
1867	California	785000	16
1867	Connecticut	2000	17.5
1867	Delaware	62000	12
1867	Georgia	275000	8
1867	Illinois	2325000	11.5
1867	Indiana	1460000	12
1867	Iowa	1520000	12
1867	Kansas	89000	12.5
1867	Kentucky	5e+05	8
1867	Maine	17000	12
1867	Maryland	405000	12.5
1867	Michigan	1080000	16.5
1867	Minnesota	615000	14.5
1867	Mississippi	25000	9.5
1867	Missouri	525000	12.5
1867	Nebraska	83000	10.5
1867	NewHampshire	10000	15
1867	NewJersey	136000	14
1867	NewYork	6e+05	17
1867	NorthCarolina	320000	7
1867	Ohio	1400000	17.5
1867	Pennsylvania	1300000	12.5
1867	SouthCarolina	108000	6.5
1867	Tennessee	455000	8.5
1867	Texas	70000	7
1867	Vermont	20000	16
1867	Virginia	650000	10
1867	WestVirginia	160000	10.5
1867	Wisconsin	1540000	11.5
1868	Alabama	150000	5.5
1868	Arkansas	86000	10
1868	California	825000	18
1868	Connecticut	2000	15.5
1868	Delaware	58000	12
1868	Georgia	315000	5.5
1868	Illinois	2500000	11.5
1868	Indiana	1600000	13
1868	Iowa	1980000	13.5
1868	Kansas	99000	14.5
1868	Kentucky	490000	8.5
1868	Maine	19000	11
1868	Maryland	445000	12
1868	Michigan	1140000	16.5
1868	Minnesota	950000	17
1868	Mississippi	37000	9
1868	Missouri	785000	14
1868	Nebraska	123000	12
1868	NewHampshire	11000	14
1868	NewJersey	140000	14
1868	NewYork	630000	17
1868	NorthCarolina	375000	6
1868	Ohio	1500000	15
1868	Pennsylvania	1340000	13
1868	SouthCarolina	131000	5.5
1868	Tennessee	635000	6.5
1868	Texas	65000	6
