"block"	"row"	"col"	"vines"	"peas"
"B1"	1	1	8.5	0.89
"B1"	1	10	9.5	1.27
"B1"	1	11	9.4	1.28
"B1"	1	12	8.5	1.18
"B1"	1	13	5.8	0.62
"B1"	1	14	10	1.38
"B1"	1	15	10.7	1.27
"B1"	1	2	14.8	1.82
"B1"	1	3	11.4	1.52
"B1"	1	4	16.5	1.78
"B1"	1	5	10.4	0.96
"B1"	1	6	13	1.2
"B1"	1	7	8.5	0.69
"B1"	1	8	10	1.36
"B1"	1	9	13.9	1.87
"B1"	10	1	10.4	1.35
"B1"	10	10	11	1.7
"B1"	10	11	12	1.65
"B1"	10	12	11	1.41
"B1"	10	13	12.5	1.46
"B1"	10	14	13	1.67
"B1"	10	15	13	1.9
"B1"	10	2	12	1.45
"B1"	10	3	13.2	1.65
"B1"	10	4	12.8	1.58
"B1"	10	5	12.5	1.74
"B1"	10	6	14.5	2.02
"B1"	10	7	14.3	1.85
"B1"	10	8	12.5	1.71
"B1"	10	9	14.8	2.08
"B1"	11	1	9.8	1.19
"B1"	11	10	10.9	1.55
"B1"	11	11	12.2	1.57
"B1"	11	12	8.4	0.82
"B1"	11	13	9.5	1.11
"B1"	11	14	10	1.43
"B1"	11	15	8	1.07
"B1"	11	2	12.1	1.59
"B1"	11	3	14.1	1.62
"B1"	11	4	14.3	1.76
"B1"	11	5	13.7	1.92
"B1"	11	6	15.4	2.3
"B1"	11	7	12	1.54
"B1"	11	8	11.8	1.92
"B1"	11	9	13	2.04
"B1"	12	1	10	1.21
"B1"	12	10	11.5	1.73
"B1"	12	11	12.4	1.96
"B1"	12	12	11.1	1.33
"B1"	12	13	9	0.95
"B1"	12	14	9	1.11
"B1"	12	15	9.5	1.11
"B1"	12	2	15	1.92
"B1"	12	3	13	1.68
"B1"	12	4	13.5	1.9
"B1"	12	5	14.4	2.05
"B1"	12	6	13.5	1.9
"B1"	12	7	13.2	1.7
"B1"	12	8	11.5	1.74
"B1"	12	9	13.6	2
"B1"	13	1	11.1	1.32
"B1"	13	10	11.2	1.6
"B1"	13	11	12.1	1.69
"B1"	13	12	11	1.35
"B1"	13	13	7.8	0.85
"B1"	13	14	9.8	1.16
"B1"	13	15	9.5	1.05
"B1"	13	2	12.4	1.64
"B1"	13	3	14.7	2
"B1"	13	4	13.9	2.17
"B1"	13	5	11.7	1.7
"B1"	13	6	13.3	2.07
"B1"	13	7	10.4	1.3
"B1"	13	8	9.5	1.48
"B1"	13	9	11.9	1.51
"B1"	14	1	12	1.37
"B1"	14	10	10.5	1.53
"B1"	14	11	13	1.93
"B1"	14	12	11	1.54
"B1"	14	13	7	0.71
"B1"	14	14	11.6	1.51
"B1"	14	15	10.6	1.4
"B1"	14	2	14.2	1.95
"B1"	14	3	12.3	1.66
"B1"	14	4	13.6	2.23
"B1"	14	5	14.4	2.18
"B1"	14	6	11	1.65
"B1"	14	7	12.4	1.59
"B1"	14	8	10.3	1.53
"B1"	14	9	11.9	1.76
"B1"	15	1	11.6	1.58
"B1"	15	10	10	1.45
"B1"	15	11	13.5	2.09
"B1"	15	12	12.4	1.63
"B1"	15	13	8.2	0.83
"B1"	15	14	11	1.25
"B1"	15	15	11.5	1.64
"B1"	15	2	14.5	1.88
"B1"	15	3	14	1.9
"B1"	15	4	12	1.87
"B1"	15	5	14.4	2.18
"B1"	15	6	11.8	1.81
"B1"	15	7	12.5	1.69
"B1"	15	8	11.2	1.82
"B1"	15	9	13.5	1.72
"B1"	16	1	10.4	1.27
"B1"	16	10	10.4	1.38
"B1"	16	11	13	1.77
"B1"	16	12	11.8	1.31
"B1"	16	13	10.1	1
"B1"	16	14	11.5	1.22
"B1"	16	15	9.4	1.23
"B1"	16	2	12	1.75
"B1"	16	3	15.4	1.93
"B1"	16	4	12.8	1.84
"B1"	16	5	13.6	2.06
"B1"	16	6	11.4	1.71
"B1"	16	7	12.2	1.71
"B1"	16	8	10.5	1.71
"B1"	16	9	14.6	2.26
"B1"	17	1	12.6	1.55
"B1"	17	10	9	1.14
"B1"	17	11	12	1.77
"B1"	17	12	10.8	1.37
"B1"	17	13	8.5	0.69
"B1"	17	14	12	1.41
"B1"	17	15	7.4	0.72
"B1"	17	2	15	1.9
"B1"	17	3	14.9	1.85
"B1"	17	4	14	2.09
"B1"	17	5	13.4	2.14
"B1"	17	6	14.5	2.12
"B1"	17	7	13	2.03
