"row"	"col"	"yield"
1	1	22
2	1	25
3	1	21
4	1	19
5	1	19
6	1	20
7	1	23
8	1	23
9	1	21
10	1	20
11	1	19
12	1	15
13	1	15
14	1	29
15	1	22
16	1	18
17	1	21
18	1	20
19	1	22
20	1	19
21	1	25
22	1	22
23	1	24
24	1	24
25	1	22
26	1	24
27	1	26
28	1	NA
1	2	23
2	2	26
3	2	21
4	2	18
5	2	21
6	2	22
7	2	22
8	2	20
9	2	21
10	2	15
11	2	18
12	2	12
13	2	15
14	2	18
15	2	21
16	2	21
17	2	20
18	2	22
19	2	26
20	2	23
21	2	24
22	2	23
23	2	23
24	2	26
25	2	23
26	2	26
27	2	28
28	2	NA
1	3	22
2	3	23
3	3	22
4	3	21
5	3	21
6	3	18
7	3	17
8	3	17
9	3	18
10	3	14
11	3	16
12	3	13
13	3	18
14	3	20
15	3	19
16	3	26
17	3	23
18	3	21
19	3	23
20	3	21
21	3	24
22	3	22
23	3	21
24	3	21
25	3	22
26	3	26
27	3	22
28	3	NA
1	4	17
2	4	21
3	4	22
4	4	19
5	4	20
6	4	16
7	4	16
8	4	18
9	4	17
10	4	16
11	4	14
12	4	15
13	4	16
14	4	15
15	4	19
16	4	17
17	4	17
18	4	20
19	4	17
20	4	17
21	4	22
22	4	19
23	4	20
24	4	21
25	4	21
26	4	21
27	4	21
28	4	NA
1	5	21
2	5	24
3	5	23
4	5	18
5	5	18
6	5	15
7	5	14
8	5	17
9	5	18
10	5	14
11	5	16
12	5	16
13	5	17
14	5	16
15	5	16
16	5	13
17	5	15
18	5	17
19	5	16
20	5	17
21	5	20
22	5	15
23	5	17
24	5	15
25	5	15
26	5	19
27	5	20
28	5	NA
1	6	19
2	6	21
3	6	22
4	6	19
5	6	18
6	6	15
7	6	16
8	6	18
9	6	17
10	6	16
11	6	16
12	6	15
13	6	17
14	6	15
15	6	16
16	6	18
17	6	17
18	6	16
19	6	18
20	6	16
21	6	20
22	6	16
23	6	17
24	6	19
25	6	18
26	6	16
27	6	18
28	6	NA
1	7	20
2	7	21
3	7	22
4	7	22
5	7	17
6	7	15
7	7	16
8	7	17
9	7	19
10	7	14
11	7	14
12	7	18
13	7	17
14	7	18
15	7	19
16	7	15
17	7	19
18	7	17
19	7	14
20	7	17
21	7	22
22	7	16
23	7	17
24	7	17
25	7	18
26	7	19
27	7	18
28	7	NA
1	8	22
2	8	18
3	8	26
4	8	24
5	8	18
6	8	19
7	8	19
8	8	25
9	8	21
10	8	23
11	8	21
12	8	20
13	8	23
14	8	22
15	8	17
16	8	15
17	8	20
18	8	20
19	8	19
20	8	19
21	8	19
22	8	18
23	8	17
24	8	22
25	8	18
26	8	17
27	8	19
28	8	NA
1	9	22
2	9	20
3	9	25
4	9	22
5	9	21
6	9	18
7	9	17
8	9	25
9	9	24
10	9	22
11	9	21
12	9	21
13	9	22
14	9	20
15	9	21
16	9	18
17	9	18
18	9	20
19	9	17
20	9	17
21	9	20
22	9	17
23	9	18
24	9	16
25	9	19
26	9	19
27	9	18
28	9	NA
1	10	20
2	10	21
3	10	23
4	10	24
5	10	24
6	10	17
7	10	19
8	10	25
9	10	24
10	10	26
11	10	21
12	10	22
13	10	22
14	10	23
15	10	22
16	10	19
17	10	22
18	10	21
19	10	18
20	10	24
21	10	23
22	10	22
23	10	20
24	10	19
25	10	20
26	10	18
27	10	20
28	10	NA
1	11	19
2	11	21
3	11	22
4	11	23
5	11	25
6	11	20
7	11	17
8	11	26
9	11	27
10	11	22
11	11	20
12	11	19
13	11	22
14	11	19
15	11	18
16	11	18
17	11	21
18	11	21
19	11	18
20	11	24
21	11	21
22	11	20
23	11	21
24	11	19
25	11	20
26	11	17
27	11	18
28	11	NA
1	12	23
2	12	22
3	12	25
4	12	22
5	12	22
6	12	22
7	12	18
8	12	25
9	12	23
10	12	20
11	12	18
12	12	19
13	12	21
14	12	19
15	12	19
16	12	17
17	12	17
18	12	17
19	12	17
20	12	19
21	12	23
22	12	18
23	12	18
24	12	18
25	12	18
26	12	19
27	12	18
28	12	NA
1	13	20
2	13	22
3	13	23
4	13	21
5	13	21
6	13	18
7	13	19
8	13	19
9	13	19
10	13	17
11	13	17
12	13	17
13	13	18
14	13	17
15	13	19
16	13	17
17	13	20
18	13	19
19	13	17
20	13	21
21	13	22
22	13	19
23	13	17
24	13	18
25	13	20
26	13	17
27	13	18
28	13	NA
1	14	21
2	14	21
3	14	19
4	14	23
5	14	17
6	14	18
7	14	17
8	14	18
9	14	21
10	14	16
11	14	16
12	14	16
13	14	17
14	14	18
15	14	19
16	14	17
17	14	18
18	14	22
19	14	21
20	14	18
21	14	16
22	14	16
23	14	16
24	14	21
25	14	21
26	14	18
27	14	18
28	14	NA
1	15	19
2	15	20
3	15	23
4	15	20
5	15	19
6	15	18
7	15	16
8	15	17
9	15	18
10	15	16
11	15	15
12	15	17
13	15	17
14	15	15
15	15	18
16	15	17
17	15	17
18	15	19
19	15	20
20	15	23
21	15	17
22	15	14
23	15	17
24	15	17
25	15	20
26	15	19
27	15	17
28	15	NA
1	16	24
2	16	20
3	16	23
4	16	22
5	16	19
6	16	23
7	16	20
8	16	16
9	16	21
10	16	18
11	16	18
12	16	20
13	16	18
14	16	17
15	16	19
16	16	21
17	16	19
18	16	23
19	16	18
20	16	21
21	16	16
22	16	18
23	16	19
24	16	19
25	16	20
26	16	20
27	16	19
28	16	NA
1	17	22
2	17	22
3	17	21
4	17	19
5	17	23
6	17	18
7	17	15
8	17	16
9	17	16
10	17	19
11	17	18
12	17	18
13	17	17
14	17	17
15	17	16
16	17	15
17	17	17
18	17	19
19	17	16
20	17	19
21	17	20
22	17	18
23	17	19
24	17	17
25	17	21
26	17	19
27	17	18
28	17	NA
1	18	19
2	18	19
3	18	21
4	18	21
5	18	21
6	18	18
7	18	19
8	18	16
9	18	19
10	18	19
11	18	22
12	18	18
13	18	18
14	18	18
15	18	16
16	18	16
17	18	13
18	18	17
19	18	16
20	18	19
21	18	17
22	18	17
23	18	16
24	18	15
25	18	18
26	18	17
27	18	15
28	18	NA
1	19	19
2	19	21
3	19	22
4	19	19
5	19	17
6	19	19
7	19	18
8	19	15
9	19	18
10	19	19
11	19	19
12	19	18
13	19	16
14	19	16
15	19	15
16	19	13
17	19	13
18	19	14
19	19	13
20	19	18
21	19	20
22	19	19
23	19	17
24	19	16
25	19	18
26	19	14
27	19	15
28	19	NA
1	20	19
2	20	21
3	20	20
4	20	17
5	20	17
6	20	20
7	20	20
8	20	18
9	20	17
10	20	18
11	20	16
12	20	19
13	20	17
14	20	16
15	20	22
16	20	16
17	20	16
18	20	21
19	20	21
20	20	19
21	20	24
22	20	19
23	20	18
24	20	17
25	20	22
26	20	20
27	20	18
28	20	NA
1	21	22
2	21	20
3	21	21
4	21	20
5	21	19
6	21	19
7	21	20
8	21	21
9	21	23
10	21	18
11	21	20
12	21	20
13	21	19
14	21	20
15	21	21
16	21	22
17	21	19
18	21	25
19	21	22
20	21	23
21	21	27
22	21	24
23	21	20
24	21	19
25	21	24
26	21	21
27	21	19
28	21	NA
1	22	21
2	22	20
3	22	22
4	22	18
5	22	19
6	22	19
7	22	18
8	22	22
9	22	18
10	22	19
11	22	18
12	22	18
13	22	20
14	22	19
15	22	19
16	22	19
17	22	15
18	22	20
19	22	18
20	22	22
21	22	25
22	22	23
23	22	19
24	22	17
25	22	21
26	22	19
27	22	19
28	22	NA
1	23	17
2	23	21
3	23	21
4	23	18
5	23	17
6	23	19
7	23	20
8	23	22
9	23	21
10	23	20
11	23	19
12	23	20
13	23	18
14	23	23
15	23	19
16	23	18
17	23	19
18	23	20
19	23	20
20	23	21
21	23	24
22	23	22
23	23	20
24	23	18
25	23	20
26	23	17
27	23	17
28	23	NA
1	24	17
2	24	22
3	24	25
4	24	20
5	24	20
6	24	22
7	24	22
8	24	22
9	24	22
10	24	19
11	24	19
12	24	19
13	24	18
14	24	21
15	24	20
16	24	22
17	24	20
18	24	20
19	24	20
20	24	23
21	24	27
22	24	24
23	24	19
24	24	19
25	24	22
26	24	19
27	24	19
28	24	NA
1	25	18
2	25	20
3	25	23
4	25	19
5	25	18
6	25	26
7	25	23
8	25	24
9	25	21
10	25	19
11	25	19
12	25	22
13	25	22
14	25	27
15	25	25
16	25	22
17	25	19
18	25	23
19	25	21
20	25	21
21	25	26
22	25	25
23	25	21
24	25	20
25	25	20
26	25	19
27	25	18
28	25	NA
1	26	21
2	26	23
3	26	25
4	26	24
5	26	21
6	26	27
7	26	24
8	26	22
9	26	24
10	26	25
11	26	22
12	26	22
13	26	25
14	26	25
15	26	23
16	26	22
17	26	19
18	26	22
19	26	18
20	26	23
21	26	26
22	26	22
23	26	22
24	26	21
25	26	19
26	26	21
27	26	19
28	26	NA
1	27	21
2	27	19
3	27	22
4	27	19
5	27	22
6	27	27
7	27	22
8	27	26
9	27	27
10	27	21
11	27	21
12	27	24
13	27	21
14	27	24
15	27	20
16	27	17
17	27	20
18	27	21
19	27	19
20	27	20
21	27	26
22	27	20
23	27	22
