"row"	"col"	"yield"
1	1	0.17
2	1	0.18
3	1	0.13
4	1	0.16
5	1	0.16
6	1	0.16
7	1	0.14
8	1	0.13
9	1	0.14
10	1	0.14
11	1	0.12
12	1	0.15
13	1	0.17
14	1	0.14
15	1	0.13
16	1	0.15
17	1	0.15
18	1	0.13
19	1	0.15
20	1	0.13
21	1	0.14
22	1	0.14
23	1	0.17
24	1	0.12
1	2	0.16
2	2	0.16
3	2	0.14
4	2	0.14
5	2	0.18
6	2	0.16
7	2	0.14
8	2	0.15
9	2	0.14
10	2	0.17
11	2	0.15
12	2	0.14
13	2	0.15
14	2	0.16
15	2	0.14
16	2	0.15
17	2	0.14
18	2	0.12
19	2	0.13
20	2	0.12
21	2	0.12
22	2	0.15
23	2	0.17
24	2	0.11
1	3	0.19
2	3	0.18
3	3	0.16
4	3	0.16
5	3	0.16
6	3	0.17
7	3	0.18
8	3	0.17
9	3	0.14
10	3	0.15
11	3	0.15
12	3	0.14
13	3	0.18
14	3	0.13
15	3	0.14
16	3	0.13
17	3	0.13
18	3	0.12
19	3	0.14
20	3	0.13
21	3	0.12
22	3	0.14
23	3	0.18
24	3	0.11
1	4	0.21
2	4	0.17
3	4	0.13
4	4	0.18
5	4	0.19
6	4	0.18
7	4	0.18
8	4	0.17
9	4	0.15
10	4	0.17
11	4	0.17
12	4	0.15
13	4	0.17
14	4	0.15
15	4	0.13
16	4	0.13
17	4	0.13
18	4	0.15
19	4	0.15
20	4	0.13
21	4	0.13
22	4	0.14
23	4	0.15
24	4	0.13
1	5	0.18
2	5	0.16
3	5	0.16
4	5	0.13
5	5	0.18
6	5	0.15
7	5	0.16
8	5	0.17
9	5	0.14
10	5	0.16
11	5	0.16
12	5	0.12
13	5	0.16
14	5	0.16
15	5	0.14
16	5	0.13
17	5	0.12
18	5	0.12
19	5	0.13
20	5	0.1
21	5	0.09
22	5	0.13
23	5	0.14
24	5	0.10
1	6	0.20
2	6	0.15
3	6	0.15
4	6	0.16
5	6	0.15
6	6	0.14
7	6	0.14
8	6	0.15
9	6	0.19
10	6	0.17
11	6	0.13
12	6	0.13
13	6	0.16
14	6	0.15
15	6	0.13
16	6	0.15
17	6	0.11
18	6	0.14
19	6	0.13
20	6	0.15
21	6	0.13
22	6	0.13
23	6	0.15
24	6	0.13
1	7	0.19
2	7	0.18
3	7	0.15
4	7	0.18
5	7	0.16
6	7	0.15
7	7	0.16
8	7	0.16
9	7	0.16
10	7	0.16
11	7	0.14
12	7	0.17
13	7	0.15
14	7	0.15
15	7	0.13
16	7	0.14
17	7	0.11
18	7	0.11
19	7	0.13
20	7	0.12
21	7	0.11
22	7	0.13
23	7	0.17
24	7	0.13
1	8	0.20
2	8	0.19
3	8	0.16
4	8	0.14
5	8	0.15
6	8	0.13
7	8	0.14
8	8	0.17
9	8	0.12
10	8	0.16
11	8	0.13
12	8	0.17
13	8	0.17
14	8	0.21
15	8	0.16
16	8	0.16
17	8	0.14
18	8	0.15
19	8	0.15
20	8	0.15
21	8	0.15
22	8	0.15
23	8	0.17
24	8	0.13
1	9	0.20
2	9	0.18
3	9	0.17
4	9	0.16
5	9	0.16
6	9	0.13
7	9	0.16
8	9	0.14
9	9	0.16
10	9	0.15
11	9	0.16
12	9	0.16
13	9	0.16
14	9	0.16
15	9	0.14
16	9	0.15
17	9	0.15
18	9	0.12
19	9	0.14
20	9	0.13
21	9	0.12
22	9	0.13
23	9	0.15
24	9	0.13
1	10	0.18
2	10	0.21
3	10	0.17
4	10	0.15
5	10	0.13
6	10	0.13
7	10	0.13
8	10	0.14
9	10	0.14
10	10	0.18
11	10	0.15
12	10	0.16
13	10	0.16
14	10	0.19
15	10	0.13
16	10	0.14
17	10	0.15
18	10	0.15
19	10	0.15
20	10	0.13
21	10	0.13
22	10	0.14
23	10	0.15
24	10	0.13
1	11	0.18
2	11	0.19
3	11	0.16
4	11	0.16
5	11	0.15
6	11	0.14
7	11	0.15
8	11	0.14
9	11	0.15
10	11	0.17
11	11	0.14
12	11	0.14
13	11	0.16
14	11	0.16
15	11	0.12
16	11	0.12
17	11	0.13
18	11	0.12
19	11	0.12
20	11	0.14
21	11	0.13
22	11	0.14
23	11	0.14
24	11	0.14
1	12	0.19
2	12	0.17
3	12	0.15
4	12	0.12
5	12	0.13
6	12	0.13
7	12	0.14
8	12	0.15
9	12	0.15
10	12	0.15
11	12	0.17
12	12	0.16
13	12	0.18
14	12	0.19
15	12	0.13
16	12	0.15
17	12	0.16
18	12	0.14
19	12	0.17
20	12	0.14
21	12	0.13
22	12	0.15
23	12	0.14
24	12	0.13
1	13	0.16
2	13	0.17
3	13	0.12
4	13	0.15
5	13	0.13
6	13	0.10
7	13	0.13
8	13	0.12
9	13	0.11
10	13	0.11
11	13	0.13
12	13	0.13
13	13	0.16
14	13	0.14
15	13	0.13
16	13	0.16
17	13	0.13
18	13	0.14
19	13	0.17
20	13	0.17
21	13	0.15
22	13	0.14
23	13	0.13
24	13	0.14
1	14	0.18
2	14	0.19
3	14	0.16
4	14	0.15
5	14	0.17
6	14	0.16
7	14	0.15
8	14	0.15
9	14	0.14
10	14	0.16
11	14	0.17
12	14	0.18
13	14	0.16
14	14	0.17
15	14	0.16
16	14	0.16
17	14	0.14
18	14	0.15
19	14	0.15
20	14	0.16
21	14	0.15
22	14	0.16
23	14	0.14
24	14	0.14
1	15	0.18
2	15	0.18
3	15	0.14
4	15	0.18
5	15	0.19
6	15	0.18
7	15	0.12
8	15	0.14
9	15	0.14
10	15	0.16
11	15	0.15
12	15	0.14
13	15	0.16
14	15	0.16
15	15	0.14
16	15	0.15
17	15	0.14
18	15	0.16
19	15	0.16
20	15	0.20
21	15	0.15
22	15	0.18
23	15	0.16
24	15	0.17
1	16	0.18
2	16	0.17
3	16	0.18
4	16	0.18
5	16	0.15
6	16	0.16
7	16	0.17
8	16	0.13
9	16	0.17
10	16	0.14
11	16	0.18
12	16	0.16
13	16	0.20
14	16	0.17
