"row"	"col"	"yield"
1	1	66
2	1	97
3	1	111
4	1	96
5	1	63
6	1	68
7	1	63
8	1	86
9	1	98
10	1	81
11	1	79
12	1	100
13	1	92
14	1	72
15	1	71
16	1	78
17	1	78
18	1	60
19	1	80
20	1	82
21	1	90
22	1	69
23	1	73
24	1	71
25	1	85
26	1	53
27	1	63
28	1	92
29	1	101
30	1	76
31	1	80
32	1	70
33	1	75
34	1	88
35	1	75
36	1	74
37	1	102
38	1	69
39	1	66
40	1	60
1	2	66
2	2	106
3	2	136
4	2	124
5	2	138
6	2	95
7	2	110
8	2	133
9	2	63
10	2	44
11	2	74
12	2	87
13	2	110
14	2	80
15	2	81
16	2	77
17	2	79
18	2	105
19	2	94
20	2	62
21	2	65
22	2	78
23	2	70
24	2	71
25	2	75
26	2	85
27	2	70
28	2	127
29	2	80
30	2	79
31	2	53
32	2	87
33	2	109
34	2	91
35	2	85
36	2	107
37	2	119
38	2	100
39	2	58
40	2	59
1	3	81
2	3	98
3	3	107
4	3	114
5	3	106
6	3	100
7	3	117
8	3	128
9	3	100
10	3	107
11	3	106
12	3	116
13	3	141
14	3	98
15	3	113
16	3	102
17	3	86
18	3	120
19	3	91
20	3	74
21	3	91
22	3	104
23	3	101
24	3	113
25	3	90
26	3	105
27	3	102
28	3	114
29	3	97
30	3	81
31	3	85
32	3	112
33	3	88
34	3	112
35	3	99
36	3	103
37	3	122
38	3	115
39	3	97
40	3	90
1	4	89
2	4	122
3	4	120
4	4	118
5	4	125
6	4	137
7	4	142
8	4	117
9	4	144
10	4	138
11	4	118
12	4	147
13	4	152
14	4	139
15	4	139
16	4	148
17	4	139
18	4	136
19	4	170
20	4	97
21	4	109
22	4	119
23	4	125
24	4	130
25	4	142
26	4	108
27	4	139
28	4	132
29	4	137
30	4	171
31	4	135
32	4	137
33	4	154
34	4	109
35	4	132
36	4	133
37	4	127
38	4	107
39	4	130
40	4	101
1	5	90
2	5	97
3	5	130
4	5	111
5	5	115
6	5	244
7	5	267
8	5	234
9	5	201
10	5	175
11	5	237
12	5	185
13	5	187
14	5	156
15	5	149
16	5	145
17	5	138
18	5	174
19	5	160
20	5	155
21	5	161
22	5	155
23	5	150
24	5	175
25	5	154
26	5	158
27	5	150
28	5	170
29	5	193
30	5	165
31	5	182
32	5	166
33	5	140
34	5	124
35	5	126
36	5	115
37	5	107
38	5	106
39	5	113
40	5	79
1	6	109
2	6	115
3	6	101
4	6	135
5	6	125
6	6	226
7	6	207
8	6	159
9	6	165
10	6	199
11	6	175
12	6	168
13	6	178
14	6	190
15	6	185
16	6	205
17	6	236
18	6	180
19	6	192
20	6	185
21	6	182
22	6	195
23	6	156
24	6	154
25	6	162
26	6	210
27	6	161
28	6	115
29	6	150
30	6	132
31	6	105
32	6	161
33	6	115
34	6	104
35	6	107
36	6	98
37	6	113
38	6	100
39	6	115
40	6	96
1	7	79
2	7	78
3	7	74
4	7	93
5	7	147
6	7	127
7	7	181
8	7	149
9	7	138
10	7	163
11	7	118
12	7	135
13	7	180
14	7	149
15	7	158
16	7	159
17	7	107
18	7	93
19	7	130
20	7	145
21	7	130
22	7	156
23	7	105
24	7	128
25	7	137
26	7	104
27	7	125
28	7	143
29	7	115
30	7	135
31	7	115
32	7	93
33	7	108
34	7	89
35	7	109
36	7	120
37	7	100
38	7	105
39	7	115
40	7	94
1	8	61
2	8	78
3	8	74
4	8	73
5	8	82
6	8	112
7	8	119
8	8	143
9	8	126
10	8	107
11	8	127
12	8	98
13	8	110
14	8	112
15	8	106
16	8	97
17	8	95
18	8	94
19	8	101
20	8	120
21	8	147
22	8	110
23	8	128
24	8	136
25	8	103
26	8	122
27	8	117
28	8	121
29	8	123
30	8	129
31	8	102
32	8	88
33	8	82
34	8	101
35	8	67
36	8	65
37	8	93
38	8	82
39	8	58
40	8	71
1	9	80
2	9	73
3	9	71
4	9	102
5	9	90
6	9	82
7	9	95
8	9	67
9	9	89
10	9	135
11	9	130
12	9	111
13	9	122
14	9	110
15	9	85
16	9	86
17	9	105
18	9	100
19	9	96
20	9	131
21	9	103
22	9	115
23	9	101
24	9	89
25	9	106
26	9	119
27	9	93
28	9	113
29	9	80
30	9	93
31	9	90
32	9	84
33	9	73
34	9	66
35	9	57
36	9	70
37	9	48
38	9	53
39	9	55
40	9	57
1	10	50
2	10	47
3	10	50
4	10	55
5	10	60
6	10	55
7	10	70
8	10	85
9	10	82
10	10	81
11	10	75
12	10	105
13	10	86
14	10	74
15	10	70
16	10	60
17	10	53
18	10	80
19	10	69
20	10	90
21	10	68
22	10	63
23	10	67
24	10	71
25	10	73
26	10	77
27	10	82
28	10	78
29	10	70
30	10	87
31	10	52
32	10	53
33	10	67
34	10	72
35	10	56
36	10	43
37	10	57
38	10	34
39	10	48
40	10	51
