"loc"	"gen"	"greek"	"latin"	"yield"
"L1"	"G1"	"beta"	"C"	5.65
"L1"	"G2"	"phi"	"B"	3.79
"L1"	"G3"	"nu"	"E"	8.12
"L1"	"G4"	"delta"	"A"	7.93
"L1"	"G5"	"theta"	"D"	4.85
"L2"	"G1"	"delta"	"D"	7.68
"L2"	"G2"	"nu"	"C"	8.35
"L2"	"G3"	"beta"	"A"	6.27
"L2"	"G4"	"theta"	"B"	4.77
"L2"	"G5"	"phi"	"E"	8.88
"L3"	"G1"	"theta"	"E"	8.75
"L3"	"G2"	"beta"	"D"	4.98
"L3"	"G3"	"delta"	"B"	4.22
"L3"	"G4"	"phi"	"C"	6.92
"L3"	"G5"	"nu"	"A"	8.45
"L4"	"G1"	"nu"	"B"	4.32
"L4"	"G2"	"theta"	"A"	5.94
"L4"	"G3"	"phi"	"D"	7.29
"L4"	"G4"	"beta"	"E"	8.48
"L4"	"G5"	"delta"	"C"	4.49
