gen	env	yield
G1	E1	2047
G2	E1	1918
G3	E1	1367
G4	E1	2208
G5	E1	1935
G6	E1	1494
G7	E1	1797
G8	E1	1345
G9	E1	1682
G10	E1	1859
G11	E1	1991
G12	E1	2021
G13	E1	1665
G14	E1	1745
G15	E1	1619
G16	E1	1519
G17	E1	1813
G18	E1	1588
G1	E2	1703
G2	E2	1865
G3	E2	1176
G4	E2	2147
G5	E2	1794
G6	E2	1669
G7	E2	1837
G8	E2	1503
G9	E2	2233
G10	E2	2075
G11	E2	2133
G12	E2	1981
G13	E2	1247
G14	E2	1888
G15	E2	1443
G16	E2	1539
G17	E2	2073
G18	E2	1571
G1	E3	2088
G2	E3	1576
G3	E3	1020
G4	E3	1585
G5	E3	1395
G6	E3	2048
G7	E3	1731
G8	E3	1565
G9	E3	1518
G10	E3	1837
G11	E3	1788
G12	E3	1773
G13	E3	1522
G14	E3	1845
G15	E3	1529
G16	E3	1561
G17	E3	1464
G18	E3	2020
G1	E4	1195
G2	E4	1085
G3	E4	803
G4	E4	1276
G5	E4	1327
G6	E4	1437
G7	E4	1345
G8	E4	993
G9	E4	945
G10	E4	1107
G11	E4	1183
G12	E4	1339
G13	E4	846
G14	E4	1337
G15	E4	956
G16	E4	1009
G17	E4	1169
G18	E4	903
G1	E5	3809
G2	E5	2380
G3	E5	2646
G4	E5	2478
G5	E5	2488
G6	E5	3033
G7	E5	2246
G8	E5	3011
G9	E5	2524
G10	E5	2250
G11	E5	2571
G12	E5	2515
G13	E5	2404
G14	E5	2643
G15	E5	2797
G16	E5	2375
G17	E5	2292
G18	E5	2203
G1	E6	2716
G2	E6	2769
G3	E6	2000
G4	E6	2264
G5	E6	2518
G6	E6	2396
G7	E6	2571
G8	E6	2235
G9	E6	2189
G10	E6	2271
G11	E6	2300
G12	E6	2417
G13	E6	1951
G14	E6	2443
G15	E6	2047
G16	E6	2115
G17	E6	3182
G18	E6	2821
G1	E7	2567
G2	E7	2667
G3	E7	1950
G4	E7	2390
G5	E7	1865
G6	E7	2721
G7	E7	2499
G8	E7	2359
G9	E7	2312
G10	E7	2325
G11	E7	2513
G12	E7	2475
G13	E7	2213
G14	E7	2600
G15	E7	2323
G16	E7	2188
G17	E7	1971
G18	E7	3184
G1	E8	2969
G2	E8	3033
G3	E8	3191
G4	E8	2268
G5	E8	2187
G6	E8	2333
G7	E8	2690
G8	E8	2330
G9	E8	2231
G10	E8	2364
G11	E8	2487
G12	E8	2673
G13	E8	1679
G14	E8	2465
G15	E8	1925
G16	E8	2193
G17	E8	2361
G18	E8	2843
G1	E9	2773
G2	E9	2617
G3	E9	2717
G4	E9	1986
G5	E9	1947
G6	E9	2174
G7	E9	2355
G8	E9	1536
G9	E9	1864
G10	E9	2074
G11	E9	2596
G12	E9	2222
G13	E9	1417
G14	E9	2187
G15	E9	1621
G16	E9	2081
G17	E9	2046
G18	E9	2593
G1	E10	2750
G2	E10	2580
G3	E10	2972
G4	E10	2507
G5	E10	1607
G6	E10	2372
G7	E10	1869
G8	E10	2180
G9	E10	2133
G10	E10	2182
G11	E10	2233
G12	E10	2367
G13	E10	2209
G14	E10	2554
G15	E10	2144
G16	E10	1946
G17	E10	2208
G18	E10	2396
G1	E11	2418
G2	E11	2352
G3	E11	3055
G4	E11	1831
G5	E11	2067
G6	E11	2078
G7	E11	2351
G8	E11	2093
G9	E11	2046
G10	E11	2243
G11	E11	2201
G12	E11	2114
G13	E11	1947
G14	E11	2205
G15	E11	2056
G16	E11	1913
G17	E11	2006
G18	E11	2361
