"plot"	"row"	"col"	"year"	"yield"
1	3	33	"Y1"	7.7
2	4	33	"Y1"	12.2
3	5	33	"Y1"	8.8
4	6	33	"Y1"	7.3
5	7	33	"Y1"	6.8
6	8	33	"Y1"	6.1
7	9	33	"Y1"	8.5
8	10	33	"Y1"	2.8
9	11	33	"Y1"	6.7
10	12	33	"Y1"	7.8
11	13	33	"Y1"	6.1
12	14	33	"Y1"	5.2
3	15	33	"Y1"	6.4
15	16	33	"Y1"	1.5
15	17	33	"Y1"	5
16	18	33	"Y1"	6.5
17	21	33	"Y1"	3.7
18	22	33	"Y1"	0.7
19	23	33	"Y1"	5.7
20	24	33	"Y1"	9.8
21	25	33	"Y1"	1.5
22	26	33	"Y1"	1.6
25	27	33	"Y1"	1.8
25	28	33	"Y1"	1.8
25	29	33	"Y1"	6.1
26	30	33	"Y1"	3.9
27	31	33	"Y1"	2.5
28	31	32	"Y1"	1.4
29	30	32	"Y1"	4.3
30	29	32	"Y1"	5.8
31	28	32	"Y1"	2.4
32	27	32	"Y1"	3.5
33	26	32	"Y1"	7.3
34	25	32	"Y1"	5.5
35	24	32	"Y1"	4.4
36	23	32	"Y1"	6.6
37	22	32	"Y1"	7.4
38	21	32	"Y1"	4.7
39	20	32	"Y1"	4.3
40	19	32	"Y1"	4.5
41	18	32	"Y1"	3.9
42	17	32	"Y1"	3.4
43	16	32	"Y1"	7
44	15	32	"Y1"	8.9
45	14	32	"Y1"	3.5
46	13	32	"Y1"	10.7
47	12	32	"Y1"	5.1
48	11	32	"Y1"	8
49	10	32	"Y1"	7.7
50	9	32	"Y1"	4
51	8	32	"Y1"	7.1
52	7	32	"Y1"	8.6
53	6	32	"Y1"	8
54	5	32	"Y1"	5.5
55	4	32	"Y1"	4.7
56	3	32	"Y1"	2.2
57	2	32	"Y1"	10.4
58	1	32	"Y1"	5
59	2	31	"Y1"	5.7
60	3	31	"Y1"	2.7
61	4	31	"Y1"	8.6
62	5	31	"Y1"	3.8
63	6	31	"Y1"	6.6
64	7	31	"Y1"	6.2
65	8	31	"Y1"	0.2
66	9	31	"Y1"	3.8
67	10	31	"Y1"	4.4
68	11	31	"Y1"	7.2
69	12	31	"Y1"	2.3
70	13	31	"Y1"	3.4
71	14	31	"Y1"	5.1
72	15	31	"Y1"	3.3
73	16	31	"Y1"	5.2
74	17	31	"Y1"	1
75	18	31	"Y1"	3.3
76	19	31	"Y1"	3.7
77	20	31	"Y1"	4.5
78	21	31	"Y1"	5.2
79	22	31	"Y1"	2.5
80	23	31	"Y1"	3.9
81	24	31	"Y1"	7.3
82	25	31	"Y1"	5
83	26	31	"Y1"	5.8
84	27	31	"Y1"	4.4
85	28	31	"Y1"	12.1
86	29	31	"Y1"	4.6
87	30	31	"Y1"	2.3
88	31	31	"Y1"	6.2
89	32	31	"Y1"	1.4
90	32	30	"Y1"	2.4
91	31	30	"Y1"	4.9
92	30	30	"Y1"	4.4
93	29	30	"Y1"	5.5
94	28	30	"Y1"	6.5
95	27	30	"Y1"	5.9
96	26	30	"Y1"	5.6
97	25	30	"Y1"	5.7
98	24	30	"Y1"	5.2
99	23	30	"Y1"	6
100	22	30	"Y1"	0.4
101	21	30	"Y1"	2.6
102	20	30	"Y1"	6.6
103	19	30	"Y1"	2.9
104	18	30	"Y1"	6.9
105	17	30	"Y1"	5.9
106	16	30	"Y1"	2.9
107	15	30	"Y1"	1.8
108	14	30	"Y1"	3.8
109	13	30	"Y1"	2.9
110	12	30	"Y1"	2.7
111	11	30	"Y1"	1.1
112	10	30	"Y1"	0.3
113	9	30	"Y1"	0.9
114	8	30	"Y1"	3.7
115	7	30	"Y1"	4.4
116	6	30	"Y1"	2.8
117	5	30	"Y1"	5.8
118	4	30	"Y1"	2.3
119	3	30	"Y1"	1.5
120	3	29	"Y1"	2.2
121	4	29	"Y1"	3.3
122	5	29	"Y1"	3
123	6	29	"Y1"	0.3
124	7	29	"Y1"	0.6
125	8	29	"Y1"	0.1
126	9	29	"Y1"	4.4
127	10	29	"Y1"	4.2
128	11	29	"Y1"	10.6
129	12	29	"Y1"	4.8
130	13	29	"Y1"	2.7
131	14	29	"Y1"	5.9
132	15	29	"Y1"	5.9
133	16	29	"Y1"	5.4
134	17	29	"Y1"	5
135	18	29	"Y1"	5.2
136	19	29	"Y1"	9.1
137	20	29	"Y1"	2.7
138	21	29	"Y1"	0.9
139	22	29	"Y1"	8.2
140	23	29	"Y1"	5.5
141	24	29	"Y1"	6.8
142	25	29	"Y1"	12.7
143	26	29	"Y1"	6
144	27	29	"Y1"	1.7
145	28	29	"Y1"	6.6
146	29	29	"Y1"	4.1
147	30	29	"Y1"	1.1
148	31	29	"Y1"	4.2
149	32	29	"Y1"	4.6
150	33	29	"Y1"	2.2
151	34	28	"Y1"	5.1
152	33	28	"Y1"	5
153	32	28	"Y1"	3.3
154	31	28	"Y1"	0.8
155	30	28	"Y1"	6.1
156	29	28	"Y1"	2
157	28	28	"Y1"	2.8
158	27	28	"Y1"	8.6
159	26	28	"Y1"	5.3
160	25	28	"Y1"	4.8
161	24	28	"Y1"	3.4
162	23	28	"Y1"	2.3
163	22	28	"Y1"	4.2
164	21	28	"Y1"	0.8
165	20	28	"Y1"	4
166	19	28	"Y1"	2
167	18	28	"Y1"	2.2
168	17	28	"Y1"	3.3
169	16	28	"Y1"	5.3
170	15	28	"Y1"	3.6
171	14	28	"Y1"	0.7
172	13	28	"Y1"	3.3
173	12	28	"Y1"	1.8
174	11	28	"Y1"	2.2
175	10	28	"Y1"	1.4
176	9	28	"Y1"	1
177	8	28	"Y1"	2
178	7	28	"Y1"	2.3
179	6	28	"Y1"	3.5
180	5	28	"Y1"	1.6
181	4	28	"Y1"	9.8
182	5	27	"Y1"	7.3
183	6	27	"Y1"	5.2
184	7	27	"Y1"	0.1
185	8	27	"Y1"	11.8
186	9	27	"Y1"	1.7
187	10	27	"Y1"	0.1
188	11	27	"Y1"	0.8
189	12	27	"Y1"	2.1
190	13	27	"Y1"	1.5
191	14	27	"Y1"	0.7
192	15	27	"Y1"	0.4
193	16	27	"Y1"	5.1
194	17	27	"Y1"	4.3
195	18	27	"Y1"	6.6
196	19	27	"Y1"	5.2
197	20	27	"Y1"	4.4
198	21	27	"Y1"	1.6
199	22	27	"Y1"	1.9
200	23	27	"Y1"	1.5
201	24	27	"Y1"	2.9
202	25	27	"Y1"	0.6
203	26	27	"Y1"	1.4
204	27	27	"Y1"	10
205	28	27	"Y1"	3.9
206	29	27	"Y1"	3.4
207	30	27	"Y1"	5.5
208	31	27	"Y1"	3.1
209	32	27	"Y1"	2.8
210	33	27	"Y1"	6
211	34	27	"Y1"	3.6
212	35	26	"Y1"	8.1
213	34	26	"Y1"	4.2
214	33	26	"Y1"	9.8
215	32	26	"Y1"	2.7
216	31	26	"Y1"	4.8
217	30	26	"Y1"	1.4
218	29	26	"Y1"	5.6
219	28	26	"Y1"	12.1
220	27	26	"Y1"	0.6
221	26	26	"Y1"	0.2
222	25	26	"Y1"	2.3
223	24	26	"Y1"	13.7
224	23	26	"Y1"	1.9
225	22	26	"Y1"	2.6
226	21	26	"Y1"	4.6
227	20	26	"Y1"	6.8
228	19	26	"Y1"	8.6
229	18	26	"Y1"	9.5
230	17	26	"Y1"	9.8
231	16	26	"Y1"	1.2
232	15	26	"Y1"	3
233	14	26	"Y1"	2.7
234	13	26	"Y1"	2.1
235	12	26	"Y1"	3.4
236	11	26	"Y1"	4.7
237	10	26	"Y1"	6.9
238	9	26	"Y1"	3.3
239	8	26	"Y1"	1.9
240	7	26	"Y1"	4.9
241	6	26	"Y1"	2.4
242	5	26	"Y1"	5.2
243	6	25	"Y1"	5
244	7	25	"Y1"	2.4
245	8	25	"Y1"	3.2
246	9	25	"Y1"	4.8
247	10	25	"Y1"	4.5
248	11	25	"Y1"	4.9
249	12	25	"Y1"	5.3
250	13	25	"Y1"	7.7
251	14	25	"Y1"	8.6
252	15	25	"Y1"	0.5
253	16	25	"Y1"	7.9
254	17	25	"Y1"	4.4
255	18	25	"Y1"	6.6
256	19	25	"Y1"	7
257	20	25	"Y1"	4.9
258	21	25	"Y1"	5.5
259	22	25	"Y1"	2.4
260	23	25	"Y1"	0.1
261	24	25	"Y1"	5.8
262	25	25	"Y1"	7.4
263	26	25	"Y1"	8.2
264	27	25	"Y1"	5.1
265	28	25	"Y1"	13.6
266	29	25	"Y1"	10.2
267	30	25	"Y1"	9.1
268	31	25	"Y1"	9.5
269	32	25	"Y1"	7.3
270	33	25	"Y1"	12.8
271	34	25	"Y1"	15.9
272	35	25	"Y1"	5.7
273	36	24	"Y1"	9
274	35	24	"Y1"	12
275	34	24	"Y1"	10.6
276	33	24	"Y1"	3.9
277	32	24	"Y1"	4.5
278	31	24	"Y1"	2.3
279	30	24	"Y1"	4.9
280	29	24	"Y1"	5.3
281	28	24	"Y1"	8.7
282	27	24	"Y1"	0.7
283	26	24	"Y1"	6.2
284	25	24	"Y1"	5.8
285	24	24	"Y1"	3.6
286	23	24	"Y1"	3.7
287	22	24	"Y1"	7.2
288	21	24	"Y1"	1.1
289	20	24	"Y1"	7
290	19	24	"Y1"	0.8
291	18	24	"Y1"	5.2
292	17	24	"Y1"	5.6
293	16	24	"Y1"	5
294	15	24	"Y1"	0.6
295	14	24	"Y1"	6
296	13	24	"Y1"	0.6
297	12	24	"Y1"	7
298	11	24	"Y1"	1.3
299	10	24	"Y1"	0.6
300	9	24	"Y1"	1
301	8	24	"Y1"	6
302	7	24	"Y1"	12.7
303	7	23	"Y1"	0
304	8	23	"Y1"	1.9
305	9	23	"Y1"	3.1
306	10	23	"Y1"	2
307	11	23	"Y1"	10.3
308	12	23	"Y1"	2
309	13	23	"Y1"	3.3
