"row"	"col"	"yield"
1	1	15.84
2	1	21.49
3	1	15.38
4	1	17.65
5	1	12.67
6	1	14.48
7	1	18.55
8	1	23.98
9	1	16.06
10	1	20.36
11	1	21.49
12	1	20.14
13	1	16.74
14	1	19.91
15	1	23.08
16	1	14.48
17	1	16.29
18	1	11.99
1	2	14.71
2	2	22.17
3	2	25.34
4	2	16.29
5	2	17.65
6	2	22.62
7	2	18.78
8	2	28.96
9	2	16.97
10	2	19
11	2	24.43
12	2	13.12
13	2	24.43
14	2	21.72
15	2	22.62
16	2	3.17
17	2	24.66
18	2	12.67
1	3	19.91
2	3	18.1
3	3	16.29
4	3	21.72
5	3	22.17
6	3	11.09
7	3	24.43
8	3	24.89
9	3	24.89
10	3	28.51
11	3	23.53
12	3	14.48
13	3	19.91
14	3	16.74
15	3	21.49
16	3	27.15
17	3	23.98
18	3	13.57
1	4	24.89
2	4	20.81
3	4	16.74
4	4	22.4
5	4	19.91
6	4	24.43
7	4	22.85
8	4	18.78
9	4	22.85
10	4	23.3
11	4	26.24
12	4	25.79
13	4	25.79
14	4	26.24
15	4	23.08
16	4	26.02
17	4	22.62
18	4	16.29
1	5	9.05
2	5	14.93
3	5	12.22
4	5	17.65
5	5	16.74
6	5	18.1
7	5	19.91
8	5	19.91
9	5	15.38
10	5	21.72
11	5	18.55
12	5	22.62
13	5	22.62
14	5	11.09
15	5	22.62
16	5	18.1
17	5	10.18
18	5	15.16
1	6	25.79
2	6	26.24
3	6	16.74
4	6	23.08
5	6	16.74
6	6	20.81
7	6	20.36
8	6	18.55
9	6	21.27
10	6	22.17
11	6	22.62
12	6	23.08
13	6	13.57
14	6	14.03
15	6	7.92
16	6	19.23
17	6	13.12
18	6	13.57
1	7	19.46
2	7	16.74
3	7	14.48
4	7	19.46
5	7	11.54
6	7	21.27
7	7	19
8	7	23.53
9	7	14.03
10	7	15.38
11	7	21.27
12	7	18.55
13	7	23.08
14	7	8.82
15	7	16.97
16	7	18.55
17	7	12.44
18	7	13.12
1	8	17.65
2	8	18.55
3	8	22.4
4	8	15.84
5	8	16.29
6	8	30.77
7	8	18.55
8	8	21.27
9	8	19.46
10	8	27.6
11	8	18.55
12	8	27.15
13	8	23.76
14	8	18.55
15	8	18.1
16	8	19.46
17	8	23.98
18	8	12.67
1	9	7.24
2	9	12.9
3	9	12.22
4	9	11.31
5	9	13.12
6	9	8.6
7	9	17.42
8	9	17.87
9	9	10.86
10	9	17.65
11	9	4.07
12	9	15.38
13	9	9.5
14	9	15.16
15	9	11.31
16	9	9.95
17	9	11.76
18	9	13.35
1	10	11.31
2	10	13.35
3	10	3.17
4	10	4.52
5	10	10.41
6	10	7.24
7	10	19
8	10	10.86
9	10	27.6
10	10	19.46
11	10	19.91
12	10	25.11
13	10	12.9
14	10	16.06
15	10	18.1
16	10	22.62
17	10	19.46
18	10	15.84
1	11	8.6
2	11	3.17
3	11	11.54
4	11	20.36
5	11	8.37
6	11	20.59
7	11	7.69
8	11	9.05
9	11	7.05
10	11	5.88
11	11	19.46
12	11	23.76
13	11	28.05
14	11	30.09
15	11	19.46
16	11	21.72
17	11	22.4
18	11	14.03
1	12	8.37
2	12	11.99
3	12	10.18
4	12	8.6
5	12	16.74
6	12	16.29
7	12	13.12
8	12	11.76
9	12	16.74
10	12	33.94
11	12	13.8
12	12	23.53
13	12	27.83
14	12	20.81
15	12	19
16	12	19
17	12	21.72
18	12	22.62
1	13	21.95
2	13	18.1
3	13	10.63
4	13	7.47
5	13	8.14
6	13	11.31
7	13	14.25
8	13	5.43
9	13	24.43
10	13	9.05
11	13	17.65
12	13	14.48
13	13	18.55
14	13	25.34
15	13	26.7
16	13	31.67
17	13	22.62
18	13	22.62
1	14	29.41
2	14	15.38
3	14	21.72
4	14	23.53
5	14	17.19
6	14	9.05
7	14	15.38
8	14	15.38
9	14	11.54
10	14	19
11	14	28.05
12	14	26.7
13	14	13.12
14	14	41.63
15	14	38.46
16	14	29.86
17	14	40.27
18	14	29.86
1	15	13.57
2	15	16.74
3	15	3.62
4	15	9.5
5	15	20.81
6	15	15.84
7	15	13.57
8	15	10.86
9	15	23.98
10	15	13.57
11	15	22.62
12	15	24.89
13	15	28.96
14	15	34.39
15	15	23.53
16	15	23.53
17	15	17.65
18	15	31.67
1	16	4.07
2	16	9.95
3	16	7.24
4	16	12.22
5	16	9.73
6	16	10.41
7	16	12.22
8	16	7.24
9	16	10.86
10	16	10.86
11	16	23.08
12	16	20.36
13	16	20.36
14	16	26.92
15	16	20.36
16	16	25.79
17	16	26.7
18	16	21.27
1	17	12.9
2	17	21.72
3	17	11.76
4	17	22.17
5	17	10.41
6	17	16.29
7	17	19
8	17	15.38
9	17	18.55
10	17	19
11	17	23.08
12	17	17.65
13	17	16.74
14	17	23.08
15	17	27.15
16	17	23.08
17	17	29.41
18	17	19
1	18	13.57
2	18	14.93
3	18	14.93
4	18	25.34
5	18	18.1
6	18	19.46
7	18	14.93
8	18	16.29
9	18	14.03
10	18	26.7
11	18	18.55
12	18	17.65
13	18	16.74
14	18	18.1
15	18	18.1
16	18	21.72
17	18	25.79
18	18	24.89
1	19	14.48
2	19	11.31
3	19	9.95
4	19	16.74
5	19	12.67
6	19	17.87
7	19	21.27
8	19	24.43
9	19	21.27
10	19	12.67
11	19	21.27
12	19	19
13	19	23.98
14	19	18.55
15	19	26.7
16	19	17.65
17	19	20.81
18	19	23.08
1	20	11.31
2	20	17.19
3	20	12.44
4	20	11.76
5	20	16.29
6	20	20.36
7	20	14.48
8	20	26.24
9	20	20.36
10	20	23.98
11	20	27.6
12	20	19.91
13	20	37.56
14	20	20.36
15	20	25.34
16	20	25.34
17	20	29.86
18	20	21.72
1	21	15.38
2	21	19.46
3	21	25.34
4	21	18.1
5	21	19.46
6	21	15.84
7	21	19.23
