"year"	"row"	"col"	"yield"
"1921"	1	1	18
"1921"	2	1	22
"1921"	3	1	29
"1921"	4	1	14
"1921"	5	1	23
"1921"	6	1	30
"1921"	7	1	12
"1921"	8	1	19
"1921"	9	1	15
"1921"	10	1	16
"1921"	11	1	15
"1921"	12	1	25
"1921"	13	1	20
"1921"	14	1	23
"1921"	15	1	32
"1921"	16	1	30
"1921"	17	1	22
"1921"	18	1	20
"1921"	19	1	18
"1921"	20	1	20
"1921"	21	1	21
"1921"	22	1	14
"1921"	1	2	34
"1921"	2	2	35
"1921"	3	2	36
"1921"	4	2	36
"1921"	5	2	31
"1921"	6	2	16
"1921"	7	2	23
"1921"	8	2	30
"1921"	9	2	33
"1921"	10	2	22
"1921"	11	2	31
"1921"	13	2	25
"1921"	14	2	24
"1921"	15	2	28
"1921"	16	2	33
"1921"	18	2	27
"1921"	19	2	22
"1921"	20	2	22
"1921"	21	2	25
"1921"	22	2	17
"1921"	1	3	27
"1921"	2	3	19
"1921"	3	3	35
"1921"	4	3	34
"1921"	5	3	20
"1921"	6	3	25
"1921"	7	3	32
"1921"	8	3	27
"1921"	9	3	27
"1921"	10	3	24
"1921"	11	3	19
"1921"	12	3	21
"1921"	13	3	28
"1921"	14	3	24
"1921"	15	3	32
"1921"	16	3	29
"1921"	17	3	29
"1921"	18	3	31
"1921"	19	3	17
"1921"	20	3	24
"1921"	21	3	27
"1921"	22	3	21
"1921"	1	4	28
"1921"	2	4	22
"1921"	3	4	24
"1921"	4	4	24
"1921"	5	4	14
"1921"	6	4	28
"1921"	7	4	32
"1921"	8	4	21
"1921"	9	4	32
"1921"	10	4	28
"1921"	11	4	28
"1921"	12	4	34
"1921"	13	4	36
"1921"	14	4	37
"1921"	15	4	36
"1921"	16	4	23
"1921"	17	4	34
"1921"	18	4	15
"1921"	19	4	24
"1921"	20	4	20
"1921"	21	4	28
"1921"	22	4	31
"1921"	1	5	15
"1921"	2	5	40
"1921"	3	5	40
"1921"	4	5	31
"1921"	5	5	16
"1921"	6	5	12
"1921"	7	5	13
"1921"	8	5	14
"1921"	9	5	20
"1921"	10	5	15
"1921"	11	5	28
"1921"	12	5	22
"1921"	13	5	23
"1921"	14	5	20
"1921"	15	5	37
"1921"	16	5	21
"1921"	17	5	12
"1921"	18	5	27
"1921"	19	5	16
"1921"	20	5	26
"1921"	21	5	26
"1921"	22	5	24
"1921"	7	6	15
"1921"	8	6	19
"1921"	9	6	23
"1921"	10	6	21
"1921"	11	6	20
"1921"	12	6	17
"1921"	13	6	28
"1921"	14	6	29
"1921"	15	6	38
"1921"	16	6	26
"1921"	17	6	27
"1921"	18	6	25
"1921"	19	6	23
"1921"	20	6	37
"1921"	21	6	25
"1921"	23	6	15
"1921"	24	6	15
"1921"	25	6	13
"1921"	26	6	16
"1921"	27	6	5
"1921"	11	7	10
"1921"	12	7	18
"1921"	13	7	19
"1921"	14	7	18
"1921"	15	7	24
"1921"	16	7	18
"1921"	17	7	25
"1921"	18	7	20
"1921"	19	7	20
"1921"	20	7	22
"1921"	21	7	32
"1921"	22	7	21
"1921"	23	7	16
"1921"	24	7	11
"1921"	25	7	10
"1921"	26	7	12
"1921"	16	8	23
"1921"	17	8	19
"1921"	18	8	14
"1921"	19	8	15
"1921"	20	8	13
"1921"	21	8	16
"1921"	22	8	23
"1921"	23	8	11
"1921"	24	8	7
"1921"	25	8	8
"1921"	26	8	4
"1921"	1	9	9
"1921"	2	9	7
"1921"	3	9	12
"1921"	4	9	15
"1921"	5	9	19
"1921"	6	9	13
"1921"	7	9	17
"1921"	8	9	13
"1921"	9	9	13
"1921"	10	9	9
"1921"	11	9	19
"1921"	12	9	24
"1921"	1	10	25
"1921"	2	10	24
"1921"	3	10	19
"1921"	4	10	15
"1921"	5	10	12
"1921"	6	10	17
"1921"	7	10	19
"1921"	8	10	20
