ear	obs	ys	yt	ws	wt
Ear08	Obs01	352	102	52	26
Ear08	Obs02	322	49	82	79
Ear08	Obs03	298	75	108	51
Ear08	Obs04	332	101	71	28
Ear08	Obs05	305	101	86	40
Ear08	Obs06	313	100	90	29
Ear08	Obs07	308	86	95	43
Ear08	Obs08	311	101	92	28
Ear08	Obs09	327	101	78	26
Ear08	Obs10	308	92	95	37
Ear08	Obs11	311	97	92	32
Ear08	Obs12	313	99	91	29
Ear08	Obs13	308	97	95	32
Ear08	Obs14	312	104	91	25
Ear08	Obs15	333	97	73	29
Ear09	Obs01	234	71	89	28
Ear09	Obs02	247	66	76	30
Ear09	Obs03	230	62	93	37
Ear09	Obs04	249	75	74	24
Ear09	Obs05	227	81	84	30
Ear09	Obs06	242	79	81	20
Ear09	Obs07	240	75	82	25
Ear09	Obs08	241	78	82	21
Ear09	Obs09	242	80	79	21
Ear09	Obs10	238	82	84	18
Ear09	Obs11	245	75	78	24
Ear09	Obs12	243	77	80	22
Ear09	Obs13	244	75	79	24
Ear09	Obs14	246	77	79	22
Ear09	Obs15	246	75	77	24
Ear10	Obs01	251	51	85	45
Ear10	Obs02	251	53	85	43
Ear10	Obs03	248	51	88	45
Ear10	Obs04	260	65	76	31
Ear10	Obs05	245	65	91	31
Ear10	Obs06	251	75	85	21
Ear10	Obs07	246	61	90	35
Ear10	Obs08	247	75	89	21
Ear10	Obs09	249	70	87	20
Ear10	Obs10	247	74	89	22
Ear10	Obs11	250	73	85	23
Ear10	Obs12	247	71	88	25
Ear10	Obs13	247	76	88	20
Ear10	Obs14	250	74	85	22
Ear10	Obs15	246	78	89	18
Ear11	Obs01	292	87	7	21
Ear11	Obs02	221	53	78	55
Ear11	Obs03	222	67	77	41
Ear11	Obs04	222	75	77	33
Ear11	Obs05	223	66	76	42
Ear11	Obs06	223	76	76	32
Ear11	Obs07	224	72	75	36
Ear11	Obs08	224	82	75	26
Ear11	Obs09	228	87	71	21
Ear11	Obs10	221	64	78	44
Ear11	Obs11	223	84	76	24
Ear11	Obs12	221	78	78	30
Ear11	Obs13	222	79	77	26
Ear11	Obs14	231	94	68	14
