"plant"	"day"	"trt"	"weight"
1	1	"T1"	44
2	1	"T1"	48.4
3	1	"T1"	55.5
4	1	"T1"	48.6
5	1	"T1"	48.1
6	1	"T1"	42.6
7	1	"T1"	55.4
8	1	"T1"	47.5
9	1	"T1"	48.8
10	1	"T1"	51.2
11	1	"T1"	49.4
12	1	"T1"	50.4
13	1	"T1"	50
14	1	"T1"	48
15	1	"T1"	52.3
16	1	"T1"	51.1
17	1	"T1"	46.7
18	1	"T1"	48.8
1	5	"T1"	44.1
2	5	"T1"	48.6
3	5	"T1"	56.5
4	5	"T1"	49.5
5	5	"T1"	48.3
6	5	"T1"	44.8
7	5	"T1"	56.8
8	5	"T1"	47.6
9	5	"T1"	49.5
10	5	"T1"	53.1
11	5	"T1"	50.3
12	5	"T1"	50.8
13	5	"T1"	50.7
14	5	"T1"	48.5
15	5	"T1"	53.1
16	5	"T1"	51.6
17	5	"T1"	47.2
18	5	"T1"	49.1
1	8	"T1"	46
2	8	"T1"	51.1
3	8	"T1"	59.8
4	8	"T1"	52.8
5	8	"T1"	51.4
6	8	"T1"	46.2
7	8	"T1"	57.9
8	8	"T1"	48.3
9	8	"T1"	50.2
10	8	"T1"	54.3
11	8	"T1"	51.5
12	8	"T1"	52.3
13	8	"T1"	52
14	8	"T1"	50.1
15	8	"T1"	55.7
16	8	"T1"	53.9
17	8	"T1"	49.1
18	8	"T1"	50.5
1	12	"T1"	48.1
2	12	"T1"	53
3	12	"T1"	63.1
4	12	"T1"	55.1
5	12	"T1"	53.1
6	12	"T1"	48.6
7	12	"T1"	59.7
8	12	"T1"	49.6
9	12	"T1"	51.7
10	12	"T1"	53.4
11	12	"T1"	53.1
12	12	"T1"	53.9
13	12	"T1"	54.1
14	12	"T1"	52.6
15	12	"T1"	59.3
16	12	"T1"	55.2
17	12	"T1"	50.8
18	12	"T1"	52.1
1	15	"T1"	49.2
2	15	"T1"	54.1
3	15	"T1"	65.9
4	15	"T1"	56.8
5	15	"T1"	53.2
6	15	"T1"	49.7
7	15	"T1"	61
8	15	"T1"	50.5
9	15	"T1"	52.4
10	15	"T1"	54.9
11	15	"T1"	54
12	15	"T1"	55.1
13	15	"T1"	55.6
14	15	"T1"	53.4
15	15	"T1"	60.4
16	15	"T1"	56.7
17	15	"T1"	52.3
18	15	"T1"	53.6
1	18	"T1"	50
2	18	"T1"	55.5
3	18	"T1"	68.3
4	18	"T1"	58
5	18	"T1"	53.2
6	18	"T1"	51.3
7	18	"T1"	62.2
8	18	"T1"	51.5
9	18	"T1"	53.5
10	18	"T1"	55.8
11	18	"T1"	55.7
12	18	"T1"	57
13	18	"T1"	57.6
14	18	"T1"	54.8
15	18	"T1"	62
16	18	"T1"	58.3
17	18	"T1"	54.1
18	18	"T1"	55
1	21	"T1"	53
2	21	"T1"	58.7
3	21	"T1"	74.5
4	21	"T1"	63
5	21	"T1"	57.5
6	21	"T1"	56
7	21	"T1"	68
8	21	"T1"	55.9
9	21	"T1"	56.7
10	21	"T1"	58.8
11	21	"T1"	60.1
12	21	"T1"	61
13	21	"T1"	60.3
14	21	"T1"	56.9
15	21	"T1"	68.7
16	21	"T1"	62
17	21	"T1"	56.7
18	21	"T1"	59.6
1	26	"T1"	60.4
2	26	"T1"	65.7
3	26	"T1"	83.4
4	26	"T1"	73
5	26	"T1"	65
6	26	"T1"	63.1
7	26	"T1"	77.8
8	26	"T1"	66.5
9	26	"T1"	64.1
10	26	"T1"	66
11	26	"T1"	68
12	26	"T1"	69.4
13	26	"T1"	68.9
14	26	"T1"	65.3
15	26	"T1"	78.8
16	26	"T1"	71.2
17	26	"T1"	66
18	26	"T1"	68.9
1	33	"T1"	65.7
2	33	"T1"	69.2
3	33	"T1"	91
4	33	"T1"	81.2
5	33	"T1"	71
