yield	gen	env	site	year	yor
NA	PurpleStraw883	E01	Avo	1979	1863
1708	PurpleStraw888	E01	Avo	1979	1866
1409	Steinwedel	E01	Avo	1979	1884
1589	GluyasEarly	E01	Avo	1979	1894
1618	Federation	E01	Avo	1979	1901
980	Alpha	E01	Avo	1979	1907
1400	Nabawa	E01	Avo	1979	1915
1775	Carrabin	E01	Avo	1979	1917
1729	Merredin	E01	Avo	1979	1917
1893	SHJ	E01	Avo	1979	1919
1897	Gluclub	E01	Avo	1979	1922
2256	Bencubbin	E01	Avo	1979	1929
1486	Bungulla	E01	Avo	1979	1939
2042	Kondut	E01	Avo	1979	1943
1915	Gabo	E01	Avo	1979	1945
1915	Insignia	E01	Avo	1979	1946
1509	Wongoondy	E01	Avo	1979	1948
2043	Falcon	E01	Avo	1979	1960
2220	Gamenya	E01	Avo	1979	1960
1977	Darkan	E01	Avo	1979	1968
NA	Halberd	E01	Avo	1979	1969
1930	Bokal	E01	Avo	1979	1970
1816	Egret	E01	Avo	1979	1973
1979	Madden	E01	Avo	1979	1974
2234	Warimba	E01	Avo	1979	1976
2382	Tincurrin	E01	Avo	1979	1978
2517	Miling	E01	Avo	1979	1979
NA	Bodallin	E01	Avo	1979	1982
981	PurpleStraw883	E02	Mer	1979	1863
1372	PurpleStraw888	E02	Mer	1979	1866
848	Steinwedel	E02	Mer	1979	1884
1632	GluyasEarly	E02	Mer	1979	1894
1592	Federation	E02	Mer	1979	1901
922	Alpha	E02	Mer	1979	1907
1463	Nabawa	E02	Mer	1979	1915
1481	Carrabin	E02	Mer	1979	1917
1452	Merredin	E02	Mer	1979	1917
1728	SHJ	E02	Mer	1979	1919
1713	Gluclub	E02	Mer	1979	1922
2007	Bencubbin	E02	Mer	1979	1929
1709	Bungulla	E02	Mer	1979	1939
1577	Kondut	E02	Mer	1979	1943
1889	Gabo	E02	Mer	1979	1945
2043	Insignia	E02	Mer	1979	1946
1689	Wongoondy	E02	Mer	1979	1948
1515	Falcon	E02	Mer	1979	1960
2053	Gamenya	E02	Mer	1979	1960
1759	Darkan	E02	Mer	1979	1968
1913	Halberd	E02	Mer	1979	1969
2324	Bokal	E02	Mer	1979	1970
1976	Egret	E02	Mer	1979	1973
2269	Madden	E02	Mer	1979	1974
2672	Warimba	E02	Mer	1979	1976
2422	Tincurrin	E02	Mer	1979	1978
NA	Miling	E02	Mer	1979	1979
NA	Bodallin	E02	Mer	1979	1982
NA	PurpleStraw883	E03	Mer	1979	1863
553	PurpleStraw888	E03	Mer	1979	1866
947	Steinwedel	E03	Mer	1979	1884
1126	GluyasEarly	E03	Mer	1979	1894
886	Federation	E03	Mer	1979	1901
889	Alpha	E03	Mer	1979	1907
912	Nabawa	E03	Mer	1979	1915
878	Carrabin	E03	Mer	1979	1917
821	Merredin	E03	Mer	1979	1917
1088	SHJ	E03	Mer	1979	1919
1078	Gluclub	E03	Mer	1979	1922
1171	Bencubbin	E03	Mer	1979	1929
1098	Bungulla	E03	Mer	1979	1939
1109	Kondut	E03	Mer	1979	1943
1289	Gabo	E03	Mer	1979	1945
1253	Insignia	E03	Mer	1979	1946
1233	Wongoondy	E03	Mer	1979	1948
1124	Falcon	E03	Mer	1979	1960
1416	Gamenya	E03	Mer	1979	1960
1322	Darkan	E03	Mer	1979	1968
NA	Halberd	E03	Mer	1979	1969
1261	Bokal	E03	Mer	1979	1970
975	Egret	E03	Mer	1979	1973
1378	Madden	E03	Mer	1979	1974
1272	Warimba	E03	Mer	1979	1976
1513	Tincurrin	E03	Mer	1979	1978
1242	Miling	E03	Mer	1979	1979
NA	Bodallin	E03	Mer	1979	1982
788	PurpleStraw883	E04	Won	1979	1863
827	PurpleStraw888	E04	Won	1979	1866
776	Steinwedel	E04	Won	1979	1884
1084	GluyasEarly	E04	Won	1979	1894
1256	Federation	E04	Won	1979	1901
930	Alpha	E04	Won	1979	1907
1000	Nabawa	E04	Won	1979	1915
1461	Carrabin	E04	Won	1979	1917
1280	Merredin	E04	Won	1979	1917
1178	SHJ	E04	Won	1979	1919
1458	Gluclub	E04	Won	1979	1922
1027	Bencubbin	E04	Won	1979	1929
1349	Bungulla	E04	Won	1979	1939
1470	Kondut	E04	Won	1979	1943
1874	Gabo	E04	Won	1979	1945
1522	Insignia	E04	Won	1979	1946
1745	Wongoondy	E04	Won	1979	1948
1637	Falcon	E04	Won	1979	1960
1762	Gamenya	E04	Won	1979	1960
1584	Darkan	E04	Won	1979	1968
1674	Halberd	E04	Won	1979	1969
1392	Bokal	E04	Won	1979	1970
1860	Egret	E04	Won	1979	1973
1691	Madden	E04	Won	1979	1974
2158	Warimba	E04	Won	1979	1976
1424	Tincurrin	E04	Won	1979	1978
NA	Miling	E04	Won	1979	1979
NA	Bodallin	E04	Won	1979	1982
1146	PurpleStraw883	E05	Won	1979	1863
1276	PurpleStraw888	E05	Won	1979	1866
1116	Steinwedel	E05	Won	1979	1884
1297	GluyasEarly	E05	Won	1979	1894
1554	Federation	E05	Won	1979	1901
1290	Alpha	E05	Won	1979	1907
1131	Nabawa	E05	Won	1979	1915
1251	Carrabin	E05	Won	1979	1917
1089	Merredin	E05	Won	1979	1917
1169	SHJ	E05	Won	1979	1919
1236	Gluclub	E05	Won	1979	1922
1385	Bencubbin	E05	Won	1979	1929
1465	Bungulla	E05	Won	1979	1939
1465	Kondut	E05	Won	1979	1943
1430	Gabo	E05	Won	1979	1945
1063	Insignia	E05	Won	1979	1946
1116	Wongoondy	E05	Won	1979	1948
1678	Falcon	E05	Won	1979	1960
1250	Gamenya	E05	Won	1979	1960
1112	Darkan	E05	Won	1979	1968
1602	Halberd	E05	Won	1979	1969
1295	Bokal	E05	Won	1979	1970
1235	Egret	E05	Won	1979	1973
1423	Madden	E05	Won	1979	1974
1518	Warimba	E05	Won	1979	1976
NA	Tincurrin	E05	Won	1979	1978
NA	Miling	E05	Won	1979	1979
NA	Bodallin	E05	Won	1979	1982
1305	PurpleStraw883	E06	Avo	1980	1863
1469	PurpleStraw888	E06	Avo	1980	1866
1376	Steinwedel	E06	Avo	1980	1884
1779	GluyasEarly	E06	Avo	1980	1894
1587	Federation	E06	Avo	1980	1901
1653	Alpha	E06	Avo	1980	1907
1812	Nabawa	E06	Avo	1980	1915
1967	Carrabin	E06	Avo	1980	1917
1868	Merredin	E06	Avo	1980	1917
2089	SHJ	E06	Avo	1980	1919
1831	Gluclub	E06	Avo	1980	1922
1859	Bencubbin	E06	Avo	1980	1929
1756	Bungulla	E06	Avo	1980	1939
1887	Kondut	E06	Avo	1980	1943
2131	Gabo	E06	Avo	1980	1945
2024	Insignia	E06	Avo	1980	1946
2028	Wongoondy	E06	Avo	1980	1948
2183	Falcon	E06	Avo	1980	1960
2507	Gamenya	E06	Avo	1980	1960
2418	Darkan	E06	Avo	1980	1968
2272	Halberd	E06	Avo	1980	1969
2333	Bokal	E06	Avo	1980	1970
2009	Egret	E06	Avo	1980	1973
2291	Madden	E06	Avo	1980	1974
2164	Warimba	E06	Avo	1980	1976
2704	Tincurrin	E06	Avo	1980	1978
2066	Miling	E06	Avo	1980	1979
2446	Bodallin	E06	Avo	1980	1982
1206	PurpleStraw883	E07	Nab	1980	1863
1437	PurpleStraw888	E07	Nab	1980	1866
1197	Steinwedel	E07	Nab	1980	1884
1897	GluyasEarly	E07	Nab	1980	1894
2028	Federation	E07	Nab	1980	1901
1658	Alpha	E07	Nab	1980	1907
1502	Nabawa	E07	Nab	1980	1915
2005	Carrabin	E07	Nab	1980	1917
1934	Merredin	E07	Nab	1980	1917
2129	SHJ	E07	Nab	1980	1919
2075	Gluclub	E07	Nab	1980	1922
1798	Bencubbin	E07	Nab	1980	1929
2127	Bungulla	E07	Nab	1980	1939
1845	Kondut	E07	Nab	1980	1943
2230	Gabo	E07	Nab	1980	1945
2329	Insignia	E07	Nab	1980	1946
2009	Wongoondy	E07	Nab	1980	1948
2174	Falcon	E07	Nab	1980	1960
2362	Gamenya	E07	Nab	1980	1960
2432	Darkan	E07	Nab	1980	1968
2291	Halberd	E07	Nab	1980	1969
