gen	year	date
G01	1990	45.07
G03	1990	41.58
G04	1990	40.44
G07	1990	47.67
G01	1991	53.9
G02	1991	48.71
G03	1991	49.53
G04	1991	49.22
G05	1991	49.53
G06	1991	44.85
G07	1991	56.81
G08	1991	54.02
G09	1991	49.73
G01	1992	51.9
G02	1992	44.43
G03	1992	48.4
G04	1992	48.9
G05	1992	47.33
G06	1992	41.41
G07	1992	53.33
G08	1992	50.68
G09	1992	45.85
G10	1992	38.91
G11	1992	47.03
G12	1992	48.6
G01	1993	42.22
G02	1993	36.58
G03	1993	40.14
G04	1993	39.73
G05	1993	38.03
G06	1993	34.22
G07	1993	44.29
G08	1993	42.05
G09	1993	38.44
G10	1993	32.77
G11	1993	39.5
G12	1993	40.18
G13	1993	44.55
G14	1993	34.59
G01	1994	46.53
G02	1994	41.05
G03	1994	42.88
G04	1994	44.51
G05	1994	42.39
G06	1994	36.67
G07	1994	47.81
G08	1994	44.98
G09	1994	41.98
G10	1994	36.9
G11	1994	43.07
G12	1994	42.37
G13	1994	47.69
G14	1994	39.42
G15	1994	44.67
G16	1994	45.07
G17	1994	39.67
G18	1994	47.34
G19	1994	38.56
G20	1994	41.88
G21	1994	47.34
G22	1994	41.27
G01	1995	50.24
G02	1995	38.68
G03	1995	44.23
G04	1995	45.1
G05	1995	42.16
G06	1995	37.05
G07	1995	52.84
G08	1995	47.59
G09	1995	41.37
G10	1995	35.68
G11	1995	43.29
G12	1995	43.16
G13	1995	50.93
G14	1995	37.47
G15	1995	42.34
G16	1995	47.56
G17	1995	40.09
G18	1995	48.16
G19	1995	37.53
G20	1995	39.28
G21	1995	48.29
G22	1995	41.07
G23	1995	38.62
G24	1995	38.6
G25	1995	45.81
G01	1996	52.8
G02	1996	48.1
G03	1996	50.29
G04	1996	50.37
G05	1996	49.78
G06	1996	45.05
G07	1996	54.38
G08	1996	52.6
G09	1996	49.57
G10	1996	45.1
G11	1996	50.78
G12	1996	51.14
G13	1996	56.62
G14	1996	47.15
G15	1996	50.24
G16	1996	52.47
G17	1996	48.47
G18	1996	53.64
G19	1996	45.77
G20	1996	49.5
G21	1996	52.81
G22	1996	49.03
G23	1996	48.1
G24	1996	49
G25	1996	51.39
