"nitro"	"year"	"gen"	"drymatter"	"protein"
0	"Y1"	"S.24"	1.58	139
28	"Y1"	"S.24"	2.71	242
56	"Y1"	"S.24"	4.14	397
84	"Y1"	"S.24"	4.76	446
112	"Y1"	"S.24"	8.61	930
140	"Y1"	"S.24"	6.34	646
168	"Y1"	"S.24"	7.3	794
196	"Y1"	"S.24"	8.08	879
224	"Y1"	"S.24"	9.94	1143
252	"Y1"	"S.24"	9.94	1175
280	"Y1"	"S.24"	12.02	1585
308	"Y1"	"S.24"	13.3	1777
336	"Y1"	"S.24"	10.82	1476
392	"Y1"	"S.24"	12.2	1767
448	"Y1"	"S.24"	14.02	2201
504	"Y1"	"S.24"	15.1	2697
560	"Y1"	"S.24"	13.38	2489
616	"Y1"	"S.24"	13.68	2704
672	"Y1"	"S.24"	14.04	2976
784	"Y1"	"S.24"	14.57	3259
896	"Y1"	"S.24"	15.43	3889
0	"Y1"	"Barvestra"	2.74	291
28	"Y1"	"Barvestra"	3.11	311
56	"Y1"	"Barvestra"	4.88	501
84	"Y1"	"Barvestra"	8.03	918
112	"Y1"	"Barvestra"	7.3	807
140	"Y1"	"Barvestra"	8.21	916
168	"Y1"	"Barvestra"	8.6	1004
196	"Y1"	"Barvestra"	9.04	1100
224	"Y1"	"Barvestra"	9.08	1146
252	"Y1"	"Barvestra"	10.63	1457
280	"Y1"	"Barvestra"	9.99	1307
308	"Y1"	"Barvestra"	10.63	1443
336	"Y1"	"Barvestra"	11.98	1828
392	"Y1"	"Barvestra"	12.5	2068
448	"Y1"	"Barvestra"	12.91	2114
504	"Y1"	"Barvestra"	13.97	2446
560	"Y1"	"Barvestra"	12.39	2591
616	"Y1"	"Barvestra"	13.96	3004
672	"Y1"	"Barvestra"	14.31	3176
784	"Y1"	"Barvestra"	14.63	3413
896	"Y1"	"Barvestra"	14.52	3800
0	"Y1"	"S.37"	1.33	165
28	"Y1"	"S.37"	1.86	215
56	"Y1"	"S.37"	3.92	453
84	"Y1"	"S.37"	4.93	609
112	"Y1"	"S.37"	5.7	692
140	"Y1"	"S.37"	5.95	736
168	"Y1"	"S.37"	6.71	860
196	"Y1"	"S.37"	8.48	1129
224	"Y1"	"S.37"	8.28	1116
252	"Y1"	"S.37"	8.81	1319
280	"Y1"	"S.37"	9.79	1496
308	"Y1"	"S.37"	10.36	1584
336	"Y1"	"S.37"	11.14	1888
392	"Y1"	"S.37"	10.95	1910
448	"Y1"	"S.37"	11.42	2087
504	"Y1"	"S.37"	12.21	2442
560	"Y1"	"S.37"	12.47	2743
616	"Y1"	"S.37"	13.22	2944
672	"Y1"	"S.37"	12.29	2957
784	"Y1"	"S.37"	13.3	3231
896	"Y1"	"S.37"	13.37	3340
0	"Y1"	"S.53"	2.01	214
28	"Y1"	"S.53"	2.74	286
56	"Y1"	"S.53"	3.27	326
84	"Y1"	"S.53"	4.37	464
112	"Y1"	"S.53"	5.95	655
140	"Y1"	"S.53"	6.59	736
168	"Y1"	"S.53"	7.73	911
196	"Y1"	"S.53"	8.43	1023
224	"Y1"	"S.53"	8.69	1076
252	"Y1"	"S.53"	8.92	1177
280	"Y1"	"S.53"	9.99	1501
308	"Y1"	"S.53"	11	1560
336	"Y1"	"S.53"	11.05	1621
392	"Y1"	"S.53"	10.84	1814
448	"Y1"	"S.53"	11.73	2101
504	"Y1"	"S.53"	11.11	2057
560	"Y1"	"S.53"	11.33	2222
616	"Y1"	"S.53"	11.77	2592
672	"Y1"	"S.53"	11.95	2659
784	"Y1"	"S.53"	11.74	2794
896	"Y1"	"S.53"	11.85	3034
0	"Y2"	"S.24"	1.12	130
28	"Y2"	"S.24"	1.99	213
56	"Y2"	"S.24"	2.51	275
84	"Y2"	"S.24"	3.13	333
112	"Y2"	"S.24"	4.53	492
140	"Y2"	"S.24"	4.56	503
168	"Y2"	"S.24"	5.75	667
196	"Y2"	"S.24"	6.16	713
224	"Y2"	"S.24"	7.07	879
252	"Y2"	"S.24"	7.95	1045
280	"Y2"	"S.24"	8.23	1068
308	"Y2"	"S.24"	8.37	1193
336	"Y2"	"S.24"	8.67	1290
392	"Y2"	"S.24"	9.18	1471
448	"Y2"	"S.24"	10.92	1780
504	"Y2"	"S.24"	10.99	2096
560	"Y2"	"S.24"	10.76	2079
616	"Y2"	"S.24"	10.03	1988
672	"Y2"	"S.24"	9.94	2041
