"expt"	"strain"	"rep"	"row"	"year"	"yield"	"col"
"Baart"	"5037"	1	54	1939	575	3
"Baart"	"3061"	1	44	1939	500	1
"Baart"	"2725"	1	42	1939	450	1
"Baart"	"4673"	1	61	1939	540	4
"Baart"	"6061"	1	57	1939	565	4
"Baart"	"4869"	1	53	1939	620	3
"Baart"	"4630"	1	59	1939	560	4
"Baart"	"4621"	1	51	1939	475	3
"Baart"	"3541"	1	46	1939	395	2
"Baart"	"3257"	1	68	1939	570	5
"Baart"	"3177"	1	45	1939	440	2
"Baart"	"6045"	1	56	1939	505	3
"Baart"	"4641"	1	60	1939	545	4
"Baart"	"5129"	1	62	1939	450	4
"Baart"	"5217"	1	55	1939	520	3
"Baart"	"2685"	1	40	1939	495	1
"Baart"	"5493"	1	64	1939	420	5
"Baart"	"3593"	1	47	1939	365	2
"Baart"	"2645"	1	39	1939	420	1
"Baart"	"3509"	1	66	1939	485	5
"Baart"	"4761"	1	67	1939	570	5
"Baart"	"3681"	1	48	1939	405	2
"Baart"	"4589"	1	58	1939	565	4
"Baart"	"4025"	1	50	1939	410	2
"Baart"	"2765"	1	43	1939	390	1
"Baart"	"Baart"	1	65	1939	480	5
"Baart"	"2697"	1	41	1939	390	1
"Baart"	"4817"	1	52	1939	445	3
"Baart"	"5317"	1	63	1939	455	5
"Baart"	"3769"	1	49	1939	435	2
"Baart"	"5037"	2	60	1939	540	4
"Baart"	"3061"	2	45	1939	440	2
"Baart"	"2725"	2	63	1939	585	5
"Baart"	"4673"	2	41	1939	410	1
"Baart"	"6061"	2	53	1939	615	3
"Baart"	"4869"	2	68	1939	630	5
"Baart"	"4630"	2	64	1939	530	5
"Baart"	"4621"	2	50	1939	480	2
"Baart"	"3541"	2	55	1939	585	3
"Baart"	"3257"	2	49	1939	480	2
"Baart"	"3177"	2	42	1939	480	1
"Baart"	"6045"	2	66	1939	690	5
"Baart"	"4641"	2	54	1939	655	3
"Baart"	"5129"	2	51	1939	410	3
"Baart"	"5217"	2	47	1939	450	2
"Baart"	"2685"	2	57	1939	570	4
"Baart"	"5493"	2	56	1939	550	3
"Baart"	"3593"	2	61	1939	540	4
"Baart"	"2645"	2	52	1939	530	3
"Baart"	"3509"	2	43	1939	390	1
"Baart"	"4761"	2	46	1939	365	2
"Baart"	"3681"	2	65	1939	510	5
"Baart"	"4589"	2	39	1939	515	1
"Baart"	"4025"	2	40	1939	445	1
"Baart"	"2765"	2	67	1939	530	5
"Baart"	"Baart"	2	62	1939	545	4
"Baart"	"2697"	2	48	1939	390	2
"Baart"	"4817"	2	44	1939	380	1
"Baart"	"5317"	2	58	1939	610	4
"Baart"	"3769"	2	59	1939	550	4
"Baart"	"5037"	3	68	1939	790	5
"Baart"	"3061"	3	52	1939	655	3
"Baart"	"2725"	3	54	1939	740	3
"Baart"	"4673"	3	45	1939	525	2
"Baart"	"6061"	3	66	1939	745	5
"Baart"	"4869"	3	57	1939	645	4
"Baart"	"4630"	3	44	1939	525	1
"Baart"	"4621"	3	63	1939	700	5
"Baart"	"3541"	3	62	1939	665	4
"Baart"	"3257"	3	55	1939	700	3
"Baart"	"3177"	3	65	1939	655	5
"Baart"	"6045"	3	50	1939	545	2
"Baart"	"4641"	3	40	1939	560	1
"Baart"	"5129"	3	47	1939	540	2
"Baart"	"5217"	3	41	1939	530	1
"Baart"	"2685"	3	64	1939	575	5
"Baart"	"5493"	3	59	1939	670	4
"Baart"	"3593"	3	42	1939	405	1
"Baart"	"2645"	3	67	1939	685	5
"Baart"	"3509"	3	51	1939	475	3
"Baart"	"4761"	3	61	1939	670	4
"Baart"	"3681"	3	39	1939	565	1
"Baart"	"4589"	3	48	1939	435	2
"Baart"	"4025"	3	58	1939	585	4
"Baart"	"2765"	3	49	1939	360	2
"Baart"	"Baart"	3	43	1939	475	1
"Baart"	"2697"	3	60	1939	545	4
"Baart"	"4817"	3	46	1939	525	2
"Baart"	"5317"	3	56	1939	565	3
"Baart"	"3769"	3	53	1939	530	3
"Baart"	"5037"	4	39	1939	445	1
"Baart"	"3061"	4	68	1939	450	5
"Baart"	"2725"	4	59	1939	390	4
"Baart"	"4673"	4	65	1939	530	5
"Baart"	"6061"	4	50	1939	345	2
"Baart"	"4869"	4	43	1939	340	1
"Baart"	"4630"	4	53	1939	570	3
"Baart"	"4621"	4	60	1939	420	4
"Baart"	"3541"	4	64	1939	450	5
"Baart"	"3257"	4	44	1939	340	1
"Baart"	"3177"	4	61	1939	470	4
"Baart"	"6045"	4	41	1939	390	1
"Baart"	"4641"	4	45	1939	375	2
"Baart"	"5129"	4	40	1939	375	1
"Baart"	"5217"	4	62	1939	530	4
"Baart"	"2685"	4	55	1939	475	3
"Baart"	"5493"	4	49	1939	410	2
"Baart"	"3593"	4	54	1939	545	3
"Baart"	"2645"	4	48	1939	375	2
"Baart"	"3509"	4	46	1939	330	2
"Baart"	"4761"	4	42	1939	335	1
"Baart"	"3681"	4	58	1939	435	4
"Baart"	"4589"	4	67	1939	475	5
"Baart"	"4025"	4	51	1939	330	3
"Baart"	"2765"	4	52	1939	415	3
"Baart"	"Baart"	4	56	1939	430	3
"Baart"	"2697"	4	66	1939	450	5
"Baart"	"4817"	4	57	1939	415	4
"Baart"	"5317"	4	47	1939	315	2
"Baart"	"3769"	4	63	1939	445	5
"Baart"	"5037"	5	49	1939	560	2
"Baart"	"3061"	5	62	1939	660	4
"Baart"	"2725"	5	50	1939	525	2
"Baart"	"4673"	5	54	1939	750	3
"Baart"	"6061"	5	43	1939	505	1
"Baart"	"4869"	5	45	1939	590	2
"Baart"	"4630"	5	46	1939	550	2
"Baart"	"4621"	5	39	1939	625	1
"Baart"	"3541"	5	42	1939	540	1
"Baart"	"3257"	5	59	1939	585	4
"Baart"	"3177"	5	55	1939	570	3
"Baart"	"6045"	5	58	1939	660	4
"Baart"	"4641"	5	63	1939	635	5
"Baart"	"5129"	5	65	1939	500	5
"Baart"	"5217"	5	68	1939	595	5
"Baart"	"2685"	5	47	1939	485	2
"Baart"	"5493"	5	41	1939	490	1
"Baart"	"3593"	5	66	1939	600	5
"Baart"	"2645"	5	60	1939	510	4
"Baart"	"3509"	5	61	1939	625	4
"Baart"	"4761"	5	52	1939	515	3
"Baart"	"3681"	5	51	1939	495	3
"Baart"	"4589"	5	56	1939	520	3
"Baart"	"4025"	5	67	1939	620	5
"Baart"	"2765"	5	57	1939	605	4
"Baart"	"Baart"	5	48	1939	535	2
"Baart"	"2697"	5	53	1939	550	3
"Baart"	"4817"	5	64	1939	415	5
"Baart"	"5317"	5	40	1939	555	1
"Baart"	"3769"	5	44	1939	515	1
"Baart"	"5037"	1	54	1940	633	3
"Baart"	"3061"	1	44	1940	606	1
"Baart"	"2725"	1	42	1940	604	1
"Baart"	"4673"	1	61	1940	522	4
"Baart"	"6061"	1	57	1940	594	4
"Baart"	"4869"	1	53	1940	557	3
"Baart"	"4630"	1	59	1940	522	4
"Baart"	"4621"	1	51	1940	525	3
"Baart"	"3541"	1	46	1940	600	2
"Baart"	"3257"	1	68	1940	587	5
"Baart"	"3177"	1	45	1940	579	2
"Baart"	"6045"	1	56	1940	504	3
"Baart"	"4641"	1	60	1940	521	4
"Baart"	"5129"	1	62	1940	660	4
"Baart"	"5217"	1	55	1940	646	3
"Baart"	"2685"	1	40	1940	630	1
"Baart"	"5493"	1	64	1940	575	5
"Baart"	"3593"	1	47	1940	465	2
"Baart"	"2645"	1	39	1940	548	1
"Baart"	"3509"	1	66	1940	565	5
"Baart"	"4761"	1	67	1940	553	5
"Baart"	"3681"	1	48	1940	508	2
"Baart"	"4589"	1	58	1940	494	4
"Baart"	"4025"	1	50	1940	568	2
"Baart"	"2765"	1	43	1940	473	1
"Baart"	"Baart"	1	65	1940	555	5
"Baart"	"2697"	1	41	1940	526	1
"Baart"	"4817"	1	52	1940	570	3
"Baart"	"5317"	1	63	1940	438	5
