row	col	yield	year
1	1	650	1939
2	1	725	1939
3	1	640	1939
4	1	665	1939
5	1	645	1939
6	1	675	1939
7	1	710	1939
8	1	620	1939
9	1	490	1939
10	1	700	1939
11	1	500	1939
12	1	585	1939
13	1	700	1939
14	1	895	1939
15	1	850	1939
16	1	750	1939
17	1	620	1939
18	1	665	1939
19	1	665	1939
20	1	875	1939
21	1	565	1939
22	1	925	1939
23	1	1030	1939
24	1	615	1939
25	1	680	1939
26	1	780	1939
27	1	810	1939
28	1	870	1939
29	1	950	1939
30	1	785	1939
31	1	980	1939
32	1	840	1939
33	1	950	1939
34	1	690	1939
35	1	740	1939
36	1	750	1939
1	2	780	1939
2	2	780	1939
3	2	715	1939
4	2	440	1939
5	2	815	1939
6	2	675	1939
7	2	585	1939
8	2	670	1939
9	2	525	1939
10	2	715	1939
11	2	525	1939
12	2	540	1939
13	2	605	1939
14	2	720	1939
15	2	620	1939
16	2	625	1939
17	2	715	1939
18	2	690	1939
19	2	710	1939
20	2	760	1939
21	2	680	1939
22	2	745	1939
23	2	700	1939
24	2	785	1939
25	2	740	1939
26	2	680	1939
27	2	970	1939
28	2	860	1939
29	2	690	1939
30	2	330	1939
31	2	600	1939
32	2	765	1939
33	2	765	1939
34	2	940	1939
35	2	900	1939
36	2	1120	1939
1	3	720	1939
2	3	815	1939
3	3	605	1939
4	3	605	1939
5	3	490	1939
6	3	620	1939
7	3	350	1939
8	3	530	1939
9	3	675	1939
10	3	595	1939
11	3	490	1939
12	3	630	1939
13	3	705	1939
14	3	715	1939
15	3	650	1939
16	3	715	1939
17	3	640	1939
18	3	725	1939
19	3	760	1939
20	3	705	1939
21	3	595	1939
22	3	775	1939
23	3	835	1939
24	3	705	1939
25	3	750	1939
26	3	670	1939
27	3	900	1939
28	3	730	1939
29	3	720	1939
30	3	625	1939
31	3	765	1939
32	3	700	1939
33	3	580	1939
34	3	685	1939
35	3	705	1939
36	3	750	1939
1	4	705	1939
2	4	600	1939
3	4	565	1939
4	4	565	1939
5	4	565	1939
6	4	495	1939
7	4	870	1939
8	4	595	1939
9	4	520	1939
10	4	725	1939
11	4	550	1939
12	4	670	1939
13	4	570	1939
14	4	560	1939
15	4	660	1939
16	4	750	1939
17	4	730	1939
18	4	735	1939
19	4	750	1939
20	4	755	1939
21	4	745	1939
22	4	845	1939
23	4	800	1939
24	4	715	1939
25	4	735	1939
26	4	790	1939
27	4	935	1939
28	4	850	1939
29	4	730	1939
30	4	755	1939
31	4	490	1939
32	4	880	1939
33	4	655	1939
34	4	780	1939
35	4	755	1939
36	4	820	1939
1	5	705	1939
2	5	730	1939
3	5	630	1939
4	5	695	1939
5	5	720	1939
6	5	485	1939
7	5	740	1939
8	5	555	1939
9	5	545	1939
10	5	545	1939
11	5	525	1939
12	5	395	1939
13	5	710	1939
14	5	715	1939
15	5	655	1939
16	5	665	1939
17	5	705	1939
18	5	615	1939
19	5	530	1939
20	5	860	1939
21	5	485	1939
22	5	870	1939
23	5	935	1939
24	5	760	1939
25	5	1030	1939
26	5	920	1939
27	5	655	1939
28	5	785	1939
29	5	800	1939
30	5	625	1939
31	5	535	1939
32	5	720	1939
33	5	700	1939
34	5	870	1939
35	5	635	1939
36	5	595	1939
1	6	575	1939
2	6	815	1939
3	6	655	1939
4	6	660	1939
5	6	655	1939
6	6	560	1939
7	6	650	1939
8	6	770	1939
9	6	460	1939
10	6	620	1939
11	6	660	1939
12	6	665	1939
13	6	705	1939
14	6	745	1939
15	6	625	1939
16	6	645	1939
17	6	850	1939
18	6	590	1939
19	6	665	1939
20	6	795	1939
21	6	875	1939
22	6	965	1939
23	6	780	1939
24	6	885	1939
25	6	765	1939
26	6	740	1939
27	6	830	1939
28	6	670	1939
29	6	940	1939
30	6	850	1939
31	6	700	1939
32	6	715	1939
33	6	695	1939
34	6	485	1939
35	6	610	1939
36	6	735	1939
1	7	685	1939
2	7	705	1939
3	7	625	1939
4	7	720	1939
5	7	705	1939
6	7	705	1939
7	7	715	1939
8	7	610	1939
9	7	570	1939
10	7	625	1939
11	7	595	1939
12	7	760	1939
13	7	630	1939
14	7	675	1939
15	7	675	1939
16	7	515	1939
17	7	700	1939
18	7	775	1939
19	7	585	1939
20	7	665	1939
21	7	665	1939
22	7	790	1939
23	7	760	1939
24	7	740	1939
25	7	680	1939
26	7	750	1939
27	7	635	1939
28	7	810	1939
29	7	625	1939
30	7	725	1939
31	7	880	1939
32	7	900	1939
33	7	955	1939
34	7	810	1939
35	7	590	1939
36	7	765	1939
1	8	515	1939
2	8	660	1939
3	8	555	1939
4	8	645	1939
5	8	665	1939
6	8	615	1939
7	8	570	1939
8	8	390	1939
9	8	525	1939
10	8	720	1939
11	8	425	1939
12	8	695	1939
13	8	615	1939
14	8	665	1939
15	8	730	1939
16	8	460	1939
17	8	655	1939
18	8	780	1939
19	8	570	1939
20	8	665	1939
21	8	770	1939
22	8	670	1939
23	8	775	1939
24	8	725	1939
25	8	710	1939
26	8	625	1939
27	8	605	1939
28	8	625	1939
29	8	740	1939
