bunt	pct	rep	gen
B1	86.6	R1	Hybrid128
B2	76.4	R1	Hybrid128
B3	94.9	R1	Hybrid128
B4	91	R1	Hybrid128
B5	83.7	R1	Hybrid128
B6	88.9	R1	Hybrid128
B7	97.5	R1	Hybrid128
B7a	81.5	R1	Hybrid128
B8	92.8	R1	Hybrid128
B9	97.3	R1	Hybrid128
B10	93.7	R1	Hybrid128
B11	83	R1	Hybrid128
B12	82.1	R1	Hybrid128
B13	80.2	R1	Hybrid128
B14	78.3	R1	Hybrid128
B15	80	R1	Hybrid128
B32	85.8	R1	Hybrid128
B51	94.2	R1	Hybrid128
B157	75	R1	Hybrid128
B189	87.3	R1	Hybrid128
B1	80.7	R2	Hybrid128
B2	95.2	R2	Hybrid128
B3	93.3	R2	Hybrid128
B4	91.7	R2	Hybrid128
B5	90.2	R2	Hybrid128
B6	92.2	R2	Hybrid128
B7	97.9	R2	Hybrid128
B7a	92.2	R2	Hybrid128
B8	91.5	R2	Hybrid128
B9	92.6	R2	Hybrid128
B10	83.3	R2	Hybrid128
B11	77.8	R2	Hybrid128
B12	79.5	R2	Hybrid128
B13	80.7	R2	Hybrid128
B14	77.7	R2	Hybrid128
B15	95.5	R2	Hybrid128
B32	97.8	R2	Hybrid128
B51	95.5	R2	Hybrid128
B157	86.3	R2	Hybrid128
B189	94.6	R2	Hybrid128
B1	8.3	R1	Turkey
B2	89	R1	Turkey
B3	3.3	R1	Turkey
B4	81.7	R1	Turkey
B5	7.5	R1	Turkey
B6	5.6	R1	Turkey
B7	13.7	R1	Turkey
B7a	17.4	R1	Turkey
B8	8.5	R1	Turkey
B9	15.4	R1	Turkey
B10	5.8	R1	Turkey
B11	3.8	R1	Turkey
B12	9.8	R1	Turkey
B13	5.6	R1	Turkey
B14	82.5	R1	Turkey
B15	10.3	R1	Turkey
B32	76.5	R1	Turkey
B51	28.3	R1	Turkey
B157	52.4	R1	Turkey
B189	79.5	R1	Turkey
B1	6.5	R2	Turkey
B2	84.3	R2	Turkey
B3	6	R2	Turkey
B4	87.2	R2	Turkey
B5	2.4	R2	Turkey
B6	7.4	R2	Turkey
B7	9	R2	Turkey
B7a	9.8	R2	Turkey
B8	8.4	R2	Turkey
B9	3.8	R2	Turkey
B10	1.3	R2	Turkey
B11	1.1	R2	Turkey
B12	4.7	R2	Turkey
B13	10.9	R2	Turkey
B14	54.7	R2	Turkey
B15	7.3	R2	Turkey
B32	92.6	R2	Turkey
B51	21.5	R2	Turkey
B157	92.1	R2	Turkey
B189	92	R2	Turkey
B1	79.1	R1	Minturkey
B2	90.6	R1	Minturkey
B3	87.9	R1	Minturkey
B4	92	R1	Minturkey
B5	60.6	R1	Minturkey
B6	52.5	R1	Minturkey
