"gen"	"check"	"block"	"yield"
"Sibley"	"Y"	"B1"	4098
"Hardin"	"Y"	"B1"	4020
"Weber"	"Y"	"B1"	4440
"Kato"	"Y"	"B1"	3860
"T.Egg"	"N"	"B1"	2169
"Harlon"	"N"	"B1"	3250
"Rampage"	"N"	"B1"	3807
"Steele"	"N"	"B1"	4068
"Vinton"	"N"	"B1"	3871
"Vinton81"	"N"	"B1"	3838
"Sibley"	"Y"	"B2"	4060
"Hardin"	"Y"	"B2"	4414
"Weber"	"Y"	"B2"	3835
"Kato"	"Y"	"B2"	3865
"BSR101"	"N"	"B2"	4244
"Norsoy"	"N"	"B2"	3290
"W.Black"	"N"	"B2"	3019
"Mandarin"	"N"	"B2"	3506
"Hark"	"N"	"B2"	4384
"Coles"	"N"	"B2"	4148
"Sibley"	"Y"	"B3"	4283
"Sibley"	"Y"	"B3"	3952
"Hardin"	"Y"	"B3"	3571
"Weber"	"Y"	"B3"	4154
"Kato"	"Y"	"B3"	3674
"Hodgson78"	"N"	"B3"	4167
"Lakota"	"N"	"B3"	4023
"Man.507"	"N"	"B3"	2435
"Bert"	"N"	"B3"	4595
"Leslie"	"N"	"B3"	3957
