"row"	"col"	"yield"
1	1	6560
2	1	6396
3	1	6478
4	1	5986
5	1	5494
6	1	4838
7	1	4674
8	1	5166
9	1	5412
10	1	5166
11	1	4838
12	1	4756
13	1	4592
14	1	3608
15	1	3034
16	1	3526
17	1	3936
18	1	4674
19	1	2378
20	1	1066
1	2	6642
2	2	6314
3	2	6396
4	2	6068
5	2	5904
6	2	5576
7	2	5248
8	2	5904
9	2	6068
10	2	5904
11	2	5658
12	2	4510
13	2	4018
14	2	3198
15	2	3116
16	2	4592
17	2	5986
18	2	6068
19	2	3690
20	2	1640
1	3	6724
2	3	6478
3	3	6396
4	3	6150
5	3	6232
6	3	5986
7	3	5740
8	3	6478
9	3	6478
10	3	6396
11	3	6478
12	3	4346
13	3	3444
14	3	2952
15	3	3116
16	3	5166
17	3	6806
18	3	6314
19	3	3608
20	3	2056
1	4	7298
2	4	6724
3	4	6724
4	4	6478
5	4	6314
6	4	5822
7	4	5658
8	4	6068
9	4	6150
10	4	6314
11	4	5904
12	4	5002
13	4	3936
14	4	3034
15	4	3362
16	4	5494
17	4	6642
18	4	5658
19	4	3444
20	4	1640
1	5	8528
2	5	7872
3	5	7216
4	5	6970
5	5	6724
6	5	6396
7	5	5740
8	5	5412
9	5	5412
10	5	5576
11	5	5740
12	5	4100
13	5	3608
14	5	3362
15	5	3608
16	5	4510
17	5	4428
18	5	3526
19	5	2624
20	5	1804
1	6	8774
2	6	7872
3	6	7544
4	6	7216
5	6	7134
6	6	6478
7	6	5904
8	6	5658
9	6	5576
10	6	5576
11	6	5166
12	6	4100
13	6	3526
14	6	3198
15	6	3198
16	6	3198
17	6	3280
18	6	2952
19	6	2706
20	6	2132
1	7	8200
2	7	7052
3	7	6560
4	7	6560
5	7	6560
6	7	5986
7	7	5740
8	7	5986
9	7	6232
10	7	6232
11	7	5986
12	7	4428
13	7	3362
14	7	2378
15	7	2132
16	7	2542
17	7	2788
18	7	2460
19	7	2378
20	7	1886
1	8	6560
2	8	6232
3	8	5822
4	8	6150
5	8	6560
6	8	5986
7	8	5822
8	8	6314
9	8	6888
10	8	6642
11	8	6396
12	8	4592
13	8	3034
14	8	2050
15	8	1558
16	8	2050
17	8	2296
18	8	2050
19	8	1968
20	8	1968
1	9	6314
2	9	5822
3	9	5658
4	9	6396
5	9	6806
6	9	6068
7	9	6150
8	9	6396
9	9	6478
10	9	6642
11	9	6232
12	9	5166
13	9	4428
14	9	3690
15	9	3116
16	9	3116
17	9	3034
18	9	2214
19	9	2132
20	9	2132
1	10	6150
2	10	5248
3	10	4756
4	10	5166
5	10	5412
6	10	6232
7	10	6314
8	10	5904
9	10	5822
10	10	5658
11	10	5740
12	10	5658
13	10	5494
14	10	4838
15	10	4674
16	10	4182
17	10	3772
18	10	2706
19	10	2542
20	10	2460
