year	loc	rep	gen	yield
87	GGA	R1	Bienvenu	960.61
87	GGA	R2	Bienvenu	1329.39
87	GGA	R3	Bienvenu	1781.11
87	GGA	R4	Bienvenu	1698.16
87	GGA	R1	Bridger	1605.13
87	GGA	R2	Bridger	1211.69
87	GGA	R3	Bridger	1365.26
87	GGA	R4	Bridger	1271.1
87	GGA	R1	Cascade	1509.85
87	GGA	R2	Cascade	1220.66
87	GGA	R3	Cascade	1712.74
87	GGA	R4	Cascade	1574.86
87	GGA	R1	Dwarf	759.97
87	GGA	R2	Dwarf	897.84
87	GGA	R3	Dwarf	1778.87
87	GGA	R4	Dwarf	1743
87	GGA	R1	Glacier	1502.01
87	GGA	R2	Glacier	1856.21
87	GGA	R3	Glacier	1707.13
87	GGA	R4	Glacier	1656.69
87	GGA	R1	Jet	883.27
87	GGA	R2	Jet	1170.22
87	GGA	R3	Jet	904.57
87	GGA	R4	Jet	1405.61
89	GGA	R1	Bienvenu	1845
89	GGA	R2	Bienvenu	2007.53
89	GGA	R3	Bienvenu	1683.59
89	GGA	R4	Bienvenu	1845
89	GGA	R1	Bridger	1339.47
89	GGA	R2	Bridger	1591.67
89	GGA	R3	Bridger	1005.44
89	GGA	R4	Bridger	1247.56
89	GGA	R1	Cascade	1756.45
89	GGA	R2	Cascade	2063.57
89	GGA	R3	Cascade	1442.59
89	GGA	R4	Cascade	1661.17
89	GGA	R1	Dwarf	1471.74
89	GGA	R2	Dwarf	1499.76
89	GGA	R3	Dwarf	1526.66
89	GGA	R4	Dwarf	1499.76
89	GGA	R1	Glacier	1661.17
89	GGA	R2	Glacier	2632.99
89	GGA	R3	Glacier	2003.04
89	GGA	R4	Glacier	2099.44
89	GGA	R1	Jet	1449.32
89	GGA	R2	Jet	1728.42
89	GGA	R3	Jet	2064.69
89	GGA	R4	Jet	1357.4
87	ID	R1	Bienvenu	1120
87	ID	R2	Bienvenu	1232.94
87	ID	R3	Bienvenu	1480
87	ID	R4	Bienvenu	1135.68
87	ID	R1	Bridger	1027.36
87	ID	R2	Bridger	896
87	ID	R3	Bridger	936.923
87	ID	R4	Bridger	926.4
87	ID	R1	Cascade	876.8
87	ID	R2	Cascade	625.185
87	ID	R3	Cascade	917.551
87	ID	R4	Cascade	673.6
87	ID	R1	Dwarf	818.461
87	ID	R2	Dwarf	563.2
87	ID	R3	Dwarf	1306.12
87	ID	R4	Dwarf	1038.43
87	ID	R1	Glacier	880
87	ID	R2	Glacier	916.8
87	ID	R3	Glacier	1336.92
87	ID	R4	Glacier	1310.4
87	ID	R1	Jet	1154.28
87	ID	R2	Jet	873.6
87	ID	R3	Jet	1014.4
87	ID	R4	Jet	1213.84
88	ID	R1	Bienvenu	8373
88	ID	R2	Bienvenu	7349
88	ID	R3	Bienvenu	6805
88	ID	R4	Bienvenu	8026
88	ID	R1	Bridger	5604
88	ID	R2	Bridger	5470
88	ID	R3	Bridger	5955
88	ID	R4	Bridger	5666
88	ID	R1	Cascade	5612
88	ID	R2	Cascade	6400
88	ID	R3	Cascade	6080
88	ID	R4	Cascade	5856
88	ID	R1	Dwarf	5749
88	ID	R2	Dwarf	7606
