"env"	"year"	"block"	"gen"	"yield"
"Pusa"	"1932"	"B1"	"A"	26.5
"Pusa"	"1932"	"B2"	"A"	38
"Pusa"	"1932"	"B3"	"A"	22.5
"Pusa"	"1932"	"B4"	"A"	18
"Pusa"	"1932"	"B5"	"A"	22.5
"Pusa"	"1933"	"B1"	"A"	37.5
"Pusa"	"1933"	"B2"	"A"	31.5
"Pusa"	"1933"	"B3"	"A"	28
"Pusa"	"1933"	"B4"	"A"	32.5
"Pusa"	"1933"	"B5"	"A"	40.5
"Pusa"	"1934"	"B1"	"A"	37.5
"Pusa"	"1934"	"B2"	"A"	48
"Pusa"	"1934"	"B3"	"A"	49
"Pusa"	"1934"	"B4"	"A"	54
"Pusa"	"1934"	"B5"	"A"	48
"Karnal"	"1932"	"B1"	"A"	44.5
"Karnal"	"1932"	"B2"	"A"	34.5
"Karnal"	"1932"	"B3"	"A"	43
"Karnal"	"1932"	"B4"	"A"	42
"Karnal"	"1932"	"B5"	"A"	42.5
"Karnal"	"1933"	"B1"	"A"	29
"Karnal"	"1933"	"B2"	"A"	36
"Karnal"	"1933"	"B3"	"A"	38
"Karnal"	"1933"	"B4"	"A"	40
"Karnal"	"1933"	"B5"	"A"	40
"Karnal"	"1934"	"B1"	"A"	40
"Karnal"	"1934"	"B2"	"A"	36.5
"Karnal"	"1934"	"B3"	"A"	39.5
"Karnal"	"1934"	"B4"	"A"	45.5
"Karnal"	"1934"	"B5"	"A"	55.5
"Pusa"	"1932"	"B1"	"B"	35
"Pusa"	"1932"	"B2"	"B"	28.5
"Pusa"	"1932"	"B3"	"B"	23
"Pusa"	"1932"	"B4"	"B"	17.5
"Pusa"	"1932"	"B5"	"B"	19.5
"Pusa"	"1933"	"B1"	"B"	25
"Pusa"	"1933"	"B2"	"B"	27.5
"Pusa"	"1933"	"B3"	"B"	30.5
"Pusa"	"1933"	"B4"	"B"	34.5
"Pusa"	"1933"	"B5"	"B"	29.5
"Pusa"	"1934"	"B1"	"B"	30.5
"Pusa"	"1934"	"B2"	"B"	35.5
"Pusa"	"1934"	"B3"	"B"	38
"Pusa"	"1934"	"B4"	"B"	38.5
"Pusa"	"1934"	"B5"	"B"	32
"Karnal"	"1932"	"B1"	"B"	29
"Karnal"	"1932"	"B2"	"B"	37
"Karnal"	"1932"	"B3"	"B"	27
"Karnal"	"1932"	"B4"	"B"	23
"Karnal"	"1932"	"B5"	"B"	30.5
"Karnal"	"1933"	"B1"	"B"	27.5
"Karnal"	"1933"	"B2"	"B"	22
"Karnal"	"1933"	"B3"	"B"	29.5
"Karnal"	"1933"	"B4"	"B"	29.5
"Karnal"	"1933"	"B5"	"B"	22
"Karnal"	"1934"	"B1"	"B"	27
"Karnal"	"1934"	"B2"	"B"	26.5
"Karnal"	"1934"	"B3"	"B"	34
"Karnal"	"1934"	"B4"	"B"	31
"Karnal"	"1934"	"B5"	"B"	37.5
"Pusa"	"1932"	"B1"	"C"	29.5
"Pusa"	"1932"	"B2"	"C"	24
"Pusa"	"1932"	"B3"	"C"	23.5
"Pusa"	"1932"	"B4"	"C"	19.5
"Pusa"	"1932"	"B5"	"C"	25.5
"Pusa"	"1933"	"B1"	"C"	61
"Pusa"	"1933"	"B2"	"C"	55.5
"Pusa"	"1933"	"B3"	"C"	61
"Pusa"	"1933"	"B4"	"C"	60
"Pusa"	"1933"	"B5"	"C"	58
"Pusa"	"1934"	"B1"	"C"	68
"Pusa"	"1934"	"B2"	"C"	71
"Pusa"	"1934"	"B3"	"C"	67.5
"Pusa"	"1934"	"B4"	"C"	68.5
"Pusa"	"1934"	"B5"	"C"	64.5
"Karnal"	"1932"	"B1"	"C"	44
"Karnal"	"1932"	"B2"	"C"	42.5
"Karnal"	"1932"	"B3"	"C"	36
"Karnal"	"1932"	"B4"	"C"	46
"Karnal"	"1932"	"B5"	"C"	42
"Karnal"	"1933"	"B1"	"C"	36
"Karnal"	"1933"	"B2"	"C"	48
"Karnal"	"1933"	"B3"	"C"	47
"Karnal"	"1933"	"B4"	"C"	55
"Karnal"	"1933"	"B5"	"C"	52.5
"Karnal"	"1934"	"B1"	"C"	38.5
"Karnal"	"1934"	"B2"	"C"	38.5
