"row"	"col"	"yield"	"crop"
1	1	167.7	"1930"
2	1	169	"1930"
3	1	148.2	"1930"
4	1	161.2	"1930"
5	1	100.1	"1930"
6	1	131.3	"1930"
7	1	145.6	"1930"
8	1	124.8	"1930"
9	1	137.8	"1930"
10	1	165.1	"1930"
11	1	162.5	"1930"
12	1	133.9	"1930"
13	1	149.5	"1930"
14	1	141.7	"1930"
15	1	157.3	"1930"
16	1	122.2	"1930"
17	1	157.3	"1930"
18	1	135.2	"1930"
19	1	126.1	"1930"
20	1	139.1	"1930"
21	1	196.3	"1930"
22	1	140.4	"1930"
23	1	153.4	"1930"
24	1	135.1	"1930"
25	1	192.4	"1930"
26	1	128.7	"1930"
27	1	113.1	"1930"
28	1	106.6	"1930"
29	1	178.1	"1930"
30	1	145.6	"1930"
31	1	166.4	"1930"
32	1	120.9	"1930"
33	1	133.9	"1930"
34	1	124.8	"1930"
35	1	128.7	"1930"
36	1	91	"1930"
37	1	120.9	"1930"
38	1	131.3	"1930"
39	1	102.7	"1930"
40	1	161.2	"1930"
41	1	154.7	"1930"
42	1	149.5	"1930"
43	1	172.9	"1930"
44	1	137.1	"1930"
45	1	120.9	"1930"
46	1	131.3	"1930"
47	1	85.8	"1930"
48	1	105.3	"1930"
49	1	113.1	"1930"
50	1	144.3	"1930"
51	1	150.8	"1930"
52	1	135.2	"1930"
53	1	118.3	"1930"
54	1	110.5	"1930"
55	1	144.3	"1930"
56	1	96.2	"1930"
57	1	132.6	"1930"
58	1	130	"1930"
59	1	92.3	"1930"
60	1	141.7	"1930"
61	1	149.5	"1930"
62	1	189.8	"1930"
63	1	139.1	"1930"
64	1	113.1	"1930"
65	1	122.2	"1930"
66	1	117	"1930"
67	1	109.2	"1930"
68	1	118.3	"1930"
69	1	105.3	"1930"
70	1	206.7	"1930"
71	1	180.7	"1930"
72	1	118.3	"1930"
73	1	133.9	"1930"
74	1	120.9	"1930"
75	1	94.9	"1930"
76	1	122.2	"1930"
77	1	109.2	"1930"
78	1	105.3	"1930"
79	1	104	"1930"
80	1	145.6	"1930"
81	1	126.1	"1930"
82	1	165.1	"1930"
83	1	130	"1930"
84	1	167.7	"1930"
85	1	122.2	"1930"
86	1	149.5	"1930"
87	1	107.9	"1930"
88	1	133.9	"1930"
89	1	141.7	"1930"
90	1	213.2	"1930"
91	1	144.3	"1930"
92	1	107.9	"1930"
93	1	109.2	"1930"
94	1	119.6	"1930"
95	1	91	"1930"
96	1	93.6	"1930"
97	1	127.4	"1930"
98	1	128.7	"1930"
99	1	110.5	"1930"
100	1	156	"1930"
101	1	174.2	"1930"
102	1	192.4	"1930"
103	1	148.2	"1930"
104	1	143	"1930"
105	1	115.7	"1930"
106	1	118.3	"1930"
107	1	100.1	"1930"
108	1	133.9	"1930"
