"row"	"col"	"yield"
1	1	3.27
2	1	3.33
3	1	3.44
4	1	3.19
5	1	2.68
6	1	3.56
7	1	3.45
8	1	3.57
9	1	3.14
10	1	3.5
11	1	3.3
12	1	2.79
13	1	3.33
14	1	3.21
15	1	2.31
1	2	3.42
2	2	3.28
3	2	3.45
4	2	3.57
5	2	3.56
6	2	3.62
7	2	3.78
8	2	3.6
9	2	3.48
10	2	3.75
11	2	3.36
12	2	2.9
13	2	3.14
14	2	3.26
15	2	2.74
1	3	3.32
2	3	3.33
3	3	3.5
4	3	3.08
5	3	3.12
6	3	3.8
7	3	3.65
8	3	3.11
9	3	3.85
10	3	3.27
11	3	3.49
12	3	3.6
13	3	3.04
14	3	3.26
15	3	3.61
1	4	3.6
2	4	3.42
3	4	3.55
4	4	3.59
5	4	3.89
6	4	3.48
7	4	3.85
8	4	3.42
9	4	3.34
10	4	4.29
11	4	3.89
12	4	3.21
13	4	3.25
14	4	3.68
15	4	3.79
1	5	3.67
2	5	3.46
3	5	3.34
4	5	3.67
5	5	3.57
6	5	3.48
7	5	3.37
8	5	3.72
9	5	3.72
10	5	3.55
11	5	3.67
12	5	3.25
13	5	3.64
14	5	3.34
15	5	3.17
1	6	3.57
2	6	3.69
3	6	3.63
4	6	4
5	6	3.94
6	6	3.89
7	6	3.49
8	6	3.88
9	6	4.12
10	6	3.88
11	6	4.43
12	6	4.01
13	6	4.15
14	6	3.39
15	6	4.38
1	7	3.79
2	7	3.65
3	7	3.37
4	7	3.63
5	7	4.13
6	7	4.13
7	7	4.5
8	7	4.64
9	7	4.28
10	7	3.95
11	7	3.71
12	7	3.87
13	7	3.8
14	7	3.52
15	7	2.91
1	8	3.46
2	8	3.29
3	8	3.52
4	8	3.6
5	8	3.53
6	8	4.12
7	8	3.86
8	8	4.23
9	8	3.5
10	8	4.31
11	8	3.27
12	8	3.85
13	8	4
14	8	4
15	8	3.62
1	9	3.71
2	9	3.57
3	9	3.09
4	9	3.23
5	9	3.59
6	9	3.84
7	9	3.87
8	9	4.2
9	9	4.05
10	9	3.61
11	9	3.98
12	9	3.43
13	9	3.82
14	9	4.3
15	9	3.42
1	10	3.26
2	10	3.48
3	10	3.53
4	10	3.76
5	10	3.41
6	10	3.94
7	10	4.27
8	10	3.82
9	10	3.64
10	10	3.86
11	10	3.86
12	10	4.43
13	10	3.91
14	10	2.56
15	10	3.93
1	11	3.37
2	11	3.53
3	11	3.12
4	11	3.26
5	11	4.01
6	11	3.53
7	11	3.93
8	11	4.06
9	11	4.19
10	11	3.25
11	11	3.38
12	11	3.87
13	11	3.87
14	11	3.19
15	11	3.54
1	12	3.18
2	12	3.35
3	12	3.85
4	12	3.71
5	12	2.86
6	12	3.06
7	12	3.57
8	12	4.1
9	12	4.03
10	12	4.05
11	12	3.55
12	12	3.83
13	12	3.46
14	12	2.73
15	12	3.17
1	13	3.51
2	13	2.92
3	13	3.28
4	13	3.58
5	13	3.62
6	13	3.69
7	13	3.97
8	13	3.81
9	13	3.47
10	13	3.73
11	13	3.21
12	13	3.61
13	13	3.65
14	13	3.26
15	13	3.48
1	14	3.34
2	14	3.51
3	14	3.66
4	14	3.1
5	14	3.71
6	14	3.69
7	14	3.5
8	14	3.62
9	14	3.37
10	14	3.67
11	14	3.29
12	14	3.38
13	14	3.9
14	14	3.04
15	14	3.52
1	15	3.59
2	15	3.72
3	15	3.53
4	15	3.5
5	15	3.34
6	15	3.42
7	15	3.78
8	15	3.84
9	15	3.79
10	15	3.87
11	15	3.81
12	15	3.93
13	15	3.12
14	15	3.91
15	15	3.89
1	16	3.47
2	16	3.62
3	16	3.57
4	16	3.25
5	16	4.02
6	16	3.73
7	16	3.4
8	16	3.72
9	16	3.38
10	16	3.73
11	16	3.81
12	16	3.98
13	16	3.6
14	16	3.66
15	16	3.85
